positionX,positionY,start,end
1,1,20220321 01:23:14,20220321 01:27:06
1,2,20220321 01:46:13,20220321 01:49:28
1,3,20220321 01:56:07,20220321 01:59:18
1,4,20220321 02:06:23,20220321 02:09:28
1,5,20220321 02:25:20,20220321 02:28:29
1,6,20220321 02:41:27,20220321 02:44:30
1,7,20220321 02:48:07,20220321 02:51:11
1,8,20220321 02:55:04,20220321 02:58:13
1,9,20220321 03:02:13,20220321 03:05:15
1,10,20220321 03:09:44,20220321 03:12:51
1,11,20220321 03:17:21,20220321 03:21:48
2,11,20220321 03:26:18,20220321 03:29:31
3,11,20220321 03:33:18,20220321 03:36:23
4,11,20220321 03:40:42,20220321 03:43:45
5,11,20220321 03:47:51,20220321 03:50:58
6,1,20220321 03:55:37,20220321 03:58:49
6,2,20220321 04:05:59,20220321 04:09:08
6,3,20220321 04:13:25,20220321 04:16:33
6,4,20220321 04:35:31,20220321 04:38:31
6,5,20220321 04:42:20,20220321 04:45:31
6,6,20220321 04:49:58,20220321 04:53:06
6,7,20220321 04:57:35,20220321 05:00:56
6,8,20220321 05:04:44,20220321 05:07:46
6,9,20220321 05:15:31,20220321 05:18:32
6,10,20220321 05:22:13,20220321 05:25:21
6,11,20220321 05:29:14,20220321 05:33:47
7,11,20220321 05:40:45,20220321 05:43:49
8,11,20220321 05:47:43,20220321 05:50:55
9,11,20220321 05:55:13,20220321 05:58:25
10,11,20220321 06:03:15,20220321 06:06:16
11,1,20220321 07:30:51,20220321 07:33:51
11,2,20220321 07:23:06,20220321 07:26:15
11,3,20220321 07:16:50,20220321 07:19:58
11,4,20220321 07:02:22,20220321 07:05:22
11,5,20220321 06:56:03,20220321 06:59:06
11,6,20220321 06:49:41,20220321 06:52:42
11,7,20220321 06:42:31,20220321 06:45:32
11,8,20220321 06:35:33,20220321 06:38:38
11,9,20220321 06:27:26,20220321 06:30:38
11,10,20220321 06:19:12,20220321 06:22:25
11,11,20220321 06:10:33,20220321 06:14:59
