positionX,positionY,start,end
1,1,20231116 17:54:00,20231116 17:58:00
1,2,20231116 17:59:00,20231116 18:03:00
1,3,20231116 18:11:00,20231116 18:15:00
1,4,20231116 19:06:00,20231116 19:10:00
1,5,20231116 19:11:00,20231116 19:15:00
1,6,20231116 19:16:00,20231116 19:20:00
1,7,20231116 19:21:00,20231116 19:25:00
1,8,20231116 19:26:00,20231116 19:30:00
1,9,20231116 19:43:00,20231116 19:47:00
1,10,20231116 19:49:00,20231116 19:53:00
6,1,20231116 20:01:00,20231116 20:05:00
6,2,20231116 20:06:00,20231116 20:10:00
6,3,20231116 20:13:00,20231116 20:17:00
6,4,20231116 20:18:00,20231116 20:22:00
6,5,20231116 20:23:00,20231116 20:27:00
6,6,20231116 20:28:00,20231116 20:32:00
6,7,20231116 20:33:00,20231116 20:37:00
6,8,20231116 20:43:00,20231116 20:47:00
6,9,20231116 20:48:00,20231116 20:52:00
6,10,20231116 21:07:00,20231116 21:11:00
11,1,20231116 21:15:00,20231116 21:19:00
11,2,20231116 21:20:00,20231116 21:24:00
11,3,20231116 21:25:00,20231116 21:29:00
11,4,20231116 21:30:00,20231116 21:34:00
11,5,20231116 21:35:00,20231116 21:39:00
11,6,20231116 21:40:00,20231116 21:44:00
11,7,20231116 21:45:00,20231116 21:49:00
11,8,20231116 21:51:00,20231116 21:55:00
11,9,20231116 21:56:00,20231116 22:00:00
11,10,20231116 22:11:00,20231116 22:15:00
2,11,20231116 22:27:00,20231116 22:31:00
3,11,20231116 22:32:00,20231116 22:36:00
4,11,20231116 22:37:00,20231116 22:41:00
5,11,20231116 22:44:00,20231116 22:48:00
6,11,20231116 22:51:00,20231116 22:55:00
7,11,20231116 22:56:00,20231116 23:00:00
8,11,20231116 23:01:00,20231116 23:05:00
9,11,20231116 23:06:00,20231116 23:10:00
10,11,20231116 23:11:00,20231116 23:15:00
11,11,20231116 23:25:00,20231116 23:29:00
1,11,20231116 23:42:00,20231116 23:46:00
