positionX,positionY,start,end
1,1,20231218 18:42:00,20231218 18:44:00
1,2,20231218 18:44:30,20231218 18:46:30
1,3,20231218 18:47:00,20231218 18:49:00
1,4,20231218 18:49:30,20231218 18:51:30
1,5,20231218 18:52:00,20231218 18:54:00
1,6,20231218 18:54:30,20231218 18:56:30
1,7,20231218 18:57:00,20231218 18:59:00
1,8,20231218 18:59:30,20231218 19:01:30
1,9,20231218 19:02:00,20231218 19:04:00
1,10,20231218 19:04:30,20231218 19:06:30
6,1,20231218 19:13:00,20231218 19:15:00
6,2,20231218 19:15:30,20231218 19:17:30
6,3,20231218 19:18:00,20231218 19:20:00
6,4,20231218 19:20:30,20231218 19:22:30
6,5,20231218 19:23:00,20231218 19:25:00
6,6,20231218 19:25:30,20231218 19:27:30
6,7,20231218 19:28:00,20231218 19:30:00
6,8,20231218 19:30:30,20231218 19:32:30
6,9,20231218 19:33:00,20231218 19:35:00
6,10,20231218 19:35:30,20231218 19:37:30
11,1,20231218 19:43:00,20231218 19:45:00
11,2,20231218 19:45:30,20231218 19:47:30
11,3,20231218 19:48:00,20231218 19:50:00
11,4,20231218 19:50:30,20231218 19:52:30
11,5,20231218 19:53:00,20231218 19:55:00
11,6,20231218 19:55:30,20231218 19:57:30
11,7,20231218 19:58:00,20231218 20:00:00
11,8,20231218 20:00:30,20231218 20:02:30
11,9,20231218 20:03:00,20231218 20:05:00
11,10,20231218 20:05:30,20231218 20:07:30
1,11,20231218 20:11:30,20231218 20:13:30
2,11,20231218 20:14:30,20231218 20:16:30
3,11,20231218 20:17:00,20231218 20:19:00
4,11,20231218 20:19:30,20231218 20:21:30
5,11,20231218 20:22:00,20231218 20:24:00
6,11,20231218 20:24:40,20231218 20:26:40
7,11,20231218 20:27:10,20231218 20:29:10
8,11,20231218 20:29:40,20231218 20:31:40
9,11,20231218 20:32:10,20231218 20:34:10
10,11,20231218 20:35:00,20231218 20:37:00
11,11,20231218 20:37:30,20231218 20:39:30
