Time,UUID,RSSI,
20240117 13:58:50,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-61,
20240117 13:58:50,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-68,
20240117 13:58:50,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-76,
20240117 13:58:50,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-79,
20240117 13:58:50,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-80,
20240117 13:58:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-61,
20240117 13:58:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-67,
20240117 13:58:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-69,
20240117 13:58:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-79,
20240117 13:58:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-80,
20240117 13:58:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-86,
20240117 13:59:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-61,
20240117 13:59:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-67,
20240117 13:59:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-69,
20240117 13:59:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-79,
20240117 13:59:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-80,
20240117 13:59:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-81,
20240117 13:59:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-86,
20240117 13:59:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-67,
20240117 13:59:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-69,
20240117 13:59:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-81,
20240117 13:59:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-83,
20240117 13:59:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-85,
20240117 13:59:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-51,
20240117 13:59:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-67,
20240117 13:59:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-71,
20240117 13:59:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-81,
20240117 13:59:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-93,
20240117 13:59:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-57,
20240117 13:59:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-67,
20240117 13:59:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-71,
20240117 13:59:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-71,
20240117 13:59:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-93,
20240117 13:59:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-57,
20240117 13:59:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-69,
20240117 13:59:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-71,
20240117 13:59:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-71,
20240117 13:59:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-71,
20240117 13:59:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-93,
20240117 13:59:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-58,
20240117 13:59:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-67,
20240117 13:59:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-69,
20240117 13:59:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-76,
20240117 13:59:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-80,
20240117 13:59:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-94,
20240117 13:59:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-58,
20240117 13:59:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-67,
20240117 13:59:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-69,
20240117 13:59:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-74,
20240117 13:59:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-79,
