positionX,positionY,start,end
1,1,20240117 16:25:40,20240117 16:26:40
1,2,20240117 16:28:20,20240117 16:29:20
1,3,20240117 16:27:00,20240117 16:28:00
1,4,20240117 16:29:40,20240117 16:30:40
1,5,20240117 16:31:00,20240117 16:32:00
1,6,20240117 16:32:20,20240117 16:33:20
1,7,20240117 16:33:40,20240117 16:34:40
1,8,20240117 16:35:00,20240117 16:36:00
1,9,20240117 16:36:20,20240117 16:37:20
1,10,20240117 16:37:40,20240117 16:38:40
6,1,20240117 16:39:00,20240117 16:40:00
6,2,20240117 16:40:20,20240117 16:41:20
6,3,20240117 16:41:40,20240117 16:42:40
6,4,20240117 16:43:00,20240117 16:44:00
6,5,20240117 16:44:20,20240117 16:45:20
6,6,20240117 16:45:40,20240117 16:46:40
6,7,20240117 16:47:00,20240117 16:48:00
6,8,20240117 16:48:20,20240117 16:49:20
6,9,20240117 16:49:40,20240117 16:50:40
6,10,20240117 16:51:00,20240117 16:52:00
11,1,20240117 16:52:20,20240117 16:53:20
11,2,20240117 16:53:40,20240117 16:54:40
11,3,20240117 16:55:00,20240117 16:56:00
11,4,20240117 16:56:20,20240117 16:57:20
11,5,20240117 16:57:40,20240117 16:58:40
11,6,20240117 16:59:00,20240117 17:00:00
11,7,20240117 17:00:20,20240117 17:01:20
11,8,20240117 17:01:40,20240117 17:02:40
11,9,20240117 17:03:00,20240117 17:04:00
11,10,20240117 17:04:20,20240117 17:05:20
1,11,20240117 17:05:40,20240117 17:06:40
2,11,20240117 17:07:00,20240117 17:08:00
3,11,20240117 17:08:20,20240117 17:09:20
4,11,20240117 17:09:40,20240117 17:10:40
5,11,20240117 17:11:00,20240117 17:12:00
6,11,20240117 17:12:20,20240117 17:13:20
7,11,20240117 17:13:40,20240117 17:14:40
8,11,20240117 17:15:00,20240117 17:16:00
9,11,20240117 17:16:20,20240117 17:17:20
10,11,20240117 17:17:40,20240117 17:18:40
11,11,20240117 17:19:00,20240117 17:20:00
