Time,UUID,RSSI,
20240217 14:35:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-57,
20240217 14:35:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-61,
20240217 14:35:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-69,
20240217 14:35:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-70,
20240217 14:35:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-79,
20240217 14:35:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-80,
20240217 14:35:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-81,
20240217 14:35:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-53,
20240217 14:35:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-61,
20240217 14:35:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-63,
20240217 14:35:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-72,
20240217 14:35:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-80,
20240217 14:35:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-81,
20240217 14:35:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-82,
20240217 14:35:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-53,
20240217 14:35:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-63,
20240217 14:35:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-66,
20240217 14:35:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-69,
20240217 14:35:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-69,
20240217 14:35:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-77,
20240217 14:35:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-78,
20240217 14:35:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-51,
20240217 14:35:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-66,
20240217 14:35:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-69,
20240217 14:35:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-69,
20240217 14:35:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-76,
20240217 14:35:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-77,
20240217 14:35:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-86,
20240217 14:35:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-59,
20240217 14:35:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-61,
20240217 14:35:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-61,
20240217 14:35:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-62,
20240217 14:35:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-69,
20240217 14:35:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-69,
20240217 14:35:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-71,
20240217 14:35:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-51,
20240217 14:35:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-59,
20240217 14:35:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-61,
20240217 14:35:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-61,
20240217 14:35:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-68,
20240217 14:35:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-69,
20240217 14:35:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-71,
20240217 14:35:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-51,
20240217 14:35:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-59,
20240217 14:35:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-61,
20240217 14:35:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-61,
20240217 14:35:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-61,
20240217 14:35:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-69,
20240217 14:35:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-71,
20240217 14:35:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-51,
20240217 14:35:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-61,
20240217 14:35:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-65,
20240217 14:35:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-66,
20240217 14:35:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-70,
20240217 14:35:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-71,
20240217 14:35:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-73,
20240217 14:35:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-56,
20240217 14:35:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-58,
20240217 14:35:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-61,
20240217 14:35:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-68,
20240217 14:35:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-70,
20240217 14:35:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-71,
20240217 14:35:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-76,
20240217 14:35:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-58,
20240217 14:35:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-65,
20240217 14:35:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-68,
20240217 14:35:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-69,
20240217 14:35:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-70,
20240217 14:35:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-71,
20240217 14:35:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-76,
20240217 14:35:50,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-58,
20240217 14:35:50,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-64,
20240217 14:35:50,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-64,
20240217 14:35:50,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-65,
20240217 14:35:50,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-68,
20240217 14:35:50,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-77,
20240217 14:35:50,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-79,
20240217 14:35:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-64,
20240217 14:35:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-64,
20240217 14:35:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-65,
20240217 14:35:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-65,
20240217 14:35:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-68,
20240217 14:35:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-75,
20240217 14:35:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-89,
20240217 14:35:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-62,
20240217 14:35:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-65,
20240217 14:35:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-66,
20240217 14:35:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-67,
20240217 14:35:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-72,
20240217 14:35:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-74,
20240217 14:35:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-75,
20240217 14:36:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-62,
20240217 14:36:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-67,
20240217 14:36:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-67,
20240217 14:36:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-72,
20240217 14:36:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-74,
20240217 14:36:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-75,
20240217 14:36:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-77,
20240217 14:36:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-58,
20240217 14:36:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-66,
20240217 14:36:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-66,
20240217 14:36:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-67,
20240217 14:36:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-71,
20240217 14:36:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-72,
20240217 14:36:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-74,
20240217 14:36:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-58,
20240217 14:36:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-62,
20240217 14:36:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-66,
20240217 14:36:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-66,
20240217 14:36:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-74,
20240217 14:36:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-74,
20240217 14:36:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-85,
20240217 14:36:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-61,
20240217 14:36:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-62,
20240217 14:36:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-64,
20240217 14:36:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-67,
20240217 14:36:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-74,
20240217 14:36:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-80,
20240217 14:36:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-85,
20240217 14:36:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-60,
20240217 14:36:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-61,
20240217 14:36:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-62,
20240217 14:36:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-74,
20240217 14:36:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-80,
20240217 14:36:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-85,
20240217 14:36:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-57,
20240217 14:36:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-62,
20240217 14:36:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-66,
20240217 14:36:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-71,
20240217 14:36:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-74,
20240217 14:36:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-74,
20240217 14:36:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-85,
20240217 14:36:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-61,
20240217 14:36:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-62,
20240217 14:36:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-63,
20240217 14:36:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-64,
20240217 14:36:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-70,
20240217 14:36:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-71,
20240217 14:36:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-85,
20240217 14:36:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-45,
20240217 14:36:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-62,
20240217 14:36:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-62,
20240217 14:36:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-63,
20240217 14:36:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-64,
20240217 14:36:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-73,
20240217 14:36:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-85,
20240217 14:36:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-46,
20240217 14:36:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-55,
20240217 14:36:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-60,
20240217 14:36:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-62,
20240217 14:36:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-66,
20240217 14:36:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-73,
20240217 14:36:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-46,
20240217 14:36:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-55,
20240217 14:36:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-66,
20240217 14:36:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-68,
20240217 14:36:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-72,
20240217 14:36:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-73,
20240217 14:36:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-77,
20240217 14:36:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-51,
20240217 14:36:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-55,
20240217 14:36:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-64,
20240217 14:36:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-66,
20240217 14:36:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-67,
20240217 14:36:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-72,
20240217 14:36:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-85,
20240217 14:36:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-52,
20240217 14:36:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-53,
20240217 14:36:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-63,
20240217 14:36:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-64,
20240217 14:36:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-66,
20240217 14:36:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-78,
20240217 14:36:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-79,
20240217 14:36:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-52,
20240217 14:36:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-53,
20240217 14:36:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-58,
20240217 14:36:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-63,
20240217 14:36:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-72,
20240217 14:36:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-74,
20240217 14:36:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-79,
20240217 14:36:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-51,
20240217 14:36:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-62,
20240217 14:36:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-63,
20240217 14:36:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-66,
20240217 14:36:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-73,
20240217 14:36:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-74,
20240217 14:36:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-77,
20240217 14:36:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-52,
20240217 14:36:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-63,
20240217 14:36:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-66,
20240217 14:36:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-68,
20240217 14:36:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-72,
20240217 14:36:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-77,
20240217 14:36:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-78,
20240217 14:37:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-52,
20240217 14:37:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-63,
20240217 14:37:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-66,
20240217 14:37:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-72,
20240217 14:37:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-73,
20240217 14:37:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-74,
20240217 14:37:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-78,
20240217 14:37:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-51,
20240217 14:37:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-64,
20240217 14:37:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-65,
20240217 14:37:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-71,
20240217 14:37:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-73,
20240217 14:37:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-74,
20240217 14:37:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-78,
20240217 14:37:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-61,
20240217 14:37:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-64,
20240217 14:37:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-65,
20240217 14:37:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-67,
20240217 14:37:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-70,
20240217 14:37:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-73,
20240217 14:37:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-74,
20240217 14:37:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-61,
20240217 14:37:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-65,
20240217 14:37:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-66,
20240217 14:37:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-67,
20240217 14:37:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-67,
20240217 14:37:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-69,
20240217 14:37:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-75,
20240217 14:37:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-65,
20240217 14:37:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-66,
20240217 14:37:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-66,
20240217 14:37:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-67,
20240217 14:37:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-67,
20240217 14:37:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-72,
20240217 14:37:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-73,
20240217 14:37:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-67,
20240217 14:37:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-67,
20240217 14:37:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-68,
20240217 14:37:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-68,
20240217 14:37:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-69,
20240217 14:37:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-69,
20240217 14:37:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-70,
20240217 14:37:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-55,
20240217 14:37:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-65,
20240217 14:37:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-67,
20240217 14:37:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-67,
20240217 14:37:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-68,
20240217 14:37:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-70,
20240217 14:37:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-70,
20240217 14:37:32,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-64,
20240217 14:37:32,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-65,
20240217 14:37:32,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-67,
