Time,UUID,RSSI,
20240217 14:35:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-57,
20240217 14:35:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-65,
20240217 14:35:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-71,
20240217 14:35:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-75,
20240217 14:35:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-83,
20240217 14:35:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-93,
20240217 14:35:44,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-63,
20240217 14:35:44,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-64,
20240217 14:35:44,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-71,
20240217 14:35:44,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-72,
20240217 14:35:44,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-79,
20240217 14:35:44,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-83,
20240217 14:35:44,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-84,
20240217 14:35:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-64,
20240217 14:35:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-70,
20240217 14:35:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-71,
20240217 14:35:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-71,
20240217 14:35:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-78,
20240217 14:35:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-79,
20240217 14:35:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-84,
20240217 14:35:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-57,
20240217 14:35:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-64,
20240217 14:35:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-71,
20240217 14:35:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-73,
20240217 14:35:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-76,
20240217 14:35:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-79,
20240217 14:35:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-80,
20240217 14:35:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-57,
20240217 14:35:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-58,
20240217 14:35:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-68,
20240217 14:35:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-71,
20240217 14:35:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-72,
20240217 14:35:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-74,
20240217 14:35:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-80,
20240217 14:36:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-57,
20240217 14:36:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-62,
20240217 14:36:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-64,
20240217 14:36:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-66,
20240217 14:36:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-69,
20240217 14:36:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-74,
20240217 14:36:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-80,
20240217 14:36:09,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-57,
20240217 14:36:09,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-64,
20240217 14:36:09,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-66,
20240217 14:36:09,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-67,
20240217 14:36:09,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-73,
20240217 14:36:09,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-75,
20240217 14:36:09,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-99,
20240217 14:36:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-52,
20240217 14:36:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-66,
20240217 14:36:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-67,
20240217 14:36:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-69,
20240217 14:36:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-78,
20240217 14:36:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-88,
20240217 14:36:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-94,
20240217 14:36:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-56,
20240217 14:36:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-65,
20240217 14:36:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-67,
20240217 14:36:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-69,
20240217 14:36:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-78,
20240217 14:36:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-81,
20240217 14:36:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-83,
20240217 14:36:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-56,
20240217 14:36:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-56,
20240217 14:36:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-67,
20240217 14:36:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-81,
20240217 14:36:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-82,
20240217 14:36:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-83,
20240217 14:36:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-83,
20240217 14:36:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-60,
20240217 14:36:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-64,
20240217 14:36:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-66,
20240217 14:36:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-73,
20240217 14:36:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-76,
