Time,UUID,RSSI,
20240217 15:32:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-49,
20240217 15:32:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-61,
20240217 15:32:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-70,
20240217 15:32:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-75,
20240217 15:32:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-78,
20240217 15:32:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-59,
20240217 15:32:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-60,
20240217 15:32:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-70,
20240217 15:32:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-71,
20240217 15:32:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-75,
20240217 15:32:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-78,
20240217 15:32:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-59,
20240217 15:32:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-67,
20240217 15:32:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-77,
20240217 15:32:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-78,
20240217 15:32:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-79,
20240217 15:32:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-80,
20240217 15:32:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-63,
20240217 15:32:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-66,
20240217 15:32:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-69,
20240217 15:32:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-75,
20240217 15:32:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-77,
20240217 15:32:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-80,
20240217 15:37:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-60,
20240217 15:37:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-62,
20240217 15:37:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-64,
20240217 15:37:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-70,
20240217 15:37:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-78,
20240217 15:37:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-79,
20240217 15:37:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-80,
20240217 15:37:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-53,
20240217 15:37:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-65,
20240217 15:37:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-66,
20240217 15:37:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-69,
20240217 15:37:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-70,
20240217 15:37:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-73,
20240217 15:37:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-73,
20240217 15:37:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-56,
20240217 15:37:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-57,
20240217 15:37:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-61,
20240217 15:37:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-63,
20240217 15:37:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-70,
20240217 15:37:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-73,
20240217 15:37:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-87,
20240217 15:37:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-55,
20240217 15:37:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-56,
20240217 15:37:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-61,
20240217 15:37:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-63,
20240217 15:37:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-69,
20240217 15:37:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-70,
20240217 15:37:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-73,
20240217 15:37:44,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-55,
20240217 15:37:44,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-56,
20240217 15:37:44,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-61,
20240217 15:37:44,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-62,
20240217 15:37:44,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-68,
20240217 15:37:44,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-70,
20240217 15:37:44,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-73,
20240217 15:37:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-56,
20240217 15:37:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-61,
20240217 15:37:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-63,
20240217 15:37:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-65,
20240217 15:37:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-69,
20240217 15:37:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-70,
20240217 15:37:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-72,
20240217 15:37:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-60,
20240217 15:37:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-61,
20240217 15:37:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-65,
20240217 15:37:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-69,
