Time,UUID,RSSI,
20240217 14:36:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-65,
20240217 14:36:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-67,
20240217 14:36:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-72,
20240217 14:36:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-74,
20240217 14:36:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-76,
20240217 14:36:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-78,
20240217 14:36:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-78,
20240217 14:36:09,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-58,
20240217 14:36:09,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-68,
20240217 14:36:09,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-69,
20240217 14:36:09,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-72,
20240217 14:36:09,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-75,
20240217 14:36:09,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-86,
20240217 14:36:09,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-89,
20240217 14:36:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-68,
20240217 14:36:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-69,
20240217 14:36:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-69,
20240217 14:36:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-72,
20240217 14:36:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-75,
20240217 14:36:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-75,
20240217 14:36:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-78,
20240217 14:36:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-69,
20240217 14:36:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71,
20240217 14:36:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-75,
20240217 14:36:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-75,
20240217 14:36:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-78,
20240217 14:36:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-78,
20240217 14:36:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-89,
20240217 14:36:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-70,
20240217 14:36:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-75,
20240217 14:36:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-77,
20240217 14:36:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-78,
20240217 14:36:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-78,
20240217 14:36:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-80,
20240217 14:36:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-89,
20240217 14:36:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-53,
20240217 14:36:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-70,
20240217 14:36:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-77,
20240217 14:36:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-78,
20240217 14:36:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-80,
20240217 14:36:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-83,
20240217 14:36:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-89,
20240217 14:36:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-63,
20240217 14:36:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-65,
20240217 14:36:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-69,
20240217 14:36:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-78,
20240217 14:36:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-80,
20240217 14:36:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-83,
20240217 14:36:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-89,
20240217 14:36:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-63,
20240217 14:36:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-65,
20240217 14:36:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-69,
20240217 14:36:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-78,
20240217 14:36:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-82,
20240217 14:36:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-89,
20240217 14:36:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-91,
20240217 14:36:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-61,
20240217 14:36:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-65,
20240217 14:36:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-72,
20240217 14:36:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-73,
20240217 14:36:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-75,
20240217 14:36:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-77,
20240217 14:36:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-79,
20240217 14:36:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-61,
20240217 14:36:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-62,
20240217 14:36:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-65,
20240217 14:36:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-71,
20240217 14:36:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-74,
20240217 14:36:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-79,
20240217 14:36:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-84,
