Time,UUID,RSSI,
20240319 15:49:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-56,
20240319 15:49:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-59,
20240319 15:49:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-66,
20240319 15:49:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-70,
20240319 15:49:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-77,
20240319 15:49:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-78,
20240319 15:49:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-79,
20240319 15:49:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-56,
20240319 15:49:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-71,
20240319 15:49:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-71,
20240319 15:49:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-73,
20240319 15:49:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-76,
20240319 15:49:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-78,
20240319 15:49:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-79,
20240319 15:49:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-58,
20240319 15:49:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-71,
20240319 15:49:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-71,
20240319 15:49:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-73,
20240319 15:49:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-76,
20240319 15:49:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-78,
20240319 15:49:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-79,
20240319 15:49:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-57,
20240319 15:49:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-58,
20240319 15:49:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-59,
20240319 15:49:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-71,
20240319 15:49:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-74,
20240319 15:49:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-82,
20240319 15:49:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-83,
20240319 15:49:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-58,
20240319 15:49:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-58,
20240319 15:49:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-68,
20240319 15:49:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-69,
20240319 15:49:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-71,
20240319 15:49:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-80,
20240319 15:49:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-82,
20240319 15:49:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-58,
20240319 15:49:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-58,
20240319 15:49:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-65,
20240319 15:49:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-73,
20240319 15:49:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-74,
20240319 15:49:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-80,
20240319 15:49:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-82,
20240319 15:49:50,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-58,
20240319 15:49:50,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-58,
20240319 15:49:50,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-62,
20240319 15:49:50,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-74,
20240319 15:49:50,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-76,
20240319 15:49:50,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-77,
20240319 15:49:50,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-80,
20240319 15:49:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-61,
20240319 15:49:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-62,
20240319 15:49:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-64,
20240319 15:49:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-67,
20240319 15:49:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-76,
20240319 15:49:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-77,
20240319 15:49:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-62,
20240319 15:49:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-62,
20240319 15:49:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-66,
20240319 15:49:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-70,
20240319 15:49:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-77,
20240319 15:49:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-77,
20240319 15:50:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-58,
20240319 15:50:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-61,
20240319 15:50:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-67,
20240319 15:50:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-67,
20240319 15:50:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-70,
20240319 15:50:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-73,
20240319 15:50:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-73,
20240319 15:50:06,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-59,
20240319 15:50:06,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-61,
20240319 15:50:06,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-64,
20240319 15:50:06,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-67,
20240319 15:50:06,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-70,
20240319 15:50:06,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-77,
20240319 15:50:06,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-80,
20240319 15:50:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-55,
20240319 15:50:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-58,
20240319 15:50:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-62,
20240319 15:50:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-64,
20240319 15:50:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-70,
20240319 15:50:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-74,
20240319 15:50:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-77,
20240319 15:50:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-50,
20240319 15:50:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-58,
