Time,UUID,RSSI,
20240319 03:48:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-54,
20240319 03:48:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-54,
20240319 03:48:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-62,
20240319 03:48:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-68,
20240319 03:48:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-73,
20240319 03:48:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-75,
20240319 03:48:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-82,
20240319 03:49:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-54,
20240319 03:49:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-54,
20240319 03:49:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-62,
20240319 03:49:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-68,
20240319 03:49:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-73,
20240319 03:49:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-75,
20240319 03:49:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-81,
20240319 03:49:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-54,
20240319 03:49:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-54,
20240319 03:49:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-61,
20240319 03:49:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-73,
20240319 03:49:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-74,
20240319 03:49:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-75,
20240319 03:49:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-81,
20240319 03:49:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-54,
20240319 03:49:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-54,
20240319 03:49:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-61,
20240319 03:49:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-65,
20240319 03:49:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-81,
20240319 03:49:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-84,
