Time,UUID,RSSI,
20240424 16:20:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-58,
20240424 16:20:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-59,
20240424 16:20:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-63,
20240424 16:20:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-64,
20240424 16:20:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-76,
20240424 16:20:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-77,
20240424 16:20:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-80,
20240424 16:20:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-54,
20240424 16:20:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-58,
20240424 16:20:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-59,
20240424 16:20:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-68,
20240424 16:20:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-80,
20240424 16:20:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-80,
20240424 16:20:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-88,
20240424 16:20:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-54,
20240424 16:20:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-58,
20240424 16:20:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-65,
20240424 16:20:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-71,
20240424 16:20:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-80,
20240424 16:20:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-80,
20240424 16:20:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-88,
20240424 16:20:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-55,
20240424 16:20:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-58,
20240424 16:20:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-60,
20240424 16:20:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-68,
20240424 16:20:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-77,
20240424 16:20:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-80,
20240424 16:20:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-80,
20240424 16:20:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-54,
20240424 16:20:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-63,
20240424 16:20:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-68,
20240424 16:20:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-71,
20240424 16:20:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-77,
20240424 16:20:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-80,
20240424 16:20:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-80,
20240424 16:20:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-54,
20240424 16:20:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-63,
20240424 16:20:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-64,
20240424 16:20:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-69,
20240424 16:20:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-71,
20240424 16:20:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-71,
20240424 16:20:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-72,
20240424 16:20:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-54,
20240424 16:20:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-62,
20240424 16:20:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-62,
20240424 16:20:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-63,
20240424 16:20:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-69,
20240424 16:20:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-71,
20240424 16:20:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-72,
20240424 16:20:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-61,
20240424 16:20:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-61,
20240424 16:20:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-62,
20240424 16:20:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-63,
20240424 16:20:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-69,
20240424 16:20:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-71,
20240424 16:20:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-74,
20240424 16:20:32,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-61,
20240424 16:20:32,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-61,
20240424 16:20:32,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-62,
20240424 16:20:32,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-63,
20240424 16:20:32,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-71,
20240424 16:20:32,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-71,
20240424 16:20:32,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-87,
20240424 16:20:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-59,
20240424 16:20:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-61,
20240424 16:20:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-62,
20240424 16:20:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-65,
20240424 16:20:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-72,
