Time,UUID,RSSI,
20240517 14:46:17,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-55,
20240517 14:46:17,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-65,
20240517 14:46:17,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-67,
20240517 14:46:17,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-77,
20240517 14:46:17,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-84,
20240517 14:46:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-67,
20240517 14:46:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-68,
20240517 14:46:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-69,
20240517 14:46:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-77,
20240517 14:46:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-81,
20240517 14:46:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-67,
20240517 14:46:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-67,
20240517 14:46:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-68,
20240517 14:46:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-70,
20240517 14:46:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-83,
20240517 14:46:32,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-52,
20240517 14:46:32,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-68,
20240517 14:46:32,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-74,
20240517 14:46:32,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-82,
20240517 14:46:32,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-85,
20240517 14:46:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-56,
20240517 14:46:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-66,
20240517 14:46:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-68,
20240517 14:46:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-74,
20240517 14:46:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-85,
20240517 14:46:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-50,
20240517 14:46:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-66,
20240517 14:46:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-70,
20240517 14:46:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-73,
20240517 14:46:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-73,
20240517 14:46:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-50,
20240517 14:46:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-64,
20240517 14:46:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-69,
20240517 14:46:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-70,
20240517 14:46:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-73,
20240517 14:46:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-86,
20240517 14:46:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-54,
20240517 14:46:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-60,
20240517 14:46:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-61,
20240517 14:46:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-73,
20240517 14:46:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-77,
20240517 14:46:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-78,
20240517 14:46:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-51,
20240517 14:46:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-61,
20240517 14:46:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-68,
20240517 14:46:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-72,
20240517 14:46:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-82,
20240517 14:46:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-83,
20240517 14:47:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-56,
20240517 14:47:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-68,
20240517 14:47:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-69,
20240517 14:47:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-69,
20240517 14:47:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-76,
20240517 14:47:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-83,
20240517 14:47:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-56,
20240517 14:47:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-57,
20240517 14:47:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-64,
20240517 14:47:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-67,
20240517 14:47:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-71,
20240517 14:47:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-71,
20240517 14:47:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-50,
20240517 14:47:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-70,
20240517 14:47:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71,
20240517 14:47:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-71,
20240517 14:47:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-75,
20240517 14:47:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-78,
20240517 14:47:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-61,
20240517 14:47:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-68,
20240517 14:47:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-70,
20240517 14:47:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-70,
20240517 14:47:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-75,
20240517 14:47:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-76,
20240517 14:47:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-51,
20240517 14:47:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-68,
20240517 14:47:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-70,
20240517 14:47:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-70,
20240517 14:47:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-71,
20240517 14:47:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-76,
20240517 14:47:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-57,
20240517 14:47:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-64,
20240517 14:47:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-69,
20240517 14:47:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-70,
20240517 14:47:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-77,
20240517 14:47:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-79,
20240517 14:47:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-64,
20240517 14:47:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-65,
20240517 14:47:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-67,
20240517 14:47:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-74,
20240517 14:47:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-77,
20240517 14:47:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-80,
20240517 14:47:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-49,
20240517 14:47:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-65,
20240517 14:47:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71,
20240517 14:47:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-72,
20240517 14:47:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-76,
20240517 14:47:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-80,
20240517 14:47:44,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-55,
20240517 14:47:44,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-67,
20240517 14:47:44,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-68,
20240517 14:47:44,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-75,
20240517 14:47:44,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-83,
20240517 14:47:44,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-83,
20240517 14:47:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-55,
20240517 14:47:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-63,
20240517 14:47:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-67,
20240517 14:47:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-72,
20240517 14:47:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-74,
20240517 14:47:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-75,
20240517 14:47:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-55,
20240517 14:47:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-63,
20240517 14:47:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-72,
20240517 14:47:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-74,
20240517 14:47:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-75,
20240517 14:47:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-82,
20240517 14:47:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-55,
20240517 14:47:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-62,
20240517 14:47:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-62,
20240517 14:47:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-74,
20240517 14:47:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-75,
20240517 14:47:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-82,
20240517 14:47:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-55,
20240517 14:47:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-62,
20240517 14:47:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-62,
20240517 14:47:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-74,
20240517 14:47:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-75,
20240517 14:47:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-82,
20240517 14:47:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-55,
20240517 14:47:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-62,
20240517 14:47:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-62,
20240517 14:47:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-70,
20240517 14:47:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-74,
20240517 14:47:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-75,
20240517 14:48:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-62,
20240517 14:48:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-62,
20240517 14:48:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-70,
20240517 14:48:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-74,
20240517 14:48:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-75,
20240517 14:48:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-62,
20240517 14:48:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-68,
20240517 14:48:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-69,
20240517 14:48:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-70,
20240517 14:48:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-83,
20240517 14:48:06,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-52,
20240517 14:48:06,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-62,
20240517 14:48:06,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-69,
20240517 14:48:06,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-70,
20240517 14:48:06,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-73,
20240517 14:48:06,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-83,
20240517 14:48:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-55,
20240517 14:48:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-61,
20240517 14:48:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-69,
20240517 14:48:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-70,
20240517 14:48:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-70,
20240517 14:48:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-78,
20240517 14:48:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-56,
20240517 14:48:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-68,
20240517 14:48:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-69,
20240517 14:48:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-70,
20240517 14:48:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-73,
20240517 14:48:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-81,
20240517 14:48:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-56,
20240517 14:48:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-74,
20240517 14:48:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-79,
20240517 14:48:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-79,
20240517 14:48:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-81,
20240517 14:48:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-83,
20240517 14:48:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-58,
20240517 14:48:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-68,
20240517 14:48:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-70,
20240517 14:48:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-74,
20240517 14:48:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-79,
20240517 14:48:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-83,
20240517 14:48:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-52,
20240517 14:48:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-68,
20240517 14:48:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-70,
20240517 14:48:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-79,
20240517 14:48:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-83,
20240517 14:48:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-83,
20240517 14:48:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-67,
20240517 14:48:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-69,
20240517 14:48:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-69,
20240517 14:48:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-79,
20240517 14:48:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-89,
20240517 14:48:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-92,
20240517 14:48:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-53,
20240517 14:48:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-69,
20240517 14:48:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-74,
20240517 14:48:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-74,
20240517 14:48:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-78,
20240517 14:48:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-84,
20240517 14:48:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-53,
20240517 14:48:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-69,
20240517 14:48:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-74,
20240517 14:48:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-79,
20240517 14:48:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-81,
20240517 14:48:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-82,
20240517 14:48:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-67,
20240517 14:48:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-69,
20240517 14:48:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-70,
20240517 14:48:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-81,
20240517 14:48:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-88,
20240517 14:48:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-89,
20240517 14:48:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-65,
20240517 14:48:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-69,
20240517 14:48:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-70,
20240517 14:48:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-72,
20240517 14:48:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-77,
20240517 14:48:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-84,
20240517 14:48:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-53,
20240517 14:48:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-61,
20240517 14:48:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-69,
20240517 14:48:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-75,
20240517 14:48:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-79,
20240517 14:48:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-80,
20240517 14:49:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-51,
20240517 14:49:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-67,
20240517 14:49:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-71,
20240517 14:49:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-75,
20240517 14:49:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-87,
20240517 14:49:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-91,
20240517 14:49:09,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-67,
20240517 14:49:09,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-69,
20240517 14:49:09,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-69,
20240517 14:49:09,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-81,
20240517 14:49:09,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-82,
20240517 14:49:09,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-87,
20240517 14:49:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-53,
20240517 14:49:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-64,
20240517 14:49:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-67,
20240517 14:49:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-71,
20240517 14:49:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-82,
20240517 14:49:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-87,
20240517 14:49:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-53,
20240517 14:49:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-67,
20240517 14:49:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-71,
20240517 14:49:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-76,
20240517 14:49:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-84,
20240517 14:49:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-86,
20240517 14:49:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-53,
20240517 14:49:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-64,
20240517 14:49:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-77,
20240517 14:49:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-90,
20240517 14:49:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-90,
20240517 14:49:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-91,
20240517 14:49:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-64,
20240517 14:49:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-69,
20240517 14:49:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-73,
20240517 14:49:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-75,
20240517 14:49:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-77,
20240517 14:49:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-90,
20240517 14:49:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-53,
20240517 14:49:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-64,
20240517 14:49:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-71,
20240517 14:49:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-73,
20240517 14:49:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-75,
20240517 14:49:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-87,
20240517 14:49:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-51,
20240517 14:49:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-75,
20240517 14:49:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-76,
20240517 14:49:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-80,
20240517 14:49:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-82,
20240517 14:49:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-87,
20240517 14:49:44,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-51,
20240517 14:49:44,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-70,
20240517 14:49:44,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-73,
20240517 14:49:44,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-78,
20240517 14:49:44,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-79,
20240517 14:49:44,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-89,
20240517 14:49:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-51,
20240517 14:49:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-70,
20240517 14:49:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-73,
20240517 14:49:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-74,
20240517 14:49:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-78,
20240517 14:49:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-89,
20240517 14:49:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-69,
20240517 14:49:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-70,
20240517 14:49:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-74,
20240517 14:49:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-77,
20240517 14:49:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-78,
