Time,UUID,RSSI,,,49,11,1,21
20240312 15:42:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-59,,,53,11,2,22
20240312 15:42:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-67,,,57,11,7,27
20240312 15:42:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-67,,,1,9,11,39
20240312 15:42:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-71,,,5,6,8,18
20240312 15:42:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-72,,,9,6,2,12
20240312 15:42:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-73,,,13,6,1,11
20240312 15:42:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-74,,,,,,
20240312 15:42:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-55,,,,,,
20240312 15:42:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-66,,,,,,
20240312 15:42:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-67,,,27,6,1,11
20240312 15:42:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-73,,,31,6,1,11
20240312 15:42:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-74,,,35,6,1,11
20240312 15:42:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-74,,,39,6,5,15
20240312 15:42:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-76,,,43,6,11,36
20240312 15:42:57,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-55,,,47,1,10,10
20240312 15:42:57,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-66,,,51,1,4,4
20240312 15:42:57,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-68,,,55,1,1,1
20240312 15:42:57,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-70,,,59,1,1,1
20240312 15:42:57,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-73,,,,,,
20240312 15:42:57,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-76,,,,,,
20240312 15:42:57,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-80,,,,,,
20240312 15:43:01,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-55,,,,,,
20240312 15:43:01,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-60,,,,,,
20240312 15:43:01,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-60,,,,,,
20240312 15:43:01,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-69,,,,,,
20240312 15:43:01,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-73,,,,,,
20240312 15:43:01,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-76,,,,,,
20240312 15:43:01,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-80,,,,,,
20240312 15:43:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-55,,,,,,
20240312 15:43:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-60,,,,,,
20240312 15:43:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-60,,,,,,
20240312 15:43:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-69,,,,,,
20240312 15:43:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-73,,,,,,
20240312 15:43:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-79,,,,,,
20240312 15:43:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-80,,,,,,
20240312 15:43:09,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-51,,,,,,
20240312 15:43:09,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-62,,,,,,
20240312 15:43:09,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-62,,,,,,
20240312 15:43:09,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-69,,,,,,
20240312 15:43:09,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-79,,,,,,
20240312 15:43:09,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-80,,,,,,
20240312 15:43:09,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-83,,,,,,
20240312 15:43:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-55,,,,,,
20240312 15:43:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-61,,,,,,
20240312 15:43:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-68,,,,,,
20240312 15:43:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-71,,,,,,
20240312 15:43:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-73,,,,,,
20240312 15:43:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-74,,,,,,
20240312 15:43:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-79,,,,,,
