Time,UUID,RSSI,,,49,11,1,21
20240312 15:46:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-57,,,53,11,2,22
20240312 15:46:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-62,,,57,11,7,27
20240312 15:46:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-62,,,1,9,11,39
20240312 15:46:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-71,,,5,6,8,18
20240312 15:46:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-72,,,9,6,2,12
20240312 15:46:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-73,,,13,6,1,11
20240312 15:46:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-76,,,,,,
20240312 15:46:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-57,,,,,,
20240312 15:46:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-57,,,,,,
20240312 15:46:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-66,,,27,6,1,11
20240312 15:46:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-72,,,31,6,1,11
20240312 15:46:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-73,,,35,6,1,11
20240312 15:46:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-76,,,39,6,5,15
20240312 15:46:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-78,,,43,6,11,36
20240312 15:46:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-57,,,47,1,10,10
20240312 15:46:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-57,,,51,1,4,4
20240312 15:46:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-65,,,55,1,1,1
20240312 15:46:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-66,,,59,1,1,1
20240312 15:46:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-69,,,,,,
20240312 15:46:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-75,,,,,,
20240312 15:46:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-78,,,,,,
20240312 15:46:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-57,,,,,,
20240312 15:46:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-57,,,,,,
20240312 15:46:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-67,,,,,,
20240312 15:46:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-68,,,,,,
20240312 15:46:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-69,,,,,,
20240312 15:46:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-74,,,,,,
20240312 15:46:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-78,,,,,,
20240312 15:46:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-49,,,,,,
20240312 15:46:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-54,,,,,,
20240312 15:46:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-67,,,,,,
20240312 15:46:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-69,,,,,,
20240312 15:46:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-74,,,,,,
20240312 15:46:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-78,,,,,,
