Time,UUID,RSSI,,52,11,1,21
20240312 15:18:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-61,,55,11,1,21
20240312 15:18:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-63,,59,11,1,21
20240312 15:18:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-68,,3,11,4,24
20240312 15:18:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-71,,7,11,11,41
20240312 15:18:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-74,,15,6,5,15
20240312 15:18:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-75,,19,6,1,11
20240312 15:18:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-79,,,,,
20240312 15:18:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-61,,48,6,1,11
20240312 15:18:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-64,,52,6,1,11
20240312 15:18:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-67,,56,6,5,15
20240312 15:18:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-71,,0,6,11,36
20240312 15:18:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-71,,4,1,11,31
20240312 15:18:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-74,,8,1,5,5
20240312 15:18:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-74,,12,1,1,1
20240312 15:18:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-63,,16,1,1,1
20240312 15:18:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-71,,,,,
20240312 15:18:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-71,,,,,
20240312 15:18:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-72,,,,,
20240312 15:18:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-75,,,,,
20240312 15:18:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-75,,,,,
20240312 15:18:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-77,,,,,
20240312 15:19:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-63,,,,,
20240312 15:19:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-63,,,,,
20240312 15:19:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-69,,,,,
20240312 15:19:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-71,,,,,
20240312 15:19:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-75,,,,,
20240312 15:19:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-77,,,,,
20240312 15:19:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-79,,,,,
20240312 15:19:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-63,,,,,
20240312 15:19:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-64,,,,,
20240312 15:19:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-64,,,,,
20240312 15:19:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-69,,,,,
20240312 15:19:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-72,,,,,
20240312 15:19:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-75,,,,,
20240312 15:19:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-80,,,,,
20240312 15:19:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-54,,,,,
20240312 15:19:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-59,,,,,
20240312 15:19:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-59,,,,,
20240312 15:19:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-60,,,,,
20240312 15:19:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-63,,,,,
20240312 15:19:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-68,,,,,
20240312 15:19:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-75,,,,,
20240312 15:19:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-48,,,,,
20240312 15:19:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-54,,,,,
20240312 15:19:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-63,,,,,
20240312 15:19:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-69,,,,,
20240312 15:19:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-74,,,,,
20240312 15:19:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-86,,,,,
