Time,UUID,RSSI,,29,11,1,
20240312 14:43:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-59,,33,11,7,
20240312 14:43:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-63,,37,9,11,
20240312 14:43:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71,,41,6,11,
20240312 14:43:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-73,,45,6,5,
20240312 14:43:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-73,,49,6,1,
20240312 14:43:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-79,,53,6,1,
20240312 14:43:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-80,,,,,
20240312 14:43:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-59,,,,,
20240312 14:43:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-63,,47,6,1,11
20240312 14:43:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71,,51,6,8,18
20240312 14:43:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-73,,55,3,11,33
20240312 14:43:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-76,,59,1,8,8
20240312 14:43:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-80,,3,1,1,1
20240312 14:43:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-63,,7,1,1,1
20240312 14:43:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-66,,11,1,1,1
20240312 14:43:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-73,,,,,
20240312 14:43:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-74,,,,,
20240312 14:43:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-76,,,,,
20240312 14:43:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-56,,,,,
20240312 14:43:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-66,,,,,
20240312 14:43:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-74,,,,,
20240312 14:43:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-75,,,,,
20240312 14:43:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-76,,,,,
20240312 14:43:45,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-45,,,,,
20240312 14:43:45,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-54,,,,,
20240312 14:43:45,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-59,,,,,
20240312 14:43:45,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-61,,,,,
20240312 14:43:45,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-85,,,,,
20240312 14:43:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-45,,,,,
20240312 14:43:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-51,,,,,
20240312 14:43:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-54,,,,,
20240312 14:43:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-67,,,,,
20240312 14:43:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-73,,,,,
20240312 14:43:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-85,,,,,
20240312 14:43:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-49,,,,,
20240312 14:43:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-68,,,,,
20240312 14:43:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-71,,,,,
20240312 14:43:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-73,,,,,
20240312 14:43:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-73,,,,,
20240312 14:43:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-74,,,,,
20240312 14:43:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-85,,,,,
