Time,UUID,RSSI,,16,11,1
20240312 14:24:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-65,,19,11,4
20240312 14:24:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-69,,23,11,10
20240312 14:24:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-72,,27,6,11
20240312 14:24:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-73,,31,6,7
20240312 14:24:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-76,,35,6,1
20240312 14:24:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-76,,39,6,1
20240312 14:24:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-77,,,,
20240312 14:24:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-60,,,,
20240312 14:24:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-65,,0,6,1
20240312 14:24:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-69,,4,6,4
20240312 14:24:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71,,8,6,10
20240312 14:24:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-71,,12,6,5
20240312 14:24:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-76,,16,1,5
20240312 14:24:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-78,,20,1,1
20240312 14:24:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-62,,24,1,1
20240312 14:24:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-65,,,,
20240312 14:24:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-65,,,,
20240312 14:24:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-69,,,,
20240312 14:24:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-71,,,,
20240312 14:24:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-75,,,,
20240312 14:24:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-83,,,,
20240312 14:24:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-54,,,,
20240312 14:24:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-62,,,,
20240312 14:24:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-65,,,,
20240312 14:24:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-68,,,,
20240312 14:24:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-69,,,,
20240312 14:24:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-75,,,,
20240312 14:24:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-83,,,,
20240312 14:24:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-54,,,,
20240312 14:24:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-54,,,,
20240312 14:24:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-62,,,,
20240312 14:24:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-65,,,,
20240312 14:24:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-67,,,,
20240312 14:24:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-82,,,,
20240312 14:24:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-83,,,,
20240312 14:24:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-49,,,,
20240312 14:24:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-54,,,,
20240312 14:24:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-54,,,,
20240312 14:24:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-61,,,,
20240312 14:24:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-65,,,,
20240312 14:24:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-74,,,,
20240312 14:24:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-82,,,,
20240312 14:24:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-54,,,,
20240312 14:24:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-60,,,,
20240312 14:24:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-65,,,,
20240312 14:24:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-65,,,,
20240312 14:24:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-71,,,,
20240312 14:24:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-76,,,,
20240312 14:24:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-82,,,,
