Time,UUID,RSSI,,16,11,1
20240312 14:28:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-54,,19,11,4
20240312 14:28:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-54,,23,11,10
20240312 14:28:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-58,,27,6,11
20240312 14:28:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-71,,31,6,7
20240312 14:28:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-71,,35,6,1
20240312 14:28:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71,,39,6,1
20240312 14:28:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-82,,,,
20240312 14:28:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-52,,,,
20240312 14:28:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-54,,0,6,1
20240312 14:28:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-54,,4,6,4
20240312 14:28:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71,,8,6,10
20240312 14:28:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-76,,12,6,5
20240312 14:28:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-77,,16,1,5
20240312 14:28:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-82,,20,1,1
20240312 14:28:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-52,,24,1,1
20240312 14:28:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-60,,,,
20240312 14:28:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-64,,,,
20240312 14:28:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-64,,,,
20240312 14:28:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71,,,,
20240312 14:28:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-72,,,,
20240312 14:28:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-74,,,,
20240312 14:28:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-48,,,,
20240312 14:28:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-55,,,,
20240312 14:28:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-57,,,,
20240312 14:28:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-69,,,,
20240312 14:28:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71,,,,
20240312 14:28:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-72,,,,
20240312 14:28:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-74,,,,
20240312 14:28:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-48,,,,
20240312 14:28:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-53,,,,
20240312 14:28:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-57,,,,
20240312 14:28:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-58,,,,
20240312 14:28:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-72,,,,
20240312 14:28:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-74,,,,
20240312 14:28:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-76,,,,
20240312 14:28:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-48,,,,
20240312 14:28:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-53,,,,
20240312 14:28:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-58,,,,
20240312 14:28:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-72,,,,
20240312 14:28:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-76,,,,
20240312 14:28:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-76,,,,
20240312 14:28:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-87,,,,
20240312 14:28:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-47,,,,
20240312 14:28:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-64,,,,
20240312 14:28:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-67,,,,
20240312 14:28:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-71,,,,
20240312 14:28:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-72,,,,
20240312 14:28:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-74,,,,
20240312 14:28:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-77,,,,
