Time,UUID,RSSI,
20220320 04:18:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-54,
20220320 04:18:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-62,
20220320 04:18:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-63,
20220320 04:18:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-66,
20220320 04:18:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-67,
20220320 04:18:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-75,
20220320 04:18:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-77,
20220320 04:18:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-55,
20220320 04:18:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-59,
20220320 04:18:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-62,
20220320 04:18:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-63,
20220320 04:18:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-63,
20220320 04:18:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-66,
20220320 04:18:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-77,
20220320 04:18:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-55,
20220320 04:18:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-63,
20220320 04:18:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-66,
20220320 04:18:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-70,
20220320 04:18:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71,
20220320 04:18:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-72,
20220320 04:18:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-74,
20220320 04:18:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-55,
20220320 04:18:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-63,
20220320 04:18:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-66,
20220320 04:18:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-70,
20220320 04:18:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71,
20220320 04:18:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-72,
20220320 04:18:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-74,
20220320 04:18:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-57,
20220320 04:18:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-64,
20220320 04:18:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-65,
20220320 04:18:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-69,
20220320 04:18:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-70,
20220320 04:18:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71,
20220320 04:18:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-77,
20220320 04:18:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-60,
20220320 04:18:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-62,
20220320 04:18:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-64,
20220320 04:18:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-65,
20220320 04:18:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-70,
20220320 04:18:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-79,
20220320 04:18:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-81,
20220320 04:18:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-40,
20220320 04:18:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-62,
