Time,UUID,RSSI,
20231105 21:01:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-60,
20231105 21:01:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-69,
20231105 21:01:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-77,
20231105 21:01:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-85,
20231105 21:01:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-87,
20231105 21:01:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-68,
20231105 21:01:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-72,
20231105 21:01:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-73,
20231105 21:01:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-83,
20231105 21:01:40,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-60,
20231105 21:01:40,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-69,
20231105 21:01:40,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-73,
20231105 21:01:40,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-84,
20231105 21:01:45,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-62,
20231105 21:01:45,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-65,
20231105 21:01:45,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-74,
20231105 21:01:45,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-76,
20231105 21:01:45,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-88,
20231105 21:01:50,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-62,
20231105 21:01:50,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-63,
20231105 21:01:50,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-74,
20231105 21:01:50,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-75,
20231105 21:01:50,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-76,
20231105 21:01:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-63,
20231105 21:01:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-74,
20231105 21:01:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-75,
20231105 21:01:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-76,
20231105 21:01:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-76,
20231105 21:02:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-63,
20231105 21:02:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-63,
20231105 21:02:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-74,
20231105 21:02:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-77,
20231105 21:02:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-89,
20231105 21:02:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-61,
20231105 21:02:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-69,
20231105 21:02:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-73,
20231105 21:02:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-78,
20231105 21:02:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-89,
20231105 21:02:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-61,
20231105 21:02:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-68,
20231105 21:02:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-73,
20231105 21:02:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-75,
20231105 21:02:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-89,
20231105 21:02:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-63,
20231105 21:02:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-68,
20231105 21:02:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-73,
20231105 21:02:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-75,
20231105 21:02:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-77,
20231105 21:02:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-61,
20231105 21:02:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-69,
20231105 21:02:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-73,
20231105 21:02:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-75,
20231105 21:02:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-77,
20231105 21:02:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-65,
20231105 21:02:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-69,
20231105 21:02:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-73,
20231105 21:02:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-75,
20231105 21:02:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-89,
20231105 21:02:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-60,
20231105 21:02:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-69,
20231105 21:02:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-73,
20231105 21:02:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-74,
20231105 21:02:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-77,
20231105 21:02:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-60,
20231105 21:02:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-62,
20231105 21:02:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-73,
20231105 21:02:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-74,
20231105 21:02:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-77,
20231105 21:02:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-62,
20231105 21:02:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-63,
20231105 21:02:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-73,
20231105 21:02:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-75,
20231105 21:02:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-87,
20231105 21:02:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-62,
20231105 21:02:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-63,
20231105 21:02:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-73,
20231105 21:02:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-76,
20231105 21:02:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-87,
20231105 21:02:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-63,
20231105 21:02:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-73,
20231105 21:02:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-76,
20231105 21:02:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-77,
20231105 21:02:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-84,
20231105 21:02:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-62,
20231105 21:02:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-63,
20231105 21:02:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-74,
20231105 21:02:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-77,
20231105 21:02:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-88,
20231105 21:02:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-60,
20231105 21:02:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-67,
20231105 21:02:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-73,
20231105 21:02:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-75,
20231105 21:02:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-76,
20231105 21:03:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-64,
20231105 21:03:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71,
20231105 21:03:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-74,
20231105 21:03:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-75,
20231105 21:03:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-85,
20231105 21:03:09,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-62,
20231105 21:03:09,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-64,
20231105 21:03:09,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-75,
20231105 21:03:09,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-76,
20231105 21:03:09,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-85,
20231105 21:03:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-61,
20231105 21:03:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-62,
20231105 21:03:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-73,
20231105 21:03:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-75,
20231105 21:03:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-76,
20231105 21:03:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-64,
20231105 21:03:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-73,
20231105 21:03:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-75,
20231105 21:03:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-75,
20231105 21:03:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-85,
20231105 21:03:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-63,
20231105 21:03:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-73,
20231105 21:03:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-75,
20231105 21:03:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-75,
20231105 21:03:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-84,
20231105 21:03:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-59,
20231105 21:03:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-61,
20231105 21:03:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-75,
20231105 21:03:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-77,
20231105 21:03:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-78,
20231105 21:03:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-61,
20231105 21:03:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-69,
20231105 21:03:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-73,
20231105 21:03:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-77,
20231105 21:03:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-92,
20231105 21:03:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-63,
20231105 21:03:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-73,
20231105 21:03:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-73,
20231105 21:03:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-75,
20231105 21:03:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-76,
20231105 21:03:44,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-60,
20231105 21:03:44,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-62,
20231105 21:03:44,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-74,
20231105 21:03:44,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-76,
20231105 21:03:44,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-78,
20231105 21:03:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-61,
20231105 21:03:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-68,
20231105 21:03:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-73,
20231105 21:03:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-73,
20231105 21:03:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-85,
20231105 21:03:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-64,
20231105 21:03:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-72,
20231105 21:03:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-73,
20231105 21:03:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-75,
20231105 21:03:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-77,
20231105 21:03:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-64,
20231105 21:03:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-72,
20231105 21:03:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-73,
20231105 21:03:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-75,
20231105 21:03:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-75,
20231105 21:04:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-61,
20231105 21:04:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-63,
20231105 21:04:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-75,
20231105 21:04:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-75,
20231105 21:04:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-75,
20231105 21:04:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-61,
20231105 21:04:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-62,
20231105 21:04:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-74,
20231105 21:04:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-75,
20231105 21:04:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-77,
20231105 21:04:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-63,
20231105 21:04:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-72,
20231105 21:04:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-75,
20231105 21:04:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-75,
20231105 21:04:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-83,
20231105 21:04:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-63,
20231105 21:04:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-70,
20231105 21:04:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-75,
20231105 21:04:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-75,
20231105 21:04:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-76,
20231105 21:04:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-60,
20231105 21:04:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-62,
20231105 21:04:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-74,
20231105 21:04:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-75,
20231105 21:04:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-79,
20231105 21:04:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-64,
20231105 21:04:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-68,
20231105 21:04:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-73,
20231105 21:04:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-75,
20231105 21:04:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-89,
20231105 21:04:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-60,
20231105 21:04:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71,
20231105 21:04:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-77,
20231105 21:04:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-79,
20231105 21:04:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-89,
20231105 21:04:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-60,
20231105 21:04:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-69,
20231105 21:04:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-75,
20231105 21:04:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-75,
20231105 21:04:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-89,
20231105 21:04:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-58,
20231105 21:04:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-72,
20231105 21:04:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-79,
20231105 21:04:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-83,
20231105 21:04:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-88,
20231105 21:04:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-58,
20231105 21:04:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-79,
20231105 21:04:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-82,
20231105 21:04:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-88,
20231105 21:04:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-99,
20231105 21:04:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-58,
20231105 21:04:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-70,
20231105 21:04:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-80,
20231105 21:04:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-82,
20231105 21:04:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-88,
20231105 21:04:57,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-70,
20231105 21:04:57,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-74,
20231105 21:04:57,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-80,
20231105 21:04:57,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-88,
20231105 21:04:57,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-89,
20231105 21:05:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-75,
20231105 21:05:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-85,
20231105 21:05:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-85,
20231105 21:05:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-94,
20231105 21:05:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-97,
