Time,UUID,RSSI,
20231105 21:07:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-65,
20231105 21:07:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-67,
20231105 21:07:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-68,
20231105 21:07:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-74,
20231105 21:07:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-82,
20231105 21:07:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-68,
20231105 21:07:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-68,
20231105 21:07:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-69,
20231105 21:07:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71,
20231105 21:07:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-72,
20231105 21:07:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-61,
20231105 21:07:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-69,
20231105 21:07:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71,
20231105 21:07:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-73,
20231105 21:07:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-81,
20231105 21:07:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-61,
20231105 21:07:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-69,
20231105 21:07:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71,
20231105 21:07:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-72,
20231105 21:07:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-91,
20231105 21:07:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-61,
20231105 21:07:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-67,
20231105 21:07:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-67,
20231105 21:07:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71,
20231105 21:07:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-71,
20231105 21:07:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-71,
20231105 21:07:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-74,
20231105 21:07:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-75,
20231105 21:07:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-77,
20231105 21:07:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-81,
20231105 21:07:44,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-62,
20231105 21:07:44,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-71,
20231105 21:07:44,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71,
20231105 21:07:44,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-73,
20231105 21:07:44,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-93,
20231105 21:07:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-65,
20231105 21:07:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-68,
20231105 21:07:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-72,
20231105 21:07:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-73,
20231105 21:07:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-74,
20231105 21:07:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-65,
20231105 21:07:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-72,
20231105 21:07:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-73,
20231105 21:07:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-74,
20231105 21:07:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-81,
20231105 21:07:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-65,
20231105 21:07:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-71,
20231105 21:07:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-72,
20231105 21:07:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-72,
20231105 21:07:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-90,
20231105 21:08:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-62,
20231105 21:08:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-72,
20231105 21:08:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-72,
20231105 21:08:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-88,
20231105 21:08:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-92,
20231105 21:08:09,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-62,
20231105 21:08:09,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-68,
20231105 21:08:09,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71,
20231105 21:08:09,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-72,
20231105 21:08:09,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-72,
20231105 21:08:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-62,
20231105 21:08:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-71,
20231105 21:08:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-72,
20231105 21:08:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-73,
20231105 21:08:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-79,
20231105 21:08:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-63,
20231105 21:08:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-71,
20231105 21:08:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-72,
20231105 21:08:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-73,
20231105 21:08:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-88,
20231105 21:08:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-65,
20231105 21:08:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-68,
20231105 21:08:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-73,
20231105 21:08:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-73,
20231105 21:08:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-88,
20231105 21:08:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-65,
20231105 21:08:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-71,
20231105 21:08:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71,
20231105 21:08:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-73,
20231105 21:08:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-79,
20231105 21:08:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-65,
20231105 21:08:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-67,
20231105 21:08:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-72,
20231105 21:08:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-91,
20231105 21:08:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-92,
20231105 21:08:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-62,
20231105 21:08:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-71,
20231105 21:08:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-72,
20231105 21:08:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-74,
20231105 21:08:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-92,
