Time,UUID,RSSI,
20231105 21:22:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-64,
20231105 21:22:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-72,
20231105 21:22:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-73,
20231105 21:22:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-77,
20231105 21:22:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-81,
20231105 21:22:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-64,
20231105 21:22:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-70,
20231105 21:22:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-72,
20231105 21:22:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-73,
20231105 21:22:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-77,
20231105 21:22:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-61,
20231105 21:22:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-68,
20231105 21:22:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-74,
20231105 21:22:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-77,
20231105 21:22:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-85,
20231105 21:22:40,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-66,
20231105 21:22:40,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-66,
20231105 21:22:40,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71,
20231105 21:22:40,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-74,
20231105 21:22:40,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-85,
20231105 21:22:45,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-64,
20231105 21:22:45,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-70,
20231105 21:22:45,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-71,
20231105 21:22:45,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71,
20231105 21:22:45,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-87,
20231105 21:22:50,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-64,
20231105 21:22:50,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-67,
20231105 21:22:50,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-68,
20231105 21:22:50,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-71,
20231105 21:22:50,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-79,
20231105 21:22:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-64,
20231105 21:22:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-66,
20231105 21:22:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-67,
20231105 21:22:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-75,
20231105 21:22:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-79,
20231105 21:23:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-62,
20231105 21:23:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-66,
20231105 21:23:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-68,
20231105 21:23:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-71,
20231105 21:23:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-75,
20231105 21:23:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-62,
20231105 21:23:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-66,
20231105 21:23:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-68,
20231105 21:23:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-69,
20231105 21:23:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-71,
20231105 21:23:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-58,
20231105 21:23:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-66,
20231105 21:23:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-69,
20231105 21:23:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-70,
20231105 21:23:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-71,
20231105 21:23:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-58,
20231105 21:23:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-66,
20231105 21:23:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-67,
20231105 21:23:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-71,
20231105 21:23:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-71,
20231105 21:23:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-62,
20231105 21:23:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-70,
20231105 21:23:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71,
20231105 21:23:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-72,
20231105 21:23:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-84,
20231105 21:23:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-67,
20231105 21:23:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-68,
20231105 21:23:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-68,
20231105 21:23:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-70,
20231105 21:23:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-84,
20231105 21:23:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-67,
20231105 21:23:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-68,
20231105 21:23:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-75,
20231105 21:23:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-78,
20231105 21:23:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-84,
20231105 21:23:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-66,
20231105 21:23:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-67,
20231105 21:23:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-69,
20231105 21:23:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-71,
20231105 21:23:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71,
20231105 21:23:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-65,
20231105 21:23:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-69,
20231105 21:23:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-71,
20231105 21:23:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71,
20231105 21:23:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-84,
20231105 21:23:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-65,
20231105 21:23:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-68,
20231105 21:23:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71,
20231105 21:23:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-78,
20231105 21:23:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-84,
20231105 21:23:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-63,
20231105 21:23:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-66,
20231105 21:23:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-67,
20231105 21:23:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-74,
20231105 21:23:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-77,
20231105 21:23:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-64,
20231105 21:23:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-66,
20231105 21:23:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-67,
20231105 21:23:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-69,
20231105 21:23:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-71,
20231105 21:23:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-59,
20231105 21:23:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-66,
20231105 21:23:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-68,
