Time,UUID,RSSI,
20231105 21:22:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-63,
20231105 21:22:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-69,
20231105 21:22:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-80,
20231105 21:22:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-82,
20231105 21:22:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-83,
20231105 21:22:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-62,
20231105 21:22:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-77,
20231105 21:22:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-80,
20231105 21:22:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-82,
20231105 21:22:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-83,
20231105 21:22:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-62,
20231105 21:22:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-63,
20231105 21:22:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-76,
20231105 21:22:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-80,
20231105 21:22:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-86,
20231105 21:22:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-62,
20231105 21:22:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-75,
20231105 21:22:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-76,
20231105 21:22:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-80,
20231105 21:22:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-83,
20231105 21:22:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-62,
20231105 21:22:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-70,
20231105 21:22:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-75,
20231105 21:22:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-76,
20231105 21:22:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-77,
20231105 21:22:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-70,
