Time,UUID,RSSI,
20231101 12:22:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-55,
20231101 12:22:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-61,
20231101 12:22:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-63,
20231101 12:22:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-63,
20231101 12:22:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-64,
20231101 12:22:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-78,
20231101 12:22:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-88,
20231101 12:22:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-57,
20231101 12:22:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-62,
20231101 12:22:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-63,
20231101 12:22:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-63,
20231101 12:22:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-66,
20231101 12:22:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-78,
20231101 12:22:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-88,
20231101 12:22:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-53,
20231101 12:22:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-58,
20231101 12:22:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-58,
20231101 12:22:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-66,
20231101 12:22:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-68,
20231101 12:22:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-81,
20231101 12:22:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-52,
20231101 12:22:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-60,
20231101 12:22:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-64,
20231101 12:22:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-67,
20231101 12:22:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-67,
20231101 12:22:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-81,
20231101 12:22:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-55,
20231101 12:22:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-61,
20231101 12:22:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-61,
20231101 12:22:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-62,
20231101 12:22:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-67,
20231101 12:22:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-77,
20231101 12:22:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-79,
20231101 12:22:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-54,
20231101 12:22:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-59,
20231101 12:22:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-60,
20231101 12:22:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-67,
20231101 12:22:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-67,
20231101 12:22:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-77,
20231101 12:22:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-78,
20231101 12:22:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-54,
20231101 12:22:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-61,
20231101 12:22:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-65,
20231101 12:22:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-68,
20231101 12:22:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-68,
20231101 12:22:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-72,
20231101 12:22:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-73,
20231101 12:22:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-58,
20231101 12:22:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-62,
20231101 12:22:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-63,
20231101 12:22:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-65,
20231101 12:22:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-68,
20231101 12:22:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-77,
20231101 12:22:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-78,
20231101 12:22:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-54,
20231101 12:22:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-60,
20231101 12:22:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-61,
20231101 12:22:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-67,
20231101 12:22:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-67,
20231101 12:22:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-77,
20231101 12:22:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-81,
20231101 12:22:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-52,
20231101 12:22:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-58,
20231101 12:22:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-59,
20231101 12:22:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-67,
20231101 12:22:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-68,
20231101 12:22:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-73,
