Time,UUID,RSSI,
20231101 12:22:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-58,
20231101 12:22:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-67,
20231101 12:22:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-68,
20231101 12:22:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-70,
20231101 12:22:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-81,
20231101 12:22:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-81,
20231101 12:22:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-89,
20231101 12:22:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-60,
20231101 12:22:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-64,
20231101 12:22:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-67,
20231101 12:22:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-71,
20231101 12:22:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-77,
20231101 12:22:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-80,
20231101 12:22:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-89,
20231101 12:22:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-57,
20231101 12:22:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-61,
20231101 12:22:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-68,
20231101 12:22:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-70,
20231101 12:22:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-71,
20231101 12:22:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-81,
20231101 12:22:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-89,
20231101 12:22:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-59,
20231101 12:22:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-61,
20231101 12:22:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-67,
20231101 12:22:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-68,
20231101 12:22:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-78,
20231101 12:22:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-83,
20231101 12:22:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-90,
20231101 12:22:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-60,
20231101 12:22:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-62,
20231101 12:22:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-66,
20231101 12:22:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-70,
20231101 12:22:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-77,
20231101 12:22:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-78,
20231101 12:22:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-79,
20231101 12:22:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-58,
20231101 12:22:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-60,
20231101 12:22:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-61,
20231101 12:22:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-67,
20231101 12:22:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-70,
20231101 12:22:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-81,
20231101 12:22:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-81,
20231101 12:22:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-57,
20231101 12:22:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-60,
20231101 12:22:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-66,
20231101 12:22:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-67,
20231101 12:22:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-81,
20231101 12:22:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-82,
20231101 12:22:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-85,
20231101 12:22:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-57,
20231101 12:22:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-66,
20231101 12:22:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-66,
20231101 12:22:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-67,
20231101 12:22:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-70,
20231101 12:22:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-81,
20231101 12:22:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-85,
20231101 12:22:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-60,
20231101 12:22:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-63,
20231101 12:22:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-63,
20231101 12:22:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-66,
20231101 12:22:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-70,
20231101 12:22:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-80,
20231101 12:22:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-81,
20231101 12:22:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-61,
20231101 12:22:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-61,
20231101 12:22:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-66,
20231101 12:22:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-67,
20231101 12:22:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-79,
20231101 12:22:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-80,
20231101 12:22:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-81,
20231101 12:22:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-57,
20231101 12:22:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-58,
20231101 12:22:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-66,
20231101 12:22:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-71,
20231101 12:22:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-72,
20231101 12:22:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-76,
