Time,UUID,RSSI,
20231105 20:53:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-58,
20231105 20:53:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-66,
20231105 20:53:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-66,
20231105 20:53:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-70,
20231105 20:53:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-71,
20231105 20:53:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71,
20231105 20:53:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-100,
20231105 20:53:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-56,
20231105 20:53:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-63,
20231105 20:53:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-66,
20231105 20:53:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-71,
20231105 20:53:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71,
20231105 20:53:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-77,
20231105 20:53:13,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-84,
20231105 20:53:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-56,
20231105 20:53:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-63,
20231105 20:53:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-66,
20231105 20:53:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-71,
20231105 20:53:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71,
20231105 20:53:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-73,
20231105 20:53:14,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-84,
20231105 20:53:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-48,
20231105 20:53:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-63,
20231105 20:53:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-69,
20231105 20:53:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-72,
20231105 20:53:19,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-73,
