Time,UUID,RSSI,
20231105 20:53:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-58,
20231105 20:53:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-71,
20231105 20:53:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-72,
20231105 20:53:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-87,
20231105 20:53:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-88,
20231105 20:53:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-64,
20231105 20:53:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-71,
20231105 20:53:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-72,
20231105 20:53:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-77,
20231105 20:53:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-79,
20231105 20:53:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-87,
20231105 20:53:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-51,
20231105 20:53:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-58,
20231105 20:53:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-68,
20231105 20:53:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-71,
20231105 20:53:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-73,
20231105 20:53:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-79,
20231105 20:53:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-81,
20231105 20:53:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-59,
20231105 20:53:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-69,
20231105 20:53:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-71,
20231105 20:53:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-71,
20231105 20:53:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-73,
20231105 20:53:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-74,
20231105 20:53:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-83,
20231105 20:53:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-63,
20231105 20:53:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-66,
20231105 20:53:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-69,
20231105 20:53:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-71,
20231105 20:53:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-76,
20231105 20:53:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-77,
20231105 20:53:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-83,
20231105 20:53:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-51,
20231105 20:53:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-63,
20231105 20:53:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-69,
20231105 20:53:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-71,
20231105 20:53:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-76,
20231105 20:53:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-78,
20231105 20:53:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-83,
20231105 20:53:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-51,
20231105 20:53:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-60,
20231105 20:53:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-68,
20231105 20:53:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-71,
20231105 20:53:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-73,
20231105 20:53:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-75,
20231105 20:53:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-76,
20231105 20:53:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-59,
20231105 20:53:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-60,
20231105 20:53:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-65,
20231105 20:53:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-76,
20231105 20:53:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-77,
20231105 20:53:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-78,
20231105 20:53:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-86,
20231105 20:54:01,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-51,
20231105 20:54:01,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-65,
20231105 20:54:01,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71,
20231105 20:54:01,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-73,
20231105 20:54:01,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-75,
20231105 20:54:01,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-76,
20231105 20:54:01,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-90,
20231105 20:54:06,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-59,
20231105 20:54:06,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-60,
20231105 20:54:06,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-73,
20231105 20:54:06,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-73,
