Time,UUID,RSSI,
20231101 11:13:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-54,
20231101 11:13:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-61,
20231101 11:13:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-65,
20231101 11:13:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-69,
20231101 11:13:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-76,
20231101 11:13:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-88,
20231101 11:13:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-50,
20231101 11:13:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-65,
20231101 11:13:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-65,
20231101 11:13:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-65,
20231101 11:13:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-69,
20231101 11:13:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-72,
20231101 11:13:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-73,
20231101 11:13:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-54,
20231101 11:13:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-61,
20231101 11:13:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-63,
20231101 11:13:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-67,
20231101 11:13:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-69,
20231101 11:13:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-73,
20231101 11:13:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-79,
20231101 11:13:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-49,
20231101 11:13:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-61,
20231101 11:13:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-63,
20231101 11:13:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-65,
20231101 11:13:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-71,
20231101 11:13:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-75,
20231101 11:13:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-77,
20231101 11:13:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-49,
20231101 11:13:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-61,
20231101 11:13:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-66,
20231101 11:13:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-68,
