Time,UUID,RSSI
20231101 11:13:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-51
20231101 11:13:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-68
20231101 11:13:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-71
20231101 11:13:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-74
20231101 11:13:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-74
20231101 11:13:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-83
20231101 11:13:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-86
20231101 11:13:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-51
20231101 11:13:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-68
20231101 11:13:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-70
20231101 11:13:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-73
20231101 11:13:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-74
20231101 11:13:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-76
20231101 11:13:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-86
20231101 11:13:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-56
20231101 11:13:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-65
20231101 11:13:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-68
20231101 11:13:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-74
20231101 11:13:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-76
20231101 11:13:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-86
20231101 11:13:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-56
20231101 11:13:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-65
20231101 11:13:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-75
20231101 11:13:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-75
20231101 11:13:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-79
