Time,UUID,RSSI,
20231101 11:24:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-67,
20231101 11:24:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-69,
20231101 11:24:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-70,
20231101 11:24:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-71,
20231101 11:24:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-71,
20231101 11:24:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-76,
20231101 11:24:24,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-80,
20231101 11:24:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-58,
20231101 11:24:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-64,
20231101 11:24:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-71,
20231101 11:24:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-73,
20231101 11:24:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-76,
20231101 11:24:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-80,
20231101 11:24:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-84,
20231101 11:24:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-53,
20231101 11:24:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-64,
20231101 11:24:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-70,
20231101 11:24:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-75,
20231101 11:24:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-75,
20231101 11:24:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-76,
20231101 11:24:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-81,
20231101 11:24:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-52,
