Time,UUID,RSSI,
20231101 14:18:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-49,
20231101 14:18:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-55,
20231101 14:18:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-70,
20231101 14:18:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-77,
20231101 14:18:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-78,
20231101 14:18:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-80,
20231101 14:18:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-85,
20231101 14:18:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-59,
20231101 14:18:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-66,
20231101 14:18:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-70,
20231101 14:18:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-70,
20231101 14:18:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-78,
20231101 14:18:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-78,
20231101 14:18:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-79,
20231101 14:18:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-51,
20231101 14:18:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-62,
20231101 14:18:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-63,
20231101 14:18:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-64,
20231101 14:18:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-75,
20231101 14:18:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-78,
20231101 14:18:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-80,
20231101 14:18:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-51,
20231101 14:18:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-63,
20231101 14:18:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-63,
20231101 14:18:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-64,
20231101 14:18:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-71,
20231101 14:18:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-75,
20231101 14:18:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-82,
20231101 14:18:32,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-51,
20231101 14:18:32,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-58,
20231101 14:18:32,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-63,
20231101 14:18:32,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-69,
20231101 14:18:32,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-72,
20231101 14:18:32,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-75,
20231101 14:18:32,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-82,
20231101 14:18:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-58,
20231101 14:18:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-63,
20231101 14:18:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-70,
20231101 14:18:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-71,
20231101 14:18:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-72,
20231101 14:18:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-82,
20231101 14:18:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-88,
20231101 14:18:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-52,
20231101 14:18:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-63,
20231101 14:18:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-65,
20231101 14:18:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-65,
20231101 14:18:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-71,
20231101 14:18:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-73,
20231101 14:18:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-82,
20231101 14:18:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-48,
20231101 14:18:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-61,
20231101 14:18:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-61,
20231101 14:18:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-65,
20231101 14:18:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-71,
20231101 14:18:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-80,
20231101 14:18:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-82,
20231101 14:18:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-54,
20231101 14:18:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-64,
20231101 14:18:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-71,
20231101 14:18:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-71,
20231101 14:18:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-72,
20231101 14:18:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-73,
20231101 14:18:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-79,
20231101 14:18:57,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-52,
20231101 14:18:57,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-64,
20231101 14:18:57,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-65,
20231101 14:18:57,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-71,
20231101 14:18:57,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-72,
20231101 14:18:57,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-73,
20231101 14:18:57,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-79,
20231101 14:19:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-47,
20231101 14:19:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-64,
20231101 14:19:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-72,
20231101 14:19:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-73,
20231101 14:19:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-76,
20231101 14:19:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-76,
20231101 14:19:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-83,
20231101 14:19:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-47,
20231101 14:19:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-59,
20231101 14:19:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-61,
20231101 14:19:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-62,
20231101 14:19:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-71,
20231101 14:19:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-76,
20231101 14:19:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-83,
20231101 14:19:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-47,
20231101 14:19:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-65,
20231101 14:19:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-65,
20231101 14:19:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-70,
20231101 14:19:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-75,
20231101 14:19:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-76,
20231101 14:19:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-76,
20231101 14:19:17,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-50,
20231101 14:19:17,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-63,
20231101 14:19:17,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-65,
20231101 14:19:17,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-72,
20231101 14:19:17,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-73,
20231101 14:19:17,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-74,
20231101 14:19:17,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-75,
20231101 14:19:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-48,
20231101 14:19:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-61,
20231101 14:19:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-64,
20231101 14:19:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-68,
20231101 14:19:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-71,
