Time,UUID,RSSI,
20231101 14:18:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-56,
20231101 14:18:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-68,
20231101 14:18:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-69,
20231101 14:18:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-71,
20231101 14:18:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-75,
20231101 14:18:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-81,
20231101 14:18:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-89,
20231101 14:18:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-56,
20231101 14:18:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-63,
20231101 14:18:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-66,
20231101 14:18:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-68,
20231101 14:18:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-72,
20231101 14:18:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-77,
20231101 14:18:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-81,
20231101 14:18:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-55,
20231101 14:18:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-63,
20231101 14:18:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-72,
20231101 14:18:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-74,
20231101 14:18:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-75,
20231101 14:18:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-76,
20231101 14:18:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-80,
20231101 14:18:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-55,
20231101 14:18:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-60,
20231101 14:18:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-65,
20231101 14:18:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-74,
20231101 14:18:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-76,
20231101 14:18:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-77,
20231101 14:18:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-92,
20231101 14:18:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-56,
20231101 14:18:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-63,
20231101 14:18:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-64,
20231101 14:18:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-69,
20231101 14:18:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-71,
20231101 14:18:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-75,
20231101 14:18:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-82,
20231101 14:18:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-54,
20231101 14:18:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-63,
20231101 14:18:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-70,
20231101 14:18:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-72,
20231101 14:18:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-76,
20231101 14:18:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-77,
20231101 14:18:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-82,
20231101 14:18:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-57,
20231101 14:18:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-60,
20231101 14:18:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-65,
20231101 14:18:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-69,
20231101 14:18:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-76,
20231101 14:18:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-83,
20231101 14:18:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-90,
20231101 14:18:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-55,
20231101 14:18:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-60,
20231101 14:18:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-65,
20231101 14:18:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-69,
20231101 14:18:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-76,
20231101 14:18:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-83,
20231101 14:18:49,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-90,
20231101 14:18:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-53,
