Time,UUID,RSSI,
20231101 11:55:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-57,
20231101 11:55:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-61,
20231101 11:55:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-69,
20231101 11:55:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-74,
20231101 11:55:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-89,
20231101 11:55:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-57,
20231101 11:55:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-70,
20231101 11:55:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-71,
20231101 11:55:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-73,
20231101 11:55:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-75,
20231101 11:55:10,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-89,
20231101 11:55:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-57,
20231101 11:55:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-66,
20231101 11:55:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-68,
20231101 11:55:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-71,
20231101 11:55:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-75,
20231101 11:55:15,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-89,
20231101 11:55:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-57,
20231101 11:55:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-61,
20231101 11:55:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-68,
20231101 11:55:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-75,
20231101 11:55:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-76,
20231101 11:55:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-77,
20231101 11:55:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-82,
20231101 11:55:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-53,
20231101 11:55:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-61,
20231101 11:55:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-64,
20231101 11:55:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-68,
20231101 11:55:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-71,
20231101 11:55:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-71,
20231101 11:55:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-76,
20231101 11:55:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-53,
20231101 11:55:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-65,
20231101 11:55:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71,
20231101 11:55:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-71,
20231101 11:55:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-73,
20231101 11:55:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-77,
20231101 11:55:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-81,
20231101 11:55:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-54,
20231101 11:55:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-65,
20231101 11:55:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-66,
20231101 11:55:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-74,
20231101 11:55:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-79,
20231101 11:55:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-81,
20231101 11:55:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-86,
20231101 11:55:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-55,
20231101 11:55:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-61,
20231101 11:55:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-66,
20231101 11:55:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-71,
20231101 11:55:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-74,
20231101 11:55:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-79,
20231101 11:55:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-81,
20231101 11:55:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-59,
20231101 11:55:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-63,
20231101 11:55:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-71,
20231101 11:55:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-71,
20231101 11:55:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-78,
20231101 11:55:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-79,
20231101 11:55:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-81,
20231101 11:55:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-54,
20231101 11:55:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-59,
20231101 11:55:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-65,
20231101 11:55:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-71,
20231101 11:55:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-79,
20231101 11:55:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-79,
20231101 11:55:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-81,
20231101 11:55:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-54,
20231101 11:55:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-59,
20231101 11:55:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-62,
20231101 11:55:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-70,
20231101 11:55:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71,
20231101 11:55:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-72,
20231101 11:55:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-81,
20231101 11:56:01,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-60,
20231101 11:56:01,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-62,
20231101 11:56:01,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-64,
20231101 11:56:01,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71,
20231101 11:56:01,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-71,
20231101 11:56:01,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-72,
20231101 11:56:01,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-81,
20231101 11:56:06,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-53,
20231101 11:56:06,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-65,
20231101 11:56:06,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-65,
20231101 11:56:06,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71,
20231101 11:56:06,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-71,
20231101 11:56:06,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-72,
20231101 11:56:06,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-81,
20231101 11:56:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-55,
20231101 11:56:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-62,
20231101 11:56:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-65,
20231101 11:56:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71,
20231101 11:56:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-77,
20231101 11:56:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-80,
20231101 11:56:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-83,
20231101 11:56:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-55,
20231101 11:56:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-62,
20231101 11:56:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-65,
20231101 11:56:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-77,
20231101 11:56:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-77,
20231101 11:56:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-83,
20231101 11:56:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-54,
20231101 11:56:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-62,
20231101 11:56:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-69,
20231101 11:56:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-77,
20231101 11:56:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-77,
20231101 11:56:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-83,
20231101 11:56:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-57,
20231101 11:56:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-67,
20231101 11:56:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-77,
20231101 11:56:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-78,
20231101 11:56:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-81,
20231101 11:56:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-83,
20231101 11:56:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-61,
20231101 11:56:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-63,
20231101 11:56:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-64,
20231101 11:56:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-70,
20231101 11:56:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-77,
20231101 11:56:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-79,
20231101 11:56:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-92,
20231101 11:56:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-61,
20231101 11:56:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-61,
20231101 11:56:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-65,
20231101 11:56:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-70,
20231101 11:56:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-71,
20231101 11:56:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-79,
20231101 11:56:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-92,
20231101 11:56:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-54,
20231101 11:56:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-68,
20231101 11:56:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-70,
20231101 11:56:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-77,
20231101 11:56:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-78,
20231101 11:56:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-82,
20231101 11:56:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-92,
20231101 11:56:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-57,
20231101 11:56:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-63,
20231101 11:56:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-67,
20231101 11:56:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-77,
20231101 11:56:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-81,
20231101 11:56:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-83,
20231101 11:56:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-92,
20231101 11:56:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-59,
20231101 11:56:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-62,
20231101 11:56:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-65,
20231101 11:56:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-70,
20231101 11:56:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-72,
20231101 11:56:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-81,
20231101 11:56:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-59,
20231101 11:56:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-65,
20231101 11:56:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-69,
20231101 11:56:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-70,
20231101 11:56:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-72,
20231101 11:56:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-81,
20231101 11:56:54,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-81,
20231101 11:56:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-54,
20231101 11:56:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-65,
20231101 11:56:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-70,
20231101 11:56:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-72,
20231101 11:56:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-80,
20231101 11:56:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-81,
20231101 11:56:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-86,
20231101 11:57:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-56,
20231101 11:57:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-63,
