Time,UUID,RSSI,
20231101 12:00:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-51,
20231101 12:00:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-65,
20231101 12:00:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-68,
20231101 12:00:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-74,
20231101 12:00:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-79,
20231101 12:00:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-81,
20231101 12:00:18,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-81,
20231101 12:00:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-51,
20231101 12:00:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-64,
20231101 12:00:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-66,
20231101 12:00:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-67,
20231101 12:00:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-69,
20231101 12:00:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-72,
20231101 12:00:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-74,
20231101 12:00:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-59,
20231101 12:00:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-62,
20231101 12:00:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-64,
20231101 12:00:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-64,
20231101 12:00:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-68,
20231101 12:00:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-71,
20231101 12:00:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-73,
20231101 12:00:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-55,
20231101 12:00:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-64,
20231101 12:00:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-64,
20231101 12:00:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-69,
20231101 12:00:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-69,
20231101 12:00:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-73,
20231101 12:00:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-77,
20231101 12:00:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-53,
20231101 12:00:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-61,
20231101 12:00:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-64,
20231101 12:00:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-65,
20231101 12:00:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-73,
20231101 12:00:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-76,
20231101 12:00:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-77,
20231101 12:00:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-53,
20231101 12:00:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-63,
20231101 12:00:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-65,
20231101 12:00:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-70,
20231101 12:00:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-73,
20231101 12:00:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-74,
20231101 12:00:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-74,
20231101 12:00:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-56,
20231101 12:00:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-62,
20231101 12:00:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-63,
20231101 12:00:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-65,
20231101 12:00:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-69,
20231101 12:00:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-74,
20231101 12:00:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-77,
20231101 12:00:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-53,
20231101 12:00:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-62,
20231101 12:00:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-63,
20231101 12:00:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-75,
20231101 12:00:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-75,
20231101 12:00:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-77,
20231101 12:00:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-81,
20231101 12:00:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-59,
20231101 12:00:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-63,
20231101 12:00:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-67,
20231101 12:00:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-70,
20231101 12:00:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-72,
20231101 12:00:58,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-73,
