Timestamp,linacce_x,linacce_y,linacce_z,gyro_x,gyro_y,gyro_z,X-magnetometer,Y-magnetometer,Z-magnetometer,Yaw, worldXAccel,worldYAccel,worldZAccel,worldXgyro,worldYgyro,worldZgyro,Distance
20240115 08:25:22,0.267076,-0.095004,0.107226,-0.131714,0.065594,0.025122,-37.566502,-30.0285,2.767456,111.0977,0.19872625,-0.09508507,-0.23125464,-0.02578753,0.063378125,0.0976749,0.006
20240115 08:25:22,-0.593052,-0.1035,0.228932,0.290164,0.289317,-0.014296,-37.417324,-30.488987,2.798996,120.26078,-0.001775682,-0.18828982,0.5375554,0.045738332,0.30825606,-0.36113688,0.006
20240115 08:25:22,-0.604131,0.094669,0.016157,0.449966,0.332996,-0.026014,-37.302975,-30.003803,2.366547,119.15432,-0.21430185,0.044535693,0.5348726,0.066294916,0.363881,-0.5186277,0.006
20240115 08:25:22,-0.525202,0.201509,-0.299098,0.577808,0.384133,-0.031341,-37.020351,-30.364742,2.794838,119.91432,-0.4864147,0.22338194,0.49023294,0.068911865,0.4229769,-0.6484753,0.006
20240115 08:25:22,-0.556964,0.359674,-0.66062,0.656644,0.408636,-0.031341,-37.444218,-30.774044,2.817337,122.05521,-0.85872006,0.49451184,0.5497388,0.019818388,0.45069307,-0.7197422,0.006
20240115 08:25:22,-0.578597,0.653088,-1.232151,0.663036,0.43527,-0.004708,-37.099232,-30.27795,2.922356,125.828476,-1.4785545,1.0451069,0.60506374,-0.048808437,0.45248434,-0.7191128,0.006
20240115 08:25:22,-0.557076,0.883577,-1.669641,0.572482,0.460838,0.03258,-37.073757,-31.126751,3.111984,128.63443,-1.9552448,1.5089788,0.6077715,-0.089709,0.43651354,-0.62762123,0.006
20240115 08:25:22,-0.537195,0.879804,-1.747754,0.419071,0.440596,0.068802,-37.003841,-31.308552,2.990585,130.89165,-2.0100293,1.6024343,0.60353446,-0.10273441,0.37522015,-0.4714891,0.006
20240115 08:25:22,-0.439002,0.8669,-1.316908,0.234766,0.340454,0.097566,-37.031116,-31.40173,2.728447,131.93552,-1.622719,1.4023373,0.4677726,-0.06883595,0.25139615,-0.277314,0.006
20240115 08:25:22,-0.430668,1.100085,-1.911096,0.020631,0.327669,0.147637,-37.022152,-31.306705,2.722328,125.02196,-2.2370136,1.7886198,0.45293605,-0.006502375,0.2327899,-0.06751758,0.006
20240115 08:25:22,-0.135652,0.82781,-1.648025,-0.191373,0.308493,0.179598,-37.435642,-30.487133,2.530754,111.36562,-1.7708955,1.1093264,0.10618038,0.08700892,0.26481438,0.13159083,0.006
20240115 08:25:22,0.065387,0.58149,-1.413984,-0.356502,0.264814,0.162552,-37.323093,-30.94392,2.025803,107.457085,-1.433022,0.7314474,-0.087930344,0.0658901,0.23867276,0.29606873,0.006
20240115 08:25:22,0.087438,0.431624,-1.168852,-0.490736,0.264814,0.14018,-37.392231,-31.145893,2.708153,108.586334,-1.1508237,0.523701,-0.09335785,0.0069377124,0.24417765,0.41321555,0.006
20240115 08:25:22,0.090426,0.24547,-0.746449,-0.561049,0.276533,0.108219,-37.420284,-30.855274,1.885078,110.39973,-0.71441174,0.3191275,-0.07892586,-0.0747738,0.24933974,0.4599521,0.006
20240115 08:25:22,-0.015249,0.095311,-0.375398,-0.567441,0.306362,0.077324,-37.438984,-30.661541,1.336365,112.51794,-0.3703431,0.13970917,0.031754963,-0.14017722,0.271856,0.44273672,0.006
20240115 08:25:22,-0.183576,-0.044799,-0.11184,-0.516304,0.358565,0.052821,-37.315655,-30.081348,0.897804,114.60496,-0.1597047,-0.03736887,0.2023646,-0.18217242,0.3172362,0.36608082,0.006
20240115 08:25:22,-0.325883,-0.145708,0.020905,-0.420423,0.412897,0.036841,-36.936237,-30.339031,1.18634,116.88884,-0.07120924,-0.16833831,0.34743434,-0.18731655,0.371491,0.256284,0.006
20240115 08:25:22,-0.366519,-0.175341,0.031229,-0.321346,0.456577,0.021926,-37.102955,-30.260479,1.447502,117.91685,-0.068937525,-0.20396702,0.3924594,-0.18049009,0.41995537,0.15287656,0.006
20240115 08:25:22,-0.368286,-0.200691,-0.061905,-0.243575,0.495994,0.005946,-37.4491,-30.180897,0.50106,115.819435,-0.14755884,-0.21030697,0.41733515,-0.16924293,0.4690543,0.073449865,0.006
20240115 08:25:22,-0.271448,-0.154269,-0.190849,-0.184981,0.520497,-0.017492,-36.839802,-30.043896,0.766121,114.39365,-0.24287137,-0.13699473,0.32857513,-0.1591703,0.50580454,0.020748934,0.006
20240115 08:25:22,-0.133477,-0.145401,-0.37206,-0.161543,0.530086,-0.054779,-36.841343,-29.276348,-0.355766,111.44028,-0.3703831,-0.09699354,0.21343893,-0.1788934,0.5240227,0.0012127412,0.006
20240115 08:25:22,-0.104299,-0.13212,-0.441274,-0.162609,0.511975,-0.099523,-36.587154,-29.154789,-1.031021,111.47261,-0.42382556,-0.06396584,0.18918103,-0.22796807,0.51171416,0.01458002,0.006
20240115 08:25:22,-0.155709,-0.058709,-0.446243,-0.173262,0.474688,-0.133615,-36.243969,-29.600674,-0.998505,113.40747,-0.45296115,0.016956389,0.2217955,-0.26957875,0.4792517,0.040985655,0.006
20240115 08:25:22,-0.222324,-0.044896,-0.370428,-0.16687,0.424616,-0.153856,-36.376369,-28.374462,-1.88369,113.06757,-0.4040697,0.018907554,0.27096125,-0.28665605,0.43421015,0.050043933,0.006
20240115 08:25:22,-0.272215,0.011694,-0.399088,-0.142367,0.382002,-0.155987,-36.226421,-29.218739,-1.291199,115.94631,-0.455683,0.08642078,0.310699,-0.28246918,0.3952409,0.0455062,0.006
20240115 08:25:22,-0.357013,0.048066,-0.504026,-0.099753,0.354303,-0.135745,-35.883747,-27.571316,-2.869011,113.81237,-0.5837577,0.14937136,0.38895172,-0.24943045,0.36753368,0.010818655,0.006
20240115 08:25:22,-0.339538,0.075614,-0.645488,-0.055009,0.346846,-0.096327,-36.034344,-28.244686,-2.692589,113.83129,-0.71263826,0.21760036,0.38114795,-0.19779864,0.35411218,-0.030191366,0.006
20240115 08:25:22,-0.19688,0.058226,-0.810831,-0.003872,0.358565,-0.055844,-35.797321,-28.696941,-2.79467,111.608826,-0.82261556,0.23900777,0.25677183,-0.13984674,0.36024776,-0.08272128,0.006
20240115 08:25:22,-0.055085,0.053315,-1.004596,0.038742,0.384133,-0.026014,-36.122181,-28.252911,-2.558945,109.75702,-0.9713219,0.27333206,0.12667027,-0.100574836,0.3818134,-0.12691754,0.006
20240115 08:25:22,0.070289,0.101821,-1.196285,0.070702,0.42142,0.005946,-35.506886,-28.387196,-3.213913,106.49479,-1.1424966,0.3344276,-0.011292368,-0.059178334,0.41515696,-0.16430436,0.006
20240115 08:25:22,0.191332,0.106096,-1.32511,0.074964,0.438466,0.029384,-35.718441,-28.783733,-2.922195,105.248566,-1.2466477,0.3372845,-0.13123703,-0.029546395,0.4296769,-0.16968384,0.006
