Timestamp,linacce_x,linacce_y,linacce_z,gyro_x,gyro_y,gyro_z,X-magnetometer,Y-magnetometer,Z-magnetometer,Yaw, worldXAccel,worldYAccel,worldZAccel,worldXgyro,worldYgyro,worldZgyro
20231225 03:45:29,1.727973,1.774000,-1.480731,0.276634,-0.089171,-0.521408,-2.948456,33.514244,-29.070641,-3.5942543,0.37716532,1.2991092,-2.1950521,-0.19582409,-0.19841884,-0.5618061
20231225 03:45:29,1.764725,2.295770,-0.984769,0.216975,0.051455,-0.700386,-2.596691,33.355274,-29.324684,-2.1282072,0.7316965,1.9955213,-1.9037609,-0.35366607,-0.04396016,-0.6346363
20231225 03:45:29,1.211197,2.851299,-0.466724,0.131747,0.080219,-0.877234,-2.702469,33.157005,-29.178841,2.3610952,0.5423118,2.8145502,-1.2860273,-0.55324715,0.057847776,-0.6934699
20231225 03:45:29,0.259383,3.244653,0.018612,0.007101,0.000318,-0.983769,-2.624355,33.453991,-29.867302,7.2976313,-0.04927286,3.2444582,-0.45941436,-0.70322764,0.074100986,-0.6786502
20231225 03:45:29,-0.753591,3.496032,0.501884,-0.152701,-0.173334,-1.002945,-3.072929,33.509716,-29.473488,11.756365,-0.6955599,3.2378922,0.37600774,-0.77616256,-0.045820177,-0.5620599
20231225 03:45:29,-1.628186,3.525951,0.737376,-0.281608,-0.310764,-0.927306,-3.609348,33.557205,-28.946037,15.422256,-1.384565,2.8935626,0.96750164,-0.7574458,-0.17085384,-0.38816825
20231225 03:45:29,-2.404225,3.711893,1.121543,-0.284804,-0.288391,-0.760046,-3.619083,33.845963,-29.500877,17.074831,-1.8929609,2.6625118,1.6064745,-0.62913626,-0.17212775,-0.28251064
20231225 03:45:29,-2.837630,3.769068,1.502140,-0.143113,-0.165876,-0.548042,-3.758530,34.017693,-28.977577,17.655989,-2.0898745,2.4478369,2.0644898,-0.40556085,-0.069601595,-0.26538965
20231225 03:45:29,-3.029649,3.517210,1.889225,0.078480,-0.050819,-0.353083,-3.776844,34.019543,-29.245827,17.920687,-2.029743,2.0409236,2.4566832,-0.13475655,0.052087326,-0.29875004
20231225 03:45:29,-3.048346,3.026247,1.968131,0.303268,-0.003943,-0.200738,-4.006706,33.624859,-29.222343,18.181469,-1.9474815,1.5729584,2.583531,0.12808737,0.12298912,-0.33450633
20231225 03:45:29,-2.804836,2.319233,1.611920,0.487573,-0.029512,-0.086746,-4.203281,33.052059,-29.856773,18.053885,-1.8126495,1.1241661,2.317915,0.34997284,0.119192384,-0.3480522
20231225 03:45:29,-2.247836,1.503993,1.029067,0.609023,-0.076387,-0.008976,-3.936790,33.443050,-29.343758,15.867774,-1.5068586,0.7440907,1.7775588,0.5032874,0.070547484,-0.34407654
20231225 03:45:29,-1.486761,0.741263,0.539788,0.698512,-0.098759,0.030442,-4.096355,32.674664,-29.161217,13.575763,-1.0037348,0.39474007,1.1431282,0.6003628,0.022894848,-0.3592425
20231225 03:45:29,-0.725297,0.147659,0.102505,0.788001,-0.077452,0.035769,-4.123634,32.581493,-29.423347,11.04262,-0.5526676,0.049965646,0.47028932,0.6759753,0.015584234,-0.40501457
20231225 03:45:29,-0.215038,-0.439386,-0.289834,0.864706,-0.076387,0.013397,-4.205082,32.110096,-29.929268,10.040173,-0.31101018,-0.43840712,-0.05327584,0.7298818,0.005497515,-0.46050498
20231225 03:45:29,-0.016029,-0.962302,-0.909096,0.876425,-0.114740,-0.021760,-4.425594,31.618538,-29.631432,10.056063,-0.4707423,-0.9033625,-0.5880263,0.7143998,-0.036552757,-0.5011341
20231225 03:45:29,0.102684,-1.320698,-1.574206,0.846595,-0.144569,-0.049459,-4.319824,31.816803,-29.777306,9.413306,-0.76200116,-1.2197473,-1.1435658,0.6651629,-0.07635318,-0.5164769
20231225 03:45:29,0.242024,-1.576378,-2.134487,0.782675,-0.171203,-0.078223,-4.434563,31.523518,-29.625313,9.175951,-1.0285012,-1.4449965,-1.6161726,0.5803025,-0.11454449,-0.51823634
20231225 03:45:29,0.280433,-1.717759,-2.632634,0.697447,-0.183987,-0.105922,-4.515244,30.668343,-29.570305,9.451254,-1.3865194,-1.5478947,-1.9476066,0.47414026,-0.1320183,-0.507452
20231225 03:45:29,0.257779,-1.724593,-2.983846,0.598369,-0.172268,-0.118706,-4.683125,31.322567,-30.150566,10.170633,-1.6889907,-1.4924498,-2.1207182,0.37492764,-0.11832601,-0.4665811
20231225 03:45:29,0.243947,-1.675175,-3.043587,0.476920,-0.180791,-0.124033,-4.773155,30.564262,-30.369896,10.279199,-1.7870307,-1.444455,-2.1290672,0.27458027,-0.13744712,-0.39245027
20231225 03:45:29,0.199961,-1.556095,-3.008150,0.332032,-0.245777,-0.124033,-4.797859,31.029278,-29.998589,10.604613,-1.8081284,-1.3082184,-2.0672994,0.17282742,-0.20939092,-0.2849964
20231225 03:45:29,0.150445,-1.519048,-2.943888,0.185014,-0.328875,-0.113380,-4.852421,30.842937,-30.522865,10.652837,-1.8178518,-1.2808999,-1.9796542,0.0786409,-0.30448735,-0.16517206
20231225 03:45:29,0.204081,-1.411099,-2.913171,0.041192,-0.410906,-0.099530,-5.336468,30.326694,-29.824120,10.653241,-1.8168985,-1.21325,-1.9871452,-0.015451122,-0.40063843,-0.044556204
20231225 03:45:29,0.267260,-1.237721,-2.886829,-0.097303,-0.475893,-0.085681,-5.558521,30.602692,-30.648170,9.724662,-1.8280414,-1.1010731,-2.0284917,-0.1088108,-0.47542477,0.06696656
20231225 03:45:29,0.428459,-1.030385,-2.881075,-0.229406,-0.490808,-0.091007,-5.849335,30.484837,-30.509407,8.570878,-1.8090948,-0.98021996,-2.143887,-0.2150338,-0.49254543,0.15705752
20231225 03:45:29,0.558367,-0.746521,-2.863999,-0.361509,-0.472697,-0.124033,-5.883007,30.854836,-30.131981,7.856447,-1.7700106,-0.7421954,-2.2334359,-0.33215898,-0.47294936,0.23165828
20231225 03:45:29,0.510297,-0.328505,-2.751907,-0.495743,-0.435409,-0.176235,-6.279594,30.538708,-29.847343,9.088655,-1.7483232,-0.28684956,-2.1255116,-0.45126244,-0.4386101,0.3070928
20231225 03:45:29,0.373293,0.110775,-2.580525,-0.608670,-0.365096,-0.239091,-5.962654,31.325401,-30.565407,9.975716,-1.7471875,0.23082122,-1.9242657,-0.55755293,-0.3756663,0.3578853
20231225 03:45:29,0.064807,0.650902,-2.345842,-0.696029,-0.263888,-0.314730,-6.314419,31.484371,-30.311333,13.321813,-1.8280202,0.88008505,-1.5853791,-0.6556399,-0.28635564,0.38506037
