Timestamp,linacce_x,linacce_y,linacce_z,gyro_x,gyro_y,gyro_z,X-magnetometer,Y-magnetometer,Z-magnetometer,Yaw, worldXAccel,worldYAccel,worldZAccel,worldXgyro,worldYgyro,worldZgyro
20240131 03:45:39,0.342170,-0.024540,-0.689902,0.101806,0.063671,0.023254,-50.375015,-28.135517,6.728271,109.25371,-0.44060063,-0.05507935,-0.17939097,0.071562245,0.062485583,-0.1218572
20240131 03:45:39,0.270410,-0.090203,-0.609178,0.054930,0.120135,0.014731,-49.881233,-27.908031,6.584366,110.69634,-0.39666793,-0.10015562,-0.08668656,0.041550335,0.11990509,-0.10592191
20240131 03:45:39,0.179245,-0.083797,-0.396376,0.022970,0.153160,0.025385,-49.520508,-27.971981,6.324188,111.430084,-0.2501975,-0.0862285,-0.04074721,0.034286454,0.15321513,-0.097113244
20240131 03:45:39,0.151271,-0.102285,-0.255691,0.011251,0.170206,0.041365,-49.873039,-27.429234,6.017311,111.529564,-0.13917407,-0.100508146,-0.030901235,0.040311888,0.17002684,-0.09985865
20240131 03:45:39,0.118689,-0.169752,-0.196198,0.008055,0.173402,0.047757,-50.135811,-27.837704,6.979156,112.56578,-0.10437184,-0.1679221,0.019715954,0.043772586,0.17310575,-0.099922195
20240131 03:45:39,0.045953,-0.245203,-0.277272,-0.002598,0.169141,0.039234,-49.898781,-28.289951,6.877068,113.92892,-0.205889,-0.2359739,0.13511308,0.02715532,0.16782373,-0.08613661
20240131 03:45:39,-0.105389,-0.179076,-0.311093,-0.024971,0.160618,0.028581,-50.189980,-28.215931,6.735367,115.156555,-0.3095668,-0.16359712,0.24151324,0.001919467,0.15758032,-0.05942072
20240131 03:45:39,-0.275229,-0.096137,-0.223132,-0.060127,0.137180,0.025385,-49.914909,-27.538036,6.961792,116.20533,-0.3253485,-0.09136996,0.33117804,-0.02041242,0.131745,-0.018442646
20240131 03:45:39,-0.277795,-0.029340,-0.139662,-0.086761,0.106285,0.032842,-50.148872,-27.723354,5.229942,114.32627,-0.26299885,-0.03145943,0.28039032,-0.025114572,0.100167386,0.015368554
20240131 03:45:39,-0.193118,-0.014836,-0.002711,-0.081434,0.067933,0.042430,-50.148117,-28.107136,5.790886,114.072,-0.10450365,-0.020395922,0.17122218,-0.010735583,0.06342824,0.026634011
20240131 03:45:39,-0.048625,-0.022671,-0.037593,-0.062258,0.041299,0.045626,-50.218025,-27.925327,5.912292,113.359955,-0.056591623,-0.02235526,0.06012748,0.0046848804,0.038076326,0.023734206
20240131 03:45:39,-0.063592,-0.125675,-0.110218,-0.072911,0.066867,0.053084,-50.243507,-27.076527,5.722664,112.64158,-0.122983836,-0.123275645,0.13791424,0.0041266903,0.06358756,0.018261608
20240131 03:45:39,-0.030467,-0.202520,-0.017557,-0.101676,0.091370,0.065868,-50.472977,-27.663105,6.026611,113.25027,-0.026166651,-0.20248894,0.13184604,-0.003525585,0.087860525,0.02418822
20240131 03:45:39,0.016269,-0.259849,0.324616,-0.107002,0.072194,0.066933,-50.103287,-27.632038,5.760323,113.68377,0.28623343,-0.26977977,0.04676356,-0.006846618,0.067641385,0.036564983
20240131 03:45:39,-0.080057,-0.271278,0.199772,-0.113395,0.116939,0.075456,-50.588104,-27.764500,5.898109,114.206955,0.13039577,-0.28123215,0.15954717,-0.006573938,0.11061814,0.015860917
20240131 03:45:39,-0.106753,-0.225635,0.291619,-0.097414,0.157422,0.081848,-50.191521,-27.448383,5.613480,114.323715,0.18960199,-0.24215439,0.13641205,0.004740335,0.15028945,-0.020311052
20240131 03:45:39,-0.088727,-0.120562,0.359944,-0.069715,0.175533,0.083979,-50.570564,-27.382572,5.605415,113.28269,0.24921353,-0.13294254,0.055113196,0.02427845,0.17151192,-0.053066388
20240131 03:45:39,-0.009106,-0.124821,0.303991,-0.046278,0.177663,0.069064,-50.031570,-26.871876,5.711411,112.58157,0.24851246,-0.13049138,0.0066980794,0.027818494,0.17577182,-0.06886427
20240131 03:45:39,0.099056,-0.101599,0.227073,-0.046278,0.190448,0.056280,-50.172821,-27.642117,6.162201,113.012794,0.24492197,-0.10373411,-0.07938923,0.018123012,0.18924688,-0.07221485
20240131 03:45:39,0.138606,-0.109530,0.264692,-0.055866,0.197905,0.050953,-50.110062,-26.976978,6.119408,112.66091,0.29759103,-0.111201696,-0.11446123,0.008106742,0.19699824,-0.06923222
20240131 03:45:39,0.126084,-0.123355,0.428370,-0.077173,0.193644,0.045626,-50.606033,-27.954540,5.910339,113.449905,0.42363203,-0.12879954,-0.13587582,-0.010964207,0.19197364,-0.051233422
20240131 03:45:39,0.014286,-0.098419,0.628226,-0.065454,0.173402,0.041365,-50.563400,-28.229519,5.526794,114.3761,0.5175498,-0.11826298,-0.111935094,-0.011027411,0.17037864,-0.050851703
20240131 03:45:39,-0.039306,-0.058410,0.698447,-0.027101,0.151030,0.030712,-50.677490,-27.005177,4.909859,113.255775,0.5412289,-0.083234794,-0.099763855,0.0035284553,0.14916264,-0.06745032
20240131 03:45:39,-0.078019,-0.085125,0.584122,0.021905,0.149964,0.011535,-50.342880,-27.737965,5.228966,114.39261,0.43058378,-0.11276984,-0.032726318,0.015670046,0.14993642,-0.10058354
20240131 03:45:39,-0.123607,-0.099538,0.511541,0.069845,0.157422,-0.004445,-50.643814,-27.375172,4.532433,113.87403,0.35095507,-0.13176079,0.03401821,0.02814944,0.159989,-0.13906717
20240131 03:45:39,-0.150436,-0.045398,0.353740,0.098610,0.157422,-0.002314,-50.440079,-27.649326,5.088234,114.39349,0.20884812,-0.071158156,0.064989686,0.04486904,0.16100407,-0.16180752
20240131 03:45:39,-0.120762,-0.000323,0.233770,0.103937,0.169141,0.026450,-50.192284,-27.064602,5.052536,113.63336,0.12532067,-0.015585154,0.047475845,0.072031945,0.17098254,-0.17896467
20240131 03:45:40,-0.015566,-0.015268,0.257826,0.106067,0.161683,0.058411,-50.388474,-27.829281,4.698586,112.950516,0.20488523,-0.024410099,-0.035705466,0.10235473,0.16201039,-0.18418667
20240131 03:45:40,0.032498,0.010206,0.241123,0.096479,0.128657,0.072260,-50.449043,-27.744343,5.094353,113.11679,0.21793424,0.0025201822,-0.08487685,0.10915458,0.12827392,-0.16176623
20240131 03:45:40,0.025280,0.021622,0.188292,0.079433,0.071129,0.062672,-50.459160,-27.263691,4.259056,112.59732,0.169718,0.013876548,-0.072068736,0.09284742,0.07057411,-0.11579277
20240131 03:45:40,-0.052585,0.033423,0.136956,0.065584,0.002946,0.045626,-50.361969,-27.352337,4.399773,112.62317,0.08489823,0.02542228,-0.0010538213,0.07368468,0.0027856757,-0.06610779
20240131 03:45:40,-0.049196,0.066979,0.048262,0.049604,-0.040733,0.029646,-50.483864,-26.798679,4.630363,111.99435,0.011809561,0.063634664,-0.0011043781,0.053169873,-0.040618762,-0.02776076
20240131 03:45:40,0.008935,0.028250,-0.139955,0.037885,-0.064171,0.018993,-51.013512,-27.406239,4.798721,111.46705,-0.11517441,0.032536745,0.005487753,0.037947215,-0.06400198,-0.0045289234
20240131 03:45:40,0.050928,0.040082,-0.174660,0.040016,-0.053517,0.018993,-50.537651,-27.368793,4.667038,111.81716,-0.12347352,0.047515534,-0.028891157,0.039056733,-0.053265672,-0.011780242
20240131 03:45:40,-0.060461,0.126987,-0.111286,0.060257,-0.005576,0.031777,-50.589638,-26.996944,4.776222,112.8852,-0.13312918,0.13072252,0.011894284,0.059242755,-0.005228419,-0.05484036
20240131 03:45:40,-0.133235,0.144665,0.194582,0.099675,0.026384,0.064803,-50.986992,-26.929295,4.499916,112.589676,0.08116665,0.13096616,-0.004337143,0.10779886,0.026409546,-0.110275425
20240131 03:45:40,0.001911,-0.005949,0.313700,0.138028,0.032776,0.088240,-50.502563,-26.604939,4.081650,110.74548,0.2608388,-0.010875307,-0.060780548,0.14993714,0.032853134,-0.14899667
20240131 03:45:40,0.235262,-0.103397,0.270662,0.157204,0.023188,0.078652,-50.502945,-26.413052,3.801178,108.959656,0.35478887,-0.10216286,-0.18955548,0.15334754,0.022886826,-0.15688837
20240131 03:45:40,0.299186,-0.086250,0.196249,0.154008,-0.020491,0.053084,-50.102638,-26.114407,4.991402,109.65927,0.32702863,-0.08623615,-0.24208963,0.12848365,-0.02101002,-0.12811194
20240131 03:45:40,0.276867,-0.076387,0.044386,0.138028,-0.081216,0.021123,-50.588875,-27.380718,5.337173,109.82271,0.18448724,-0.078727506,-0.20329231,0.09035131,-0.08239101,-0.079416305
20240131 03:45:40,0.261217,-0.070172,-0.094523,0.118851,-0.119569,-0.004445,-51.162689,-26.945751,4.767181,108.704605,0.05658546,-0.0748669,-0.1705736,0.05686651,-0.12097791,-0.040263895
20240131 03:45:40,0.317306,-0.044321,-0.078740,0.107133,-0.131287,-0.018294,-50.634087,-27.663937,5.087257,109.12385,0.09981349,-0.051615834,-0.23353353,0.037654534,-0.13347441,-0.022169592
20240131 03:45:40,0.330528,-0.051532,-0.069066,0.099675,-0.117438,-0.022556,-50.819885,-27.199749,4.519234,108.24686,0.11449242,-0.05909215,-0.24342565,0.030244147,-0.11971166,-0.022020571
20240131 03:45:40,0.330556,-0.032401,-0.014899,0.094348,-0.084412,-0.018294,-50.721924,-27.672169,5.220894,108.79146,0.16138062,-0.040092077,-0.26155388,0.031542238,-0.08703334,-0.034556195
20240131 03:45:40,0.374582,-0.048736,-0.016494,0.095414,-0.033275,-0.015098,-50.843826,-27.118504,5.451485,108.44722,0.18285781,-0.05844271,-0.29022935,0.03653893,-0.03614986,-0.061599523
20240131 03:45:40,0.371027,-0.059939,-0.029439,0.099675,0.030645,-0.015098,-50.579910,-27.285702,5.331055,109.22874,0.17019376,-0.06658842,-0.27947044,0.04082229,0.028654352,-0.09722148
20240131 03:45:40,0.261946,-0.019179,0.014867,0.099675,0.065802,-0.010837,-50.713348,-27.385250,4.934319,109.57404,0.15081437,-0.020945031,-0.21546677,0.044257797,0.06492609,-0.11546549
20240131 03:45:40,0.212531,-0.021484,-0.012679,0.090087,0.077521,-0.007641,-50.501022,-27.372494,5.203537,110.41092,0.101888694,-0.021853434,-0.16717178,0.041486237,0.077358186,-0.11349098
20240131 03:45:40,0.137977,-0.094248,0.027972,0.077303,0.058344,-0.008706,-50.660210,-28.332767,5.666550,111.99485,0.09839873,-0.093680024,-0.07533939,0.033492815,0.05888581,-0.09250832
20240131 03:45:40,0.077741,-0.060665,0.059382,0.050669,0.013600,-0.016164,-50.509232,-27.851292,5.770592,112.21323,0.09267615,-0.060834225,-0.04788884,0.013039271,0.01442483,-0.046350326
20240131 03:45:40,0.018945,-0.035881,0.028975,0.030427,-0.033275,-0.025752,-50.554054,-28.326389,5.801163,112.7131,0.035447977,-0.036272705,-0.0045052595,-0.0049895644,-0.03220784,-0.0043569463
20240131 03:45:40,-0.035697,0.039071,-0.007201,0.024035,-0.053517,-0.028948,-50.676720,-27.388950,5.470802,112.64587,-0.026334016,0.03842777,0.013140124,-0.009970966,-0.051665444,0.011006931
20240131 03:45:40,-0.158401,0.093952,-0.047678,0.026166,-0.054582,-0.025752,-50.756371,-26.918385,5.037376,112.39943,-0.12735122,0.091390125,0.10005119,-0.005742701,-0.052410953,0.008775985
20240131 03:45:40,-0.182774,0.135860,-0.099373,0.030427,-0.038602,-0.008706,-50.871872,-26.827900,4.628410,112.166565,-0.18612503,0.13506457,0.11254425,0.010212041,-0.036972567,-0.0063738893
20240131 03:45:40,-0.164388,0.155560,-0.142347,0.034689,-0.005576,0.010470,-50.517540,-26.428677,5.007790,112.195305,-0.21421818,0.15772608,0.095946595,0.026893828,-0.0050274846,-0.02928911
20240131 03:45:40,-0.112929,0.053992,-0.167717,0.031493,0.025319,0.024319,-50.686836,-26.908306,4.635498,111.56721,-0.20403793,0.05838806,0.10304789,0.03580962,0.025032539,-0.043638214
20240131 03:45:40,-0.059451,-0.021641,-0.202596,0.020839,0.048756,0.029646,-50.686836,-26.908306,4.635498,111.190796,-0.20344666,-0.01583609,0.0990126,0.034431156,0.048121884,-0.046752732
20240131 03:45:40,-0.046554,-0.036456,-0.145612,0.011251,0.050887,0.025385,-50.959717,-26.836124,4.762047,111.26386,-0.14737532,-0.03216455,0.08457852,0.025694009,0.050167322,-0.038791567
20240131 03:45:40,-0.052372,-0.029193,-0.073635,-0.003664,0.031711,0.015797,-50.509987,-27.467518,5.209648,112.44238,-0.08898842,-0.027591296,0.073476374,0.010315882,0.030993696,-0.015400236
20240131 03:45:40,-0.065362,-0.101702,0.026389,-0.012186,-0.001315,-0.001249,-50.731659,-27.383404,4.666061,111.63231,-0.00932507,-0.10367691,0.10044335,-0.007494769,-0.0015078133,0.0112169
20240131 03:45:40,-0.040942,-0.084886,0.022270,-0.017513,-0.034341,-0.016164,-51.161919,-27.329533,5.328125,111.88479,-8.331239E-5,-0.08626844,0.07191566,-0.021919867,-0.03415897,0.0348431
20240131 03:45:40,-0.031333,-0.037665,0.011003,-0.017513,-0.050321,-0.023621,-50.624352,-27.952694,5.642090,112.63635,-0.0059744064,-0.038557332,0.042700857,-0.027769633,-0.04990321,0.04408533
20240131 03:45:40,0.016096,-0.019636,0.016523,-0.011121,-0.051386,-0.024687,-50.606033,-27.954540,5.910339,112.35148,0.022908106,-0.019760853,-0.007430773,-0.025817936,-0.051019248,0.039420534
20240131 03:45:40,0.060243,-0.054394,0.003447,-0.002598,-0.048190,-0.023621,-50.641510,-28.526501,6.215263,112.34617,0.035218578,-0.0540892,-0.025288166,-0.02100345,-0.047992535,0.030482966
20240131 03:45:40,0.134419,-0.086332,-0.008667,0.001663,-0.043929,-0.023621,-50.757782,-28.052242,5.245354,110.815094,0.06348677,-0.08620454,-0.070213854,-0.019149704,-0.043894608,0.02461141
20240131 03:45:40,0.160588,-0.108715,-0.057923,0.006990,-0.036471,-0.025752,-50.606422,-27.762653,5.629868,110.95349,0.034655634,-0.10849511,-0.07307257,-0.018255569,-0.036429208,0.016644044
20240131 03:45:40,0.142813,-0.107900,-0.045931,0.022970,0.005077,-0.028948,-51.073692,-27.513187,5.474960,110.40932,0.035657562,-0.10813963,-0.060088687,-0.0125773,0.004999789,-0.01675205
20240131 03:45:40,0.161959,-0.086191,-0.037463,0.022970,0.018927,-0.038536,-50.695030,-27.387104,5.202560,110.06641,0.05165256,-0.08649301,-0.08994761,-0.021023627,0.01880964,-0.022008212
20240131 03:45:40,0.147445,-0.034006,-0.130480,0.020839,0.022123,-0.044928,-50.792229,-27.298466,5.061829,110.218956,-0.036350086,-0.032426473,-0.087234795,-0.028083906,0.022536434,-0.020579781
20240131 03:45:40,0.087055,-0.017426,-0.193389,-0.002598,0.044495,-0.053451,-50.897995,-27.496738,5.207695,110.94549,-0.12203655,-0.012675051,-0.031642325,-0.048221067,0.045490943,-0.0091574425
20240131 03:45:40,0.031081,-0.014334,-0.167173,-0.032428,0.056214,-0.052386,-50.852791,-27.213528,5.457596,111.64275,-0.12689671,-0.009134773,0.011914922,-0.06315095,0.057104085,0.010870257
20240131 03:45:40,-0.004799,0.009200,-0.094462,-0.061192,0.048756,-0.047059,-50.125710,-27.420818,3.736740,110.683235,-0.083455294,0.011830807,0.016949736,-0.073363304,0.049013972,0.0372612
20240131 03:45:40,0.003196,-0.008274,-0.065303,-0.084630,0.019992,-0.041732,-50.783646,-27.011555,4.775246,111.07859,-0.05368397,-0.0065809297,0.013652675,-0.080416724,0.019721378,0.07013311
20240131 03:45:40,0.078510,-0.048784,0.029678,-0.092088,-0.003446,-0.037471,-50.651245,-28.237751,5.660431,111.90779,0.067342184,-0.048564333,-0.04842111,-0.08056991,-0.003668942,0.08717694
20240131 03:45:40,0.160617,-0.071705,0.059185,-0.094218,-0.004511,-0.039601,-50.615768,-27.665783,5.355515,111.05859,0.13634169,-0.07161347,-0.11096567,-0.08399922,-0.0045541776,0.08937886
20240131 03:45:40,0.151481,-0.145991,0.121479,-0.098480,0.001881,-0.042797,-51.020554,-28.460705,6.207199,112.42206,0.1853382,-0.14609192,-0.07805721,-0.08980808,0.0017796329,0.09034478
20240131 03:45:40,0.152044,-0.151704,0.201885,-0.084630,-0.005576,-0.047059,-51.039635,-28.075077,5.378014,111.71364,0.25306925,-0.15219429,-0.089667365,-0.08610102,-0.0056226817,0.08292904
20240131 03:45:40,0.153837,-0.160349,0.306528,-0.066519,-0.023687,-0.059843,-50.819122,-27.583523,5.080170,111.34735,0.3406952,-0.16111077,-0.10627287,-0.08674634,-0.02363105,0.07966433
