Timestamp,linacce_x,linacce_y,linacce_z,gyro_x,gyro_y,gyro_z,X-magnetometer,Y-magnetometer,Z-magnetometer,Yaw, worldXAccel,worldYAccel,worldZAccel,worldXgyro,worldYgyro,worldZgyro
20240411 11:22:53,0.114998,0.096588,0.085338,-0.027320,0.100249,-0.096875,-15.169922,-5.435028,-25.890327,38.863754,0.13303252,0.0965344,-0.09428914,-0.09697307,0.10056756,-0.050415345
20240411 11:22:53,0.182697,0.010971,0.148556,-0.000686,0.089596,-0.095810,-15.988190,-5.410378,-25.230232,41.23864,0.22363359,0.010917699,-0.09745027,-0.08118869,0.08975724,-0.07016243
20240411 11:22:53,0.139745,-0.076845,0.108821,0.031275,0.077877,-0.093679,-15.212563,-5.160049,-25.506798,40.38314,0.16805157,-0.07718926,-0.047066964,-0.063774385,0.07987701,-0.09159915
20240411 11:22:53,0.035521,-0.001709,0.070209,0.063235,0.081073,-0.087287,-15.890617,-5.690907,-24.809044,44.853306,0.07834546,-0.003835767,-0.0030035973,-0.04384272,0.08660111,-0.116833605
20240411 11:22:53,-0.150191,0.046901,0.042020,0.101588,0.074681,-0.074503,-15.855522,-4.927052,-25.394432,45.069496,-0.046382844,0.037292562,0.1260415,-0.015206784,0.08405418,-0.14181378
20240411 11:22:53,-0.261473,0.158842,-0.077461,0.131417,0.069354,-0.047869,-15.450233,-6.225422,-24.635780,46.834072,-0.21207178,0.15163346,0.14048305,0.01930369,0.079648666,-0.1555107
20240411 11:22:53,-0.216778,0.187499,-0.322740,0.128221,0.085334,-0.024431,-15.557167,-5.848026,-25.331352,45.17652,-0.4021284,0.20392872,0.014265522,0.03374759,0.09312941,-0.14984572
20240411 11:22:53,-0.126030,0.152396,-0.413297,0.087738,0.107707,-0.010582,-15.432304,-6.035381,-24.648018,43.798637,-0.4308349,0.17186545,-0.0842995,0.026857516,0.11086317,-0.11649354
20240411 11:22:53,0.010035,0.157980,-0.375901,0.033405,0.105576,-0.008451,-15.413994,-6.037231,-24.379784,43.052616,-0.3271308,0.1719808,-0.19820227,0.0052992427,0.10649911,-0.06777944
20240411 11:22:53,0.065200,0.003098,-0.240378,-0.025189,0.074681,-0.014843,-14.878342,-5.700947,-25.468163,41.06408,-0.17387322,0.014309043,-0.14923239,-0.028567757,0.074599296,-0.008893843
20240411 11:22:53,-0.011540,-0.037524,-0.170716,-0.055019,0.058701,-0.020170,-15.326920,-5.645226,-25.074348,43.88583,-0.14999597,-0.027738374,-0.039748646,-0.048921667,0.05781487,0.018995991
20240411 11:22:53,-0.136689,0.044065,-0.023141,-0.044365,0.065093,-0.019105,-15.302208,-6.110245,-25.445656,45.698193,-0.09392389,0.038942605,0.09246756,-0.0445847,0.06415363,0.007075579
20240411 11:22:53,-0.257421,0.163322,-0.070868,-0.012405,0.075746,0.006464,-15.723892,-5.769466,-25.070183,47.322136,-0.2071231,0.15444113,0.13659745,-0.008121183,0.073924385,-0.015329493
20240411 11:22:53,-0.252603,0.184621,-0.105422,0.004641,0.091726,0.045882,-15.432686,-5.843494,-24.928490,46.5,-0.23492077,0.17975532,0.11327715,0.033449065,0.08734445,-0.02170014
20240411 11:22:53,-0.179628,0.219012,-0.128999,0.008902,0.099184,0.084234,-15.291824,-4.881371,-25.659752,43.572865,-0.21849701,0.21993436,0.030924637,0.06928535,0.09278167,-0.011393428
20240411 11:22:53,-0.110574,0.107733,0.021176,0.023817,0.115164,0.116195,-15.548584,-5.561115,-25.617943,52.118725,-0.059209313,0.09081286,0.054858115,0.09025462,0.09649225,-0.03058241
20240411 11:22:53,-0.330412,-0.193037,0.096241,0.050451,0.169497,0.124717,-15.291443,-5.073257,-25.379280,45.511868,-0.09471245,-0.21389495,0.38853014,0.119776815,0.16293694,-0.060565982
20240411 11:22:53,0.317128,-0.112298,-0.015266,0.055778,0.105576,0.099149,-15.177086,-4.588085,-25.811714,34.648346,0.14078675,-0.11844887,-0.24972388,0.11703992,0.107631505,-0.037700754
20240411 11:22:53,0.693806,-0.057442,-0.475540,0.057908,0.185477,0.067189,-15.469704,-5.647907,-25.745445,30.463303,-0.092846066,-0.13899595,-0.7913992,0.1041454,0.1878345,-0.06811124
20240411 11:22:53,0.715789,-0.160836,-0.883732,0.032340,0.282424,0.028836,-15.062996,-5.812428,-25.194786,33.930973,-0.4756791,-0.2144271,-0.92815435,0.05246189,0.2826397,-0.088796966
20240411 11:22:53,0.394534,-0.121063,-0.934465,-0.013470,0.390024,0.001137,-14.834938,-6.359703,-25.290764,34.503773,-0.65562373,-0.1607916,-0.67085373,0.008540201,0.3900031,-0.0882578
20240411 11:22:53,0.487917,0.036236,-0.683782,-0.076326,0.371913,-0.002059,-14.719429,-6.450191,-24.881798,34.067497,-0.37944058,-0.008142684,-0.7033966,-0.019404653,0.37316158,-0.029050207
20240411 11:22:53,0.609006,0.030809,-0.727608,-0.196710,0.253659,-0.027627,-14.930717,-5.137211,-25.639458,31.214207,-0.3648705,-0.038848817,-0.8334029,-0.09746145,0.2578537,0.104065835
20240411 11:22:53,0.279942,0.180809,-0.511468,-0.372492,0.075746,-0.039346,-14.657059,-5.593166,-25.205055,47.877716,-0.3309698,0.27542004,-0.47658986,-0.2260024,0.05024956,0.28538263
20240411 11:22:53,-0.553319,0.373030,-0.373882,-0.516314,-0.100036,0.006464,-14.763222,-5.599548,-25.339668,49.087074,-0.6530681,0.37534624,0.21511045,-0.23765394,-0.14549509,0.48687658
