Timestamp,linacce_x,linacce_y,linacce_z,gyro_x,gyro_y,gyro_z,X-magnetometer,Y-magnetometer,Z-magnetometer,Yaw, worldXAccel,worldYAccel,worldZAccel,worldXgyro,worldYgyro,worldZgyro
20240411 11:12:14,-0.520998,0.337004,0.360003,-0.116111,-0.066388,-0.049344,-9.385345,4.831520,-25.873337,28.846119,0.024969786,0.2520065,0.5313672,-0.08941512,-0.06733083,0.09705867
20240411 11:12:14,-0.433516,0.266430,0.521821,-0.165117,-0.260281,0.016708,-9.507896,3.867546,-24.873840,27.583422,0.22497204,0.20013642,0.54305565,-0.04229112,-0.26820207,0.20979108
20240411 11:12:14,-0.193565,0.124893,0.644831,-0.170444,-0.379600,0.073171,-9.436947,5.011478,-25.483688,23.684343,0.45315492,0.09504914,0.44008976,-0.008177631,-0.38598824,0.25799733
20240411 11:12:14,-0.044304,-0.033349,0.862595,-0.129960,-0.434998,0.077433,-9.365612,5.963524,-25.813065,21.458,0.7158544,-0.047307782,0.45929232,0.0059083216,-0.43737352,0.23077498
20240411 11:12:14,0.044520,-0.110818,0.849789,-0.050059,-0.398777,0.058257,-9.798710,3.749683,-24.735077,23.507103,0.7510995,-0.11707669,0.38787514,0.026994132,-0.39943445,0.15275559
20240411 11:12:15,0.072509,-0.140990,0.778780,0.049018,-0.300765,0.032688,-9.745689,4.703579,-25.332687,21.917093,0.70615274,-0.14055085,0.33425894,0.05298479,-0.3007624,0.03083362
20240411 11:12:15,0.049578,-0.139393,0.613144,0.129985,-0.204883,0.012447,-9.736725,4.798599,-25.338806,22.255331,0.55810666,-0.1436646,0.26436466,0.07673324,-0.2044245,-0.06872628
20240411 11:12:15,-0.026662,-0.075130,0.447966,0.196036,-0.147354,0.007120,-9.938541,4.113300,-24.492249,24.549446,0.38306037,-0.086465955,0.2321094,0.103124835,-0.14486647,-0.140241
20240411 11:12:15,-0.092150,-0.002492,0.193421,0.213082,-0.129243,0.014577,-9.949692,3.268208,-24.839111,24.836624,0.13070199,-0.009782193,0.1621199,0.113401785,-0.1263261,-0.15941042
20240411 11:12:15,-0.121570,0.189577,0.099630,0.169402,-0.138832,0.024165,-10.259205,3.344086,-25.249054,25.476099,0.028622683,0.18342344,0.11281958,0.10157567,-0.13649116,-0.11610209
20240411 11:12:15,-0.149125,0.333362,0.106558,0.094828,-0.146289,0.025231,-10.539635,4.455105,-25.324371,25.15089,0.018453114,0.3275228,0.113324866,0.06940603,-0.14551462,-0.0469845
20240411 11:12:15,-0.050745,0.276897,0.258510,0.043691,-0.140962,0.014577,-10.311577,3.907825,-25.420349,22.814919,0.20645052,0.27747357,0.10545011,0.032815177,-0.14097843,-0.0073216767
20240411 11:12:15,0.135004,0.121617,0.389956,0.023450,-0.115394,-0.013122,-10.390839,4.186504,-25.573303,20.651499,0.41097894,0.13274927,0.035918847,-0.0043611513,-0.11622057,-0.0069524376
20240411 11:12:15,0.219710,0.061640,0.466244,0.042626,-0.079172,-0.052540,-10.179558,2.873520,-24.815643,21.135366,0.51626015,0.0749143,0.00832887,-0.02825084,-0.082047306,-0.04719718
20240411 11:12:15,0.204151,0.008682,0.548207,0.092697,-0.050408,-0.091958,-10.449486,3.312000,-23.775177,23.611954,0.57809186,0.017873088,0.06568937,-0.035966754,-0.05344189,-0.11218462
20240411 11:12:15,0.084300,-0.027078,0.512851,0.155553,-0.038689,-0.109003,-10.212845,3.051628,-24.157730,24.326344,0.49124417,-0.027798166,0.15347368,-0.021816999,-0.038390998,-0.17649308
20240411 11:12:15,-0.079479,-0.076684,0.207001,0.210951,-0.008859,-0.101546,-10.470371,2.755661,-24.676865,26.251318,0.15092412,-0.08416322,0.17016733,0.005128339,-0.0025109577,-0.2275629
20240411 11:12:15,-0.135739,-0.149017,-0.025048,0.246107,0.026297,-0.083435,-10.327972,2.950233,-24.286240,27.075764,-0.0748752,-0.15071489,0.14199133,0.031318195,0.035678722,-0.25906742
20240411 11:12:15,-0.193900,-0.150201,-0.241596,0.253565,0.028428,-0.063193,-10.010647,3.545036,-24.723831,26.347076,-0.2915506,-0.14119118,0.11335314,0.04726136,0.038679,-0.25926256
20240411 11:12:15,-0.215642,-0.092220,-0.380985,0.240781,-0.008859,-0.039755,-10.450256,3.695778,-24.336121,27.979387,-0.42816818,-0.07244381,0.08061935,0.0604083,0.0010017308,-0.23310903
20240411 11:12:15,-0.216967,-0.013156,-0.585830,0.217343,-0.064257,-0.025906,-10.709583,2.457844,-24.927750,27.515621,-0.62268305,0.014282905,0.0065903515,0.061826594,-0.057816543,-0.19865198
20240411 11:12:15,-0.024608,0.009165,-0.571337,0.178991,-0.101544,-0.039755,-10.683456,3.126682,-25.507034,23.463182,-0.5361487,0.0099847745,-0.18205896,0.032946385,-0.101376064,-0.16343462
20240411 11:12:15,0.067072,0.080005,-0.462033,0.140638,-0.133505,-0.069585,-10.674877,3.413589,-25.793610,23.60787,-0.40266436,0.08480998,-0.2350688,-0.009617668,-0.1322462,-0.13400358
