Timestamp,linacce_x,linacce_y,linacce_z,gyro_x,gyro_y,gyro_z,X-magnetometer,Y-magnetometer,Z-magnetometer,Yaw, worldXAccel,worldYAccel,worldZAccel,worldXgyro,worldYgyro,worldZgyro
20240424 02:09:36,-0.037703,-0.088278,-0.049890,0.060793,-0.003065,0.017725,-23.269741,-41.682747,-21.814255,122.91408,-0.057850692,-0.087633856,0.099043295,0.056182053,-0.0010809924,-0.04726944
20240424 02:09:36,-0.124300,-0.104866,-0.111532,0.040551,-0.030764,0.017725,-23.427883,-41.317276,-21.839691,122.05968,-0.1610954,-0.10542215,0.1928109,0.043017324,-0.02940758,-0.016333327
20240424 02:09:36,-0.223138,-0.081993,-0.090652,0.016048,-0.052071,0.014529,-22.879154,-41.095337,-21.178848,123.48682,-0.21813554,-0.09038522,0.24017707,0.024830751,-0.051732223,0.014323324
20240424 02:09:36,-0.261640,-0.029656,-0.025311,0.006460,-0.071247,0.021986,-23.137836,-40.815643,-22.539398,121.41445,-0.20429774,-0.0447355,0.2090491,0.024215942,-0.07190451,0.03110274
20240424 02:09:36,-0.281361,0.038266,0.086144,0.007526,-0.085096,0.036901,-23.198017,-40.922592,-21.863159,122.64697,-0.14698377,0.0147403125,0.1369866,0.036002688,-0.086535476,0.03229209
20240424 02:09:36,-0.261852,-0.029333,0.144308,0.018179,-0.081900,0.046489,-23.275478,-39.701942,-21.943604,121.52554,-0.09118427,-0.052879363,0.14215833,0.049508188,-0.08313736,0.020788366
20240424 02:09:36,-0.181381,-0.056656,0.145625,0.048009,-0.079770,0.050751,-23.586796,-40.568031,-22.426056,121.4927,-0.029968068,-0.07285523,0.103979275,0.07350223,-0.07955502,-0.0026281048
20240424 02:09:36,-0.104510,-0.142585,0.042660,0.083165,-0.066985,0.052881,-23.056767,-40.152351,-22.313950,120.9522,-0.040893506,-0.14805314,0.14474122,0.099120945,-0.06560888,-0.035523016
20240424 02:09:36,-0.011516,-0.141921,-0.124957,0.099146,-0.033960,0.055012,-23.487415,-39.906593,-21.932358,119.839005,-0.09024747,-0.13761021,0.14062193,0.11055648,-0.032219846,-0.067766815
20240424 02:09:36,0.006713,-0.094770,-0.189211,0.103407,-0.014783,0.056077,-23.329922,-41.789696,-21.138016,122.239075,-0.12609257,-0.08844964,0.12312166,0.1131554,-0.013273622,-0.085515514
20240424 02:09:36,0.034868,-0.067388,-0.333036,0.087427,0.000132,0.060339,-23.463741,-41.697357,-21.815231,120.56857,-0.21064436,-0.054508112,0.13438515,0.10424505,0.0010185896,-0.08397192
20240424 02:09:36,-0.030943,-0.050706,-0.347770,0.059728,0.024635,0.059273,-23.487293,-41.808006,-20.602509,122.22765,-0.26771465,-0.038892068,0.18200526,0.083170995,0.024576249,-0.07936643
20240424 02:09:36,-0.018496,-0.028081,-0.250830,0.036290,0.024635,0.057143,-22.896702,-41.477264,-20.886169,122.368576,-0.1901039,-0.019897629,0.12428242,0.06523089,0.023860428,-0.061948366
20240424 02:09:36,-0.013355,-0.013433,-0.206782,0.011787,0.024635,0.053947,-23.365131,-40.652138,-21.882477,119.87592,-0.15526356,-0.006697033,0.09038465,0.045632727,0.023139123,-0.04239399
20240424 02:09:36,-0.036380,-0.028079,-0.134148,-0.007389,0.031027,0.047554,-23.146030,-41.294441,-21.972336,121.41267,-0.11896317,-0.024398195,0.09236072,0.026949754,0.028923575,-0.031283014
20240424 02:09:36,-0.062757,-0.038888,-0.037731,-0.010585,0.031027,0.042228,-23.461552,-40.947289,-21.462265,121.64831,-0.069629036,-0.03988076,0.08170765,0.020697232,0.02884771,-0.027286207
20240424 02:09:36,-0.112096,-0.018624,0.028351,-0.014847,0.033157,0.040097,-23.207371,-40.825714,-22.137527,121.21287,-0.059882104,-0.024556462,0.07901737,0.015875233,0.030799462,-0.024886495
20240424 02:09:36,-0.091772,-0.029412,0.062564,-0.011651,0.034223,0.039032,-23.418270,-39.704628,-22.614716,119.57779,-0.021928068,-0.03574261,0.05962506,0.017147804,0.032102723,-0.027364269
20240424 02:09:36,-0.083545,-0.061553,0.198256,0.001134,0.024635,0.036901,-23.533001,-39.997917,-22.462738,120.57001,0.07717711,-0.07182984,0.022474267,0.025204692,0.023311194,-0.029875385
20240424 02:09:36,-0.045492,-0.072657,0.207073,0.010722,0.005458,0.031574,-23.613689,-40.853088,-22.407715,121.58033,0.11137485,-0.08169207,-0.0026529059,0.029237818,0.00472801,-0.022768822
20240424 02:09:36,-0.030074,-0.096183,0.181048,0.020310,-0.010522,0.027313,-23.628277,-40.868721,-21.201096,122.8982,0.10563426,-0.10322374,0.007894002,0.033854414,-0.010705613,-0.018314674
20240424 02:09:36,-0.032311,-0.041762,0.200965,0.029898,-0.024372,0.026248,-23.248081,-41.510185,-20.351608,124.803665,0.11620462,-0.048703738,-0.035996795,0.04046031,-0.024194779,-0.016960487
20240424 02:09:36,0.015842,-0.029378,0.142552,0.028833,-0.053136,0.035836,-23.487293,-41.808006,-20.602509,124.48643,0.11066165,-0.03306885,-0.05180837,0.047145247,-0.053253423,-0.0029027034
20240424 02:09:36,0.068518,-0.054365,0.078201,0.025637,-0.058463,0.040097,-23.530697,-41.149246,-20.779907,123.17148,0.10451449,-0.054466505,-0.045478486,0.04727164,-0.058677636,0.0017290749
20240424 02:09:36,0.171580,-0.088336,0.028448,0.018179,-0.066985,0.031574,-23.287670,-41.872787,-21.802032,122.73151,0.14378694,-0.08719309,-0.07692209,0.035527952,-0.06707896,0.015595267
20240424 02:09:36,0.263651,-0.121188,-0.032643,0.003264,-0.071247,0.016659,-23.514957,-41.709290,-21.145096,123.04344,0.16670807,-0.12173051,-0.09734127,0.013796719,-0.071223,0.034149162
20240424 02:09:36,0.343400,-0.192490,-0.086668,-0.011651,-0.066985,-0.001452,-23.470516,-41.042305,-21.456146,122.02711,0.18593141,-0.1960015,-0.08725795,-0.009935952,-0.066896334,0.04956539
20240424 02:09:36,0.354756,-0.211604,-0.067614,-0.029761,-0.061659,-0.021693,-23.515728,-41.325508,-21.706055,121.94492,0.20719264,-0.2142285,-0.09119737,-0.03685425,-0.06160089,0.06658633
20240424 02:09:36,0.273012,-0.144272,-0.047404,-0.040415,-0.055267,-0.038739,-23.734051,-41.066986,-21.055237,122.060974,0.16364473,-0.14306234,-0.08405528,-0.05577883,-0.05527677,0.07653142
20240424 02:09:36,0.168310,-0.072575,-0.037722,-0.042546,-0.038221,-0.047262,-23.436077,-41.796074,-21.272629,122.73951,0.09490442,-0.069894075,-0.05942615,-0.06297009,-0.038167078,0.0710073
20240424 02:09:36,0.069423,-0.032716,-0.028236,-0.047872,-0.013718,-0.047262,-23.609966,-40.870567,-20.932861,122.31262,0.030958207,-0.03062853,-0.01753996,-0.06696879,-0.013758252,0.05977433
20240424 02:09:36,0.039949,-0.085664,0.054236,-0.041480,-0.003065,-0.043000,-23.769146,-41.830841,-20.469849,124.42098,0.06840585,-0.085910894,0.0014335979,-0.05959825,-0.0030767042,0.048036292
20240424 02:09:36,0.030514,-0.150064,0.078919,-0.032958,0.004393,-0.046196,-23.664135,-41.248802,-21.176651,123.30632,0.07989284,-0.1510786,0.038724255,-0.055764675,0.00465786,0.038402095
20240424 02:09:36,0.010093,-0.100155,0.056403,-0.030827,0.010785,-0.051523,-23.621120,-41.715668,-21.279724,123.36331,0.048926976,-0.101306446,0.031061692,-0.05815066,0.011292928,0.035273865
20240424 02:09:36,-0.009400,-0.082146,0.029882,-0.032958,0.006524,-0.051523,-23.577450,-40.664894,-22.151703,121.11931,0.016310465,-0.08326213,0.046159554,-0.059591398,0.0070304736,0.037986945
20240424 02:09:36,-0.028833,-0.085101,0.022316,-0.043611,-0.003065,-0.050458,-23.267933,-40.740784,-21.741760,122.08047,-0.002689696,-0.08670922,0.06348449,-0.0662512,-0.002905146,0.05138069
20240424 02:09:36,-0.075138,-0.044850,0.056492,-0.053199,-0.013718,-0.046196,-22.755184,-38.997513,-22.386337,119.53697,-0.013477568,-0.050083224,0.06004625,-0.06978199,-0.014062947,0.061865933
20240424 02:09:36,-0.121464,-0.030919,0.087509,-0.051068,-0.017979,-0.033412,-23.153194,-40.447495,-21.893723,121.97469,-0.026860215,-0.038946085,0.06898021,-0.0593402,-0.018718332,0.05904468
20240424 02:09:36,-0.078472,-0.031439,0.108472,-0.046807,-0.024372,-0.020628,-23.293797,-39.700089,-22.211868,120.397285,0.018748295,-0.03766122,0.033906803,-0.047330268,-0.025282228,0.05504463
20240424 02:09:36,-0.011581,-0.018111,0.084564,-0.045742,-0.030764,-0.009974,-23.223492,-40.073799,-22.052780,120.87826,0.050491653,-0.020802,-0.012144376,-0.03910067,-0.031799346,0.05438868
20240424 02:09:36,0.024976,-0.045402,-0.002776,-0.040415,-0.023306,-0.002517,-23.824474,-41.633400,-21.555054,122.58639,0.017254991,-0.044636473,0.011379507,-0.030303247,-0.02429983,0.04313212
20240424 02:09:36,0.044656,-0.058248,-0.017401,-0.041480,-0.005195,-0.001452,-23.232075,-40.360703,-21.766205,121.6443,0.021703817,-0.05670898,0.011715469,-0.030913865,-0.006178096,0.03236364
20240424 02:09:36,0.053429,-0.054365,0.032088,-0.039350,0.002262,-0.007844,-23.390873,-41.512863,-21.022720,123.456314,0.062064596,-0.05376011,-0.017084258,-0.03385451,0.0014556958,0.029027889
20240424 02:09:36,-0.008250,0.010877,0.019781,-0.038284,0.003328,-0.011040,-23.418148,-41.606033,-21.284866,123.15546,0.007476782,0.010082134,-0.00861802,-0.035310134,0.0025297976,0.028912345
20240424 02:09:36,-0.059512,0.049032,0.012037,-0.043611,0.005458,-0.002517,-23.372555,-41.514717,-20.754471,123.54797,-0.036079824,0.0463422,0.007362006,-0.03323648,0.003933368,0.028112428
20240424 02:09:36,-0.064943,0.079737,0.004133,-0.050003,0.011850,0.011333,-23.866726,-41.550308,-20.891052,122.93568,-0.046475153,0.077196755,-0.0044170828,-0.028411807,0.009674911,0.023260545
20240424 02:09:36,-0.035549,0.070301,-0.011320,-0.057461,0.015046,0.028378,-22.995052,-40.812965,-21.868301,121.717415,-0.03554962,0.0694553,-0.013907692,-0.02197247,0.012342813,0.020105848
20240424 02:09:36,-0.031370,0.049536,-0.005548,-0.068114,0.016112,0.037966,-23.400608,-41.224106,-21.577545,122.38095,-0.027849779,0.048722602,-0.006213066,-0.023180518,0.012993481,0.022829954
20240424 02:09:36,-0.018271,0.041551,0.011085,-0.069179,0.013981,0.039032,-23.416340,-40.664070,-21.212341,122.26928,-0.006727446,0.04063074,-0.016956085,-0.023300443,0.010710961,0.02435584
