Timestamp,linacce_x,linacce_y,linacce_z,gyro_x,gyro_y,gyro_z,X-magnetometer,Y-magnetometer,Z-magnetometer,Yaw, worldXAccel,worldYAccel,worldZAccel,worldXgyro,worldYgyro,worldZgyro
20240424 03:07:56,-0.570621,0.109007,0.117081,-0.172603,-0.074546,0.046942,-9.591339,-41.885731,-15.671539,89.20694,-0.07944982,0.022520866,0.5200382,0.017987067,-0.098992355,0.18653323
20240424 03:07:56,0.847915,-0.304061,-0.084688,-0.098611,-0.065303,0.162074,-9.309109,-42.054775,-15.523727,24.225447,0.038442753,-0.3974921,-0.8049118,0.09464804,0.008599084,0.14140232
20240424 03:07:56,1.083635,-0.341856,0.099676,-0.055997,-0.045061,0.068324,-9.855644,-41.526630,-15.831589,27.331165,0.26316416,-0.39200327,-0.97506523,0.029532254,-0.011654325,0.07613386
20240424 03:07:56,0.991519,-0.238171,0.207380,0.006858,-0.049322,-0.027558,-9.397335,-41.871120,-15.670563,31.12775,0.37285665,-0.24382362,-0.8795897,-0.03874255,-0.055834,-0.00612864
20240424 03:07:56,0.744109,-0.130559,0.011914,0.062256,-0.050388,-0.106393,-9.236237,-41.870281,-14.731216,40.15915,0.1503736,-0.16376306,-0.70351744,-0.098099686,-0.0765642,-0.07171056
20240424 03:07:56,0.415441,-0.099335,-0.232399,0.091021,-0.040800,-0.157530,-9.881386,-42.387363,-14.971832,50.557053,-0.15332986,-0.12456404,-0.42127505,-0.13930438,-0.054893512,-0.10273889
20240424 03:07:56,0.044690,-0.026116,-0.427727,0.100609,-0.043996,-0.185229,-9.644363,-42.839626,-15.073914,70.82942,-0.39231873,0.08831156,-0.06350622,-0.14772382,0.010331854,-0.102416195
20240424 03:07:56,-0.310983,0.149796,-0.614987,0.086759,-0.072760,-0.174576,-10.033134,-42.485058,-15.636810,79.68467,-0.6637187,0.36925092,0.26439402,-0.11185655,0.012291227,-0.07894528
20240424 03:07:56,-0.545062,0.344543,-0.691897,0.048407,-0.120701,-0.131962,-9.643326,-41.513874,-15.562363,79.51836,-0.8487931,0.5777286,0.46549663,-0.054730423,-0.045266442,-0.032968964
20240424 03:07:56,-0.555901,0.496454,-0.750649,-0.005926,-0.169707,-0.071237,-9.654095,-42.550869,-15.628738,76.13412,-0.9618454,0.72449267,0.45070413,0.0043334365,-0.12578386,0.027938552
20240424 03:07:56,-0.291767,0.562059,-0.785269,-0.069847,-0.202732,-0.017969,-10.093704,-42.400120,-15.241043,54.662487,-0.857749,0.612444,0.15024215,-0.014112999,-0.20171574,0.09250376
20240424 03:07:56,0.062092,0.478906,-0.624412,-0.143356,-0.247477,0.003338,-9.803272,-42.090374,-15.660278,48.461426,-0.6011109,0.47311753,-0.18925895,-0.022714566,-0.24721733,0.17243874
20240424 03:07:56,0.296328,0.443521,-0.303133,-0.199819,-0.293287,0.001207,-9.987930,-42.201847,-15.386917,46.469635,-0.1862828,0.39955887,-0.39560464,-0.07157197,-0.28663132,0.23818026
20240424 03:07:56,0.462476,0.338578,0.029733,-0.221126,-0.289026,-0.007316,-9.891502,-41.906712,-15.807129,48.356316,0.19032575,0.32191318,-0.5050506,-0.103305385,-0.27852672,0.265477
20240424 03:07:56,0.589121,0.193479,0.400784,-0.198754,-0.254934,-0.010512,-10.350460,-43.079868,-15.199219,61.51075,0.576042,0.22917503,-0.5597729,-0.1084662,-0.24298625,0.25202817
20240424 03:07:56,0.686453,0.071242,0.702943,-0.116722,-0.209125,-0.022231,-9.847332,-42.949245,-15.068787,72.73311,0.88574535,0.15544167,-0.6057928,-0.09578289,-0.20218307,0.17219824
20240424 03:07:56,0.722855,0.048442,0.911771,0.008989,-0.224039,-0.043538,-10.314217,-42.891682,-14.943222,74.487785,1.0880637,0.17097408,-0.6210684,-0.07905359,-0.2283408,0.05715896
20240424 03:07:56,0.752423,0.143615,0.862494,0.161334,-0.283699,-0.054191,-10.306023,-42.412884,-15.510269,60.87419,1.059198,0.26658642,-0.62907314,-0.05926831,-0.2984807,-0.08726842
20240424 03:07:56,0.733948,0.103392,0.526102,0.370142,-0.384907,-0.061649,-10.314987,-42.507900,-15.504150,40.17063,0.6895159,0.18455562,-0.6374224,-0.06516382,-0.40870383,-0.31410173
20240424 03:07:56,0.622267,0.068378,-0.030318,0.410625,-0.416867,-0.059518,-10.712345,-42.440243,-15.780472,33.175755,0.110042356,0.026220787,-0.62259465,-0.08419897,-0.43856826,-0.3680949
20240424 03:07:56,0.525442,0.039178,-0.718421,0.445782,-0.426455,-0.045668,-10.570324,-42.053791,-15.670303,21.982937,-0.5966172,-0.20810506,-0.6085324,-0.11874946,-0.4370656,-0.42702663
20240424 03:07:56,0.400526,-0.003882,-1.208595,0.417017,-0.404083,-0.016904,-10.658169,-42.062016,-15.536682,7.7419095,-1.0309852,-0.5871901,-0.49746495,-0.17060271,-0.38039124,-0.41251466
20240424 03:07:56,0.426680,0.035136,-1.500355,0.337116,-0.374253,0.012926,-10.800186,-42.448483,-15.646820,-12.614423,-0.99895775,-1.0598327,-0.52509254,-0.23329028,-0.27046406,-0.34104753
20240424 03:07:56,0.550318,0.056591,-1.649179,0.231647,-0.378515,0.005468,-10.887650,-42.648594,-15.232727,-42.070984,-0.42909423,-1.5786871,-0.63010556,-0.34069702,-0.12953342,-0.24816105
20240424 03:07:56,0.701980,0.162358,-1.900633,0.103805,-0.361469,-0.042472,-11.066296,-43.031353,-15.879379,-63.385616,0.18603113,-1.947571,-0.7560796,-0.35269734,-0.056672875,-0.13076852
20240424 03:07:56,0.832959,0.103156,-1.951256,-0.029364,-0.322051,-0.119177,-10.984844,-42.559956,-15.373459,-57.057236,-0.05605045,-1.9888413,-0.9127941,-0.33513206,-0.1533632,7.7016326E-4
20240424 03:07:56,0.716402,-0.056072,-1.758510,-0.141225,-0.300744,-0.205471,-10.720924,-42.727154,-15.493881,-28.59157,-0.9058121,-1.5728143,-0.8259992,-0.37278628,-0.322549,0.117869094
20240424 03:07:56,0.414258,0.023808,-1.506680,-0.213669,-0.324182,-0.251281,-11.037865,-43.513851,-14.775818,42.629364,-1.4732765,0.005411057,-0.492634,-0.26960438,-0.32698688,0.2155838
20240424 03:07:56,0.038521,0.231587,-1.307552,-0.274394,-0.398756,-0.234235,-10.844631,-43.115467,-15.335800,56.962044,-1.3189651,0.50392306,-0.11462036,-0.16667934,-0.3449359,0.29078585
20240424 03:07:56,-0.194997,0.375460,-1.059284,-0.313812,-0.512749,-0.174576,-11.301785,-43.346645,-14.655396,63.611786,-1.1298469,0.58775115,0.10471068,-0.094901286,-0.47107428,0.3540307
20240424 03:07:56,-0.106746,0.388293,-0.913164,-0.335119,-0.650179,-0.117047,-11.584019,-43.177601,-14.803207,50.17424,-0.9230451,0.39689547,0.007491894,-0.14750426,-0.649389,0.38040188
20240424 03:07:56,0.196010,0.241395,-1.034791,-0.361752,-0.707707,-0.093609,-11.504105,-41.938641,-15.419174,25.338879,-0.8893028,-0.082259476,-0.30739966,-0.3375701,-0.6916313,0.38327572
20240424 03:07:56,0.507723,-0.054937,-1.139923,-0.409693,-0.649113,-0.103197,-11.266041,-41.065159,-16.009705,9.52759,-0.9599395,-0.61184883,-0.64230806,-0.4450585,-0.5966264,0.40722397
20240424 03:07:56,0.649657,-0.311069,-1.027263,-0.454438,-0.494638,-0.137288,-11.998653,-41.782360,-15.836212,12.86108,-0.9415303,-0.80423754,-0.7825888,-0.42084837,-0.46689764,0.44568503
20240424 03:07:56,0.690750,-0.465188,-0.817676,-0.455503,-0.287960,-0.183098,-11.963562,-41.018505,-16.421600,23.111332,-0.7902326,-0.77511215,-0.7828829,-0.35465068,-0.30347893,0.43780828
