Timestamp,linacce_x,linacce_y,linacce_z,gyro_x,gyro_y,gyro_z,X-magnetometer,Y-magnetometer,Z-magnetometer,Yaw, worldXAccel,worldYAccel,worldZAccel,worldXgyro,worldYgyro,worldZgyro
20240424 05:00:57,0.859314,-0.227916,0.017556,-0.040948,0.019344,0.061697,-0.569706,-4.217018,-31.302078,4.97919,0.3421001,-0.21016572,-0.78654236,0.04136412,0.015080783,0.059930287
20240424 05:00:57,-0.204190,0.011535,-0.089832,-0.149199,-0.001651,0.016919,-0.375702,-4.202408,-31.301102,1.5770289,-0.15981475,0.011617973,0.15565737,-0.040102214,-0.0025193607,0.14471053
20240424 05:00:57,-0.039168,-0.089854,-0.033042,-0.146003,0.019656,0.009462,-0.691219,-3.855247,-30.791031,0.2927496,-0.04686536,-0.090123855,0.023982935,-0.04599026,0.020798657,0.1387466
20240424 05:00:58,0.076627,-0.204833,0.052664,-0.134284,0.072923,-0.011845,-0.479286,-3.650597,-30.802277,-0.21321273,0.07470719,-0.20444286,-0.05048783,-0.06174978,0.07368505,0.119274884
20240424 05:00:58,0.038267,-0.172310,0.075033,-0.115108,0.110210,-0.026760,-0.410141,-3.448631,-31.484619,1.4849128,0.085567005,-0.17282462,-0.003952369,-0.0708278,0.11000513,0.09420819
20240424 05:00:58,-0.130947,-0.087157,0.163263,-0.089539,0.103818,-0.026760,-0.568668,-2.891273,-31.790527,4.7697206,0.10274795,-0.09824455,0.18728045,-0.06512517,0.10306428,0.068409204
20240424 05:00:58,-0.191491,-0.018694,0.157792,-0.063971,0.058008,-0.020368,-0.251610,-4.005989,-31.178711,5.511356,0.07018983,-0.035272177,0.23867261,-0.04794747,0.05734852,0.04855708
20240424 05:00:58,-0.262993,0.014406,0.173508,-0.043729,-0.003782,-0.001192,-0.797764,-3.669731,-31.206085,6.343802,0.055529833,-0.0043397862,0.30885684,-0.017942179,-0.004912611,0.039949104
20240424 05:00:58,-0.195551,0.034452,-0.009859,-0.026684,-0.047461,0.019050,-0.628853,-2.998222,-31.114273,5.2831297,-0.08515125,0.030375192,0.17605767,0.010201394,-0.04908378,0.033535976
20240424 05:00:58,-0.122581,0.041723,-0.063101,-0.032010,-0.066638,0.037161,-0.469936,-3.747475,-30.527908,2.9830892,-0.10523063,0.042105123,0.08965036,0.024510352,-0.06802514,0.0447799
20240424 05:00:58,-0.024338,0.032905,-0.154616,-0.041599,-0.063441,0.038226,-0.382092,-3.739243,-30.661545,1.129809,-0.15303871,0.033584945,-0.03375519,0.020787155,-0.06369613,0.053100124
20240424 05:00:58,0.051014,0.022194,-0.110968,-0.060775,-0.053853,0.031834,-0.287468,-4.386063,-31.154251,-0.92763394,-0.08382233,0.019329863,-0.08820273,0.005996594,-0.052619945,0.067907825
20240424 05:00:58,0.140165,0.007468,-0.105415,-0.076755,-0.028285,0.025442,-0.233295,-4.007843,-30.910477,-2.1008387,-0.044225167,0.0014860674,-0.16949093,-0.0065333787,-0.026176088,0.0802775
20240424 05:00:58,0.203562,-0.046535,-0.004356,-0.082082,-0.009109,0.014788,-0.736431,-4.138458,-31.040924,-1.2926466,0.07363682,-0.05010696,-0.189507,-0.018817745,-0.007122583,0.08125712
20240424 05:00:58,0.163577,0.009424,0.101768,-0.072494,-0.003782,0.002004,-0.409756,-3.640518,-31.204132,-1.0154694,0.15806614,0.010258945,-0.1103742,-0.02674195,-0.0029126885,0.06742398
20240424 05:00:58,0.134987,-0.021439,0.167345,-0.054383,0.001545,-0.003323,-0.460972,-3.652451,-30.534027,-1.0170196,0.20671116,-0.018397981,-0.05689589,-0.024764493,0.0021151362,0.04851918
20240424 05:00:58,0.123500,-0.028049,0.121863,-0.027749,0.002610,-0.010780,-0.568935,-4.600792,-30.741135,-0.8296482,0.15995973,-0.02608641,-0.06530317,-0.020809598,0.0026426215,0.021225927
20240424 05:00:58,0.097168,-0.039410,0.091671,-0.006442,0.001545,-0.021433,-0.594025,-3.943878,-30.650284,0.50532556,0.12157967,-0.038855862,-0.05426182,-0.022243664,0.0013426502,-0.002309714
20240424 05:00:58,0.001131,0.027440,-0.037798,0.006342,-0.005913,-0.025695,-0.736431,-4.138458,-31.040924,1.9089047,-0.03472656,0.027633572,-0.015622027,-0.021382865,-0.005769287,-0.015474355
