Timestamp,linacce_x,linacce_y,linacce_z,gyro_x,gyro_y,gyro_z,X-magnetometer,Y-magnetometer,Z-magnetometer,Yaw, worldXAccel,worldYAccel,worldZAccel,worldXgyro,worldYgyro,worldZgyro
20240625 12:38:27,0.049743,0.263538,-0.030386,-0.219360,0.113513,-0.022427,-31.945522,-1.035820,-45.620941,40.021427,0.0018086322,0.26341042,-0.14591168,-0.13705097,0.1137539,0.13598885
20240625 12:38:27,0.108097,0.208799,0.243694,-0.185269,0.127362,0.014860,-31.830387,-0.934425,-45.492432,40.508,0.26266482,0.20912519,-0.061386958,-0.091769494,0.12763272,0.11291307
20240625 12:38:27,0.089973,0.025359,0.395675,-0.141590,0.114578,0.038298,-31.944363,-1.611481,-44.779526,41.757088,0.37509447,0.025865177,0.087122165,-0.05026439,0.11478882,0.08807993
20240625 12:38:27,0.086161,-0.053089,0.373452,-0.100041,0.080487,0.040428,-31.962681,-1.609634,-45.047760,41.32052,0.35570437,-0.052164547,0.1092588,-0.023637962,0.08081051,0.06916363
20240625 12:38:27,0.090131,0.042853,0.203496,-0.079800,0.068768,0.038298,-32.131710,-0.379745,-46.469452,40.03639,0.21931674,0.042407528,-0.0044282377,-0.012294829,0.06848571,0.058328994
20240625 12:38:27,0.020741,0.126619,0.025993,-0.077669,0.084748,0.040428,-31.989307,-0.185173,-46.078812,40.466595,0.031640947,0.12646393,-0.051292166,-0.009178054,0.083705924,0.05206892
20240625 12:38:27,0.029118,0.100359,0.024127,-0.088322,0.110317,0.043624,-31.955631,-0.555176,-46.456238,40.152687,0.035625756,0.10032935,-0.049823537,-0.013003476,0.109738946,0.052783534
20240625 12:38:27,0.038264,0.105857,0.205800,-0.095780,0.108186,0.034036,-31.840893,-0.261894,-46.608215,40.319923,0.19059946,0.10438184,0.018326513,-0.026859986,0.107366316,0.054192375
20240625 12:38:27,0.012067,0.094919,0.296206,-0.091518,0.084748,0.031906,-31.567631,-0.525963,-46.454285,40.27087,0.2495748,0.09318984,0.08402671,-0.026520226,0.08417331,0.057796024
20240625 12:38:27,0.025156,0.062549,0.331559,-0.069146,0.068768,0.035102,-31.804653,-0.073700,-46.352188,39.859447,0.2871767,0.062494367,0.101069786,-0.010389917,0.06875391,0.047184814
20240625 12:38:27,0.082085,0.097872,0.193180,-0.041447,0.078356,0.036167,-31.558666,-0.430946,-46.460403,39.409897,0.20620403,0.097994834,-0.019519717,0.006962292,0.078413434,0.022234153
20240625 12:38:27,0.084664,0.074471,0.116174,-0.027598,0.101794,0.034036,-31.612064,-1.192947,-46.143250,39.787548,0.1438352,0.07463211,-0.047243427,0.013225669,0.10193541,0.0012662727
20240625 12:38:27,0.133657,0.031873,0.048340,-0.022271,0.124166,0.029775,-31.584789,-1.099777,-45.881104,39.297375,0.11457163,0.0314632,-0.10176768,0.013710931,0.124605305,-0.012235865
20240625 12:38:27,0.164876,0.020704,0.050837,-0.023336,0.158257,0.011664,-31.929394,-1.787750,-45.705658,40.291492,0.13455346,0.020216487,-0.12244419,-0.0021170592,0.15847072,-0.032945305
