Timestamp,linacce_x,linacce_y,linacce_z,gyro_x,gyro_y,gyro_z,X-magnetometer,Y-magnetometer,Z-magnetometer,Yaw, worldXAccel,worldYAccel,worldZAccel,worldXgyro,worldYgyro,worldZgyro
20240117 12:07:56,-0.260353,0.048287,-0.117606,-0.038571,-0.002342,-0.032583,-40.276936,-13.260437,0.519119,107.55055,-0.21949248,0.04778357,0.23356655,-0.044574395,2.3922883E-4,0.040141545
20240117 12:07:56,-0.240097,0.071324,-0.091438,-0.082250,-0.072655,-0.018733,-40.410366,-13.359978,0.122375,107.423706,-0.193026,0.06714283,0.20187819,-0.038450506,-0.074529305,0.10585093
20240117 12:07:56,-0.316354,0.116399,-0.017889,-0.102491,-0.118465,-0.001688,-40.710918,-13.189083,-0.293686,107.39864,-0.16862254,0.09134964,0.24351597,-0.023001073,-0.12425548,0.14048758
20240117 12:07:56,-0.311603,0.130341,0.022329,-0.102491,-0.136576,0.017488,-40.523304,-12.711304,0.346848,106.93483,-0.13208152,0.10166376,0.22737719,-0.00575726,-0.14482869,0.14583611
20240117 12:07:56,-0.242985,0.125228,0.062141,-0.089707,-0.123792,0.027076,-40.841778,-12.730446,-0.056984,105.31729,-0.06474769,0.09913533,0.1620807,0.003597917,-0.13196194,0.12878206
20240117 12:07:56,-0.113702,0.098105,0.038836,-0.060943,-0.079047,0.030273,-40.329685,-12.504803,0.067352,103.87524,-0.023794051,0.08696114,0.05944192,0.01072252,-0.085060254,0.08444505
20240117 12:07:56,0.034393,0.044024,-0.002347,-0.030048,-0.017257,0.023880,-40.453007,-13.085003,0.505913,103.43763,0.0080297,0.045455236,-0.04879372,0.010800696,-0.020632464,0.03200441
20240117 12:07:56,0.081445,0.008625,-0.091835,-0.009806,0.032814,0.015358,-40.322140,-13.543644,0.269203,102.916756,-0.051087365,0.019525994,-0.06945385,0.0071719326,0.03098659,-0.005463382
20240117 12:07:56,0.082775,-0.005421,-0.173540,-0.009806,0.058383,0.008966,-40.189472,-13.060314,0.105011,102.92329,-0.123636976,0.014349507,-0.057742,-0.0013116226,0.05682344,-0.014956279
20240117 12:07:56,0.004876,0.004958,-0.176199,-0.020460,0.056252,0.007900,-40.541233,-12.901340,0.359070,104.17648,-0.15846154,0.025167242,0.01106267,-0.0074993246,0.053891882,-0.004150912
20240117 12:07:56,-0.055542,0.024755,-0.201410,-0.039636,0.041337,0.015358,-40.232494,-12.593449,0.208069,104.12849,-0.20814806,0.045625575,0.06096958,-0.006885711,0.03708974,0.018705599
20240117 12:07:56,-0.078551,0.004635,-0.209002,-0.063074,0.020030,0.023880,-40.807728,-13.292332,-0.153938,104.09901,-0.22177696,0.025428385,0.09064938,-0.006488029,0.01362511,0.04730797
20240117 12:07:56,-0.017478,0.004820,-0.097890,-0.075858,-0.004473,0.029207,-40.692219,-13.382820,0.255028,103.88151,-0.096170835,0.013987968,0.023734871,-0.004854683,-0.01100382,0.06781214
20240117 12:07:56,-0.015591,0.000551,-0.006382,-0.077988,-0.020453,0.028142,-40.683254,-13.287804,0.248909,104.24202,-0.01237958,4.5293872E-4,0.01457397,-0.0053320285,-0.027298996,0.076155655
20240117 12:07:56,-0.016315,-0.005921,0.005802,-0.072662,-0.020453,0.031338,-40.534840,-13.364510,-0.280487,102.88839,-0.0011178344,-0.007156632,0.016676547,-5.8491714E-4,-0.026505861,0.0713126
20240117 12:07:56,0.075148,-0.071541,-0.031579,-0.071596,-0.005538,0.026011,-40.638813,-12.620815,-0.062126,101.89059,0.008735482,-0.065890685,-0.036154974,-0.00604178,-0.010297784,0.065027736
20240117 12:07:56,0.083481,-0.029695,-0.060961,-0.073727,0.020030,0.021750,-40.489246,-13.273193,0.249886,102.70997,-0.01769827,-0.021466538,-0.05801941,-0.012879105,0.015403009,0.05673421
20240117 12:07:56,0.064735,-0.061638,-0.047552,-0.080119,0.049860,0.019619,-40.392437,-13.169941,0.110146,103.162415,-0.009635616,-0.054193396,-0.028439954,-0.020982577,0.044368017,0.04994805
20240117 12:07:56,0.036021,-0.059752,0.026807,-0.076923,0.070102,0.016423,-40.586826,-12.992661,-0.171303,102.67606,0.044942595,-0.060330767,-0.010084122,-0.02454535,0.06496134,0.038646862
20240117 12:07:56,-0.008025,-0.062756,0.034169,-0.075858,0.081820,0.012162,-40.522915,-12.903191,0.627312,104.65504,0.033987977,-0.06642068,0.02961883,-0.030563876,0.075995475,0.0331643
20240117 12:07:56,-0.050411,-0.018386,0.039092,-0.080119,0.078624,0.010031,-40.454159,-12.509335,-0.335503,103.5337,0.015466722,-0.025408681,0.04927368,-0.034355618,0.07252776,0.038523365
20240117 12:07:56,-0.080260,0.053987,0.069618,-0.083315,0.062644,0.002573,-40.798374,-13.389198,0.120422,104.737305,0.02118076,0.040996805,0.04203078,-0.041066296,0.057182465,0.04854664
20240117 12:07:56,-0.083897,0.011653,0.075450,-0.087577,0.032814,-0.000623,-40.516911,-13.174473,-0.292709,104.499115,0.02968803,-0.0026023719,0.06259438,-0.042446557,0.027450131,0.06528849
20240117 12:07:56,-0.111859,0.045917,0.092658,-0.093969,0.014703,-0.004884,-40.753941,-12.722214,-0.190613,103.79425,0.02835872,0.029239539,0.07117852,-0.047273822,0.010040019,0.07864772
20240117 12:07:56,-0.052462,0.006611,0.172680,-0.093969,-0.011930,-0.010211,-40.296398,-12.682919,-0.590546,102.89666,0.12950604,-0.013420681,0.02688762,-0.049796443,-0.0155366035,0.09030638
20240117 12:07:56,-0.008756,-0.013176,0.189918,-0.088642,-0.025780,-0.015537,-40.726658,-12.629044,0.071510,102.97471,0.1661437,-0.030322079,-0.005541494,-0.051295653,-0.02821705,0.0920574
20240117 12:07:56,0.084096,-0.042228,0.224115,-0.076923,-0.024714,-0.021930,-40.614483,-12.893944,-0.713905,101.725555,0.24039924,-0.056287304,-0.07682938,-0.05245889,-0.025974898,0.081546195
20240117 12:07:56,0.086073,-0.028791,0.270658,-0.053485,-0.016192,-0.020864,-40.684025,-12.904022,-0.312027,101.770096,0.28126678,-0.044377714,-0.08888544,-0.041881002,-0.016607855,0.056752414
20240117 12:07:56,0.109287,-0.033354,0.180838,-0.032179,0.000854,-0.017668,-40.481052,-12.794395,-0.317162,101.447044,0.21240786,-0.041825198,-0.099208504,-0.030193068,9.602863E-4,0.029982563
20240117 12:07:57,0.175290,-0.022413,0.153969,-0.019394,0.013638,-0.007015,-40.153225,-12.872124,0.361023,101.67644,0.21664217,-0.026159078,-0.1612607,-0.015628662,0.01346752,0.012107568
20240117 12:07:57,0.227923,-0.037951,0.071726,-0.021525,0.018965,-0.001688,-40.622692,-13.372738,-0.146843,100.30921,0.16548914,-0.03630616,-0.19439109,-0.011693349,0.01858304,0.0113583105
20240117 12:07:57,0.255626,0.003799,0.030770,-0.027917,0.023226,0.000443,-40.639194,-12.428925,-0.342590,100.02654,0.13874811,0.0085319225,-0.2340923,-0.012941003,0.022477288,0.015142212
20240117 12:07:57,0.190846,0.016953,0.034874,-0.036440,0.022161,0.003639,-40.709499,-12.055229,-0.501663,100.406746,0.11264373,0.020666027,-0.18205918,-0.013935277,0.020697534,0.02317328
20240117 12:07:57,0.117348,0.053643,-0.025667,-0.039636,0.022161,0.004704,-40.426876,-12.416164,-0.073372,102.015205,0.022806551,0.06009019,-0.1262206,-0.014573112,0.020142248,0.026100043
20240117 12:07:57,0.023639,0.037903,-0.043091,-0.050289,0.037076,0.011096,-40.472088,-12.699375,-0.323273,102.80093,-0.032234773,0.043020405,-0.033129342,-0.015309506,0.033409968,0.028800737
20240117 12:07:57,-0.085207,0.117635,0.007598,-0.059878,0.048795,0.019619,-40.843967,-13.480522,-0.409958,104.1013,-0.043918174,0.11109002,0.025893034,-0.014262984,0.042840328,0.031046405
20240117 12:07:57,-0.088311,0.063569,0.111052,-0.064139,0.053056,0.029207,-40.217129,-12.961597,-0.437599,103.50081,0.05250289,0.046956006,0.039723653,-0.008283664,0.046305686,0.031228732
20240117 12:07:57,-0.018821,0.012809,0.212624,-0.060943,0.046664,0.036665,-40.420483,-12.879333,-0.712929,102.63693,0.17857243,-0.008189961,-0.010057429,3.8317963E-4,0.040021453,0.02994425
20240117 12:07:57,-0.014535,-0.007462,0.208277,-0.053485,0.037076,0.037730,-40.744976,-12.627193,-0.196732,102.83406,0.17792602,-0.026491646,-0.005052235,0.0054190867,0.031106845,0.026970297
20240117 12:07:57,-0.045533,0.003204,0.278696,-0.037505,0.029618,0.040926,-40.535221,-13.172623,-0.560951,103.15936,0.22410043,-0.02534649,0.009473072,0.015868548,0.023738774,0.015534658
20240117 12:07:57,-0.047548,-0.045208,0.247281,-0.024721,0.021096,0.048383,-40.490017,-12.889412,-0.311050,103.160934,0.20090114,-0.07035783,0.036611088,0.029436577,0.015264666,0.0074847857
20240117 12:07:57,-0.040975,-0.055526,0.165727,-0.011937,0.022161,0.052645,-40.578625,-12.513866,-0.738358,102.38076,0.13380599,-0.07302004,0.04500451,0.039190292,0.016427081,-0.004224998
20240117 12:07:57,-0.044189,-0.045023,0.046171,-0.008741,0.018965,0.051579,-40.578625,-12.513866,-0.738358,102.32889,0.026059898,-0.051392693,0.05471799,0.040286858,0.01339123,-0.005205232
20240117 12:07:57,-0.056814,-0.013192,-0.016959,-0.019394,0.011507,0.051579,-40.533421,-12.230659,-0.488457,102.89277,-0.038705513,-0.014247267,0.058347043,0.036264904,0.0049696486,0.007430377
20240117 12:07:57,-0.048208,0.021069,-0.030412,-0.034309,0.000854,0.049449,-40.596172,-12.895794,-0.445663,102.97934,-0.050394922,0.02162936,0.037333425,0.029058386,-0.005766885,0.025611056
20240117 12:07:57,-0.011443,0.048019,0.040206,-0.046028,-0.016192,0.044122,-40.402943,-12.497406,-1.005623,101.645004,0.02644988,0.043598287,-0.014112396,0.020501308,-0.022189103,0.044360347
20240117 12:07:57,-0.023286,0.008918,0.042295,-0.058812,-0.043891,0.043057,-40.860867,-12.344818,-0.886177,101.979805,0.026436727,0.0036773393,0.013065788,0.016393326,-0.05059845,0.067796946
20240117 12:07:57,-0.007277,0.032739,0.069115,-0.071596,-0.066263,0.040926,-40.730000,-12.803455,-1.122879,101.631584,0.055363193,0.026048727,-0.014007276,0.010450199,-0.07280147,0.08934908
20240117 12:07:57,-0.015191,0.043419,0.074753,-0.073727,-0.076916,0.039861,-40.904919,-13.203693,-0.294662,102.25761,0.056423694,0.036756523,-0.012434231,0.008681094,-0.082661934,0.09574952
20240117 12:07:57,0.062260,0.002390,0.055687,-0.076923,-0.073720,0.034534,-40.675442,-12.617115,-0.598610,100.86829,0.077471375,8.0280774E-4,-0.06137413,9.0725534E-4,-0.07829817,0.098353356
20240117 12:07:57,0.090588,-0.006227,0.111722,-0.065204,-0.056675,0.031338,-40.948322,-12.544937,-0.472069,100.993805,0.14086494,-0.01043245,-0.08756287,0.0017782506,-0.06070458,0.080667876
20240117 12:07:57,0.105500,-0.027139,0.151656,-0.055616,-0.051348,0.030273,-40.833584,-12.251648,-0.624039,100.31169,0.18439478,-0.03275265,-0.09404589,0.004444914,-0.054662686,0.07007836
20240117 12:07:57,0.111761,-0.065377,0.093358,-0.022590,-0.028976,0.022815,-40.911694,-12.548634,0.064423,101.02635,0.13716649,-0.06726654,-0.0788248,0.01170742,-0.030792043,0.031025777
20240117 12:07:57,0.101930,-0.061272,0.049984,-0.011937,-0.021518,0.018554,-40.720654,-12.900322,-0.848518,100.22959,0.09367456,-0.061093543,-0.06823148,0.012470423,-0.022881957,0.018666657
20240117 12:07:57,0.083544,-0.038416,-0.039596,-0.020460,-0.023649,0.007900,-40.842167,-12.538555,-0.337456,101.20211,0.0040168166,-0.032675482,-0.05503662,-2.8407713E-4,-0.024829363,0.027907543
20240117 12:07:57,0.030919,-0.010860,-0.060041,-0.036440,-0.033237,0.002573,-40.647396,-12.907722,0.224457,103.00677,-0.03898255,-0.0044653644,-0.017048884,-0.011041678,-0.034823965,0.046757683
20240117 12:07:57,-0.025500,0.024032,-0.003461,-0.042832,-0.035368,0.005770,-40.506527,-11.945599,-0.506798,101.62546,-0.016521832,0.023141695,0.012571929,-0.011068093,-0.03750134,0.05328967
20240117 12:07:57,-0.036619,-0.026473,0.016295,-0.038571,-0.028976,0.007900,-40.418301,-12.129257,-0.359955,102.12662,3.783442E-4,-0.029374478,0.04280305,-0.007745605,-0.031217676,0.046435796
