Timestamp,linacce_x,linacce_y,linacce_z,gyro_x,gyro_y,gyro_z,X-magnetometer,Y-magnetometer,Z-magnetometer,Yaw, worldXAccel,worldYAccel,worldZAccel,worldXgyro,worldYgyro,worldZgyro
20240117 01:22:35,0.052904,0.330822,-0.344439,-0.090448,-0.072364,-0.016533,-3.925098,17.375408,-43.037727,8.325356,-0.249868,0.348081,-0.28499994,-0.066247225,-0.07483182,0.066758625
20240117 01:22:35,0.107940,0.266047,-0.323710,-0.160761,-0.108586,-0.030382,-4.366512,16.584185,-42.722542,8.880866,-0.19225374,0.28352797,-0.31286258,-0.12095885,-0.11284514,0.1156099
20240117 01:22:35,0.084818,0.168839,-0.146802,-0.206571,-0.117108,-0.038905,-4.031258,17.369030,-43.172340,8.63808,-0.062726974,0.17863062,-0.17584674,-0.159426,-0.12333316,0.1422505
20240117 01:22:35,0.050854,0.133857,-0.032286,-0.224682,-0.118174,-0.042101,-4.331806,17.539928,-43.588402,9.45869,0.0033834707,0.13750947,-0.07382925,-0.17574988,-0.12604804,0.15195419
20240117 01:22:35,-0.044363,0.062537,0.242439,-0.220421,-0.104324,-0.041036,-3.976700,17.555370,-42.648079,9.611324,0.14238611,0.046409853,0.18878362,-0.17482018,-0.113320746,0.14495574
20240117 01:22:35,-0.156040,0.035396,0.420954,-0.189525,-0.081952,-0.038905,-4.055965,17.834049,-42.801033,10.385916,0.19078112,-0.0012682285,0.39552164,-0.15434322,-0.09084413,0.11994867
20240117 01:22:35,-0.228960,0.034702,0.556920,-0.128801,-0.045730,-0.033578,-4.225262,17.354420,-43.173317,11.0900755,0.23252814,-0.01880574,0.54169846,-0.11100072,-0.051865716,0.074931554
20240117 01:22:35,-0.270110,0.074569,0.586925,-0.042507,0.001145,-0.026121,-3.995399,17.749109,-43.196800,10.692471,0.22154503,0.016454916,0.58748144,-0.048434015,7.245003E-5,0.012114041
20240117 01:22:35,-0.222713,0.046374,0.537906,0.053374,0.051217,-0.023990,-4.302723,18.575064,-43.253777,10.571844,0.2262658,-0.0019282848,0.52221775,0.016771667,0.05585116,-0.061266564
20240117 01:22:35,-0.175443,0.024222,0.361945,0.134340,0.090634,-0.028252,-4.100403,17.167063,-42.489983,10.265551,0.14018326,-0.008160822,0.3691542,0.06625139,0.09981008,-0.12783319
20240117 01:22:35,-0.088356,0.021235,0.180338,0.186542,0.113007,-0.037840,-3.809975,17.476809,-42.909233,9.586175,0.07197374,0.0054868227,0.18273059,0.09106009,0.12512934,-0.17564656
20240117 01:22:35,-0.050319,0.001239,-0.032770,0.204653,0.118334,-0.051689,-4.437576,17.341660,-43.442528,10.605799,-0.05789491,4.7004235E-4,0.01611946,0.08964831,0.1329263,-0.20126985
20240117 01:22:35,-0.072618,-0.017257,-0.129237,0.199327,0.109811,-0.060212,-3.916134,17.470428,-43.043831,9.921494,-0.14388114,-0.012772073,-0.025744978,0.07689163,0.12462744,-0.2022688
20240117 01:22:35,-0.065362,0.058395,-0.343793,0.176954,0.106615,-0.060212,-3.934448,17.472279,-43.312080,9.837696,-0.30896547,0.07731226,-0.17278993,0.060015257,0.11993431,-0.18562314
20240117 01:22:35,0.032340,0.075212,-0.464687,0.139667,0.113007,-0.061277,-3.988621,17.094049,-43.555885,9.3433485,-0.3432647,0.10385004,-0.32234654,0.034184057,0.122967355,-0.15806356
20240117 01:22:35,0.098260,0.049569,-0.600616,0.094923,0.130052,-0.062343,-3.934448,17.472279,-43.312080,9.180715,-0.4091477,0.08927141,-0.4521133,0.003138572,0.13779715,-0.12553124
20240117 01:22:35,0.107610,0.048698,-0.619315,0.043786,0.141771,-0.063408,-3.670147,17.113190,-43.152046,8.760806,-0.41762763,0.08855121,-0.47124076,-0.030027539,0.14697772,-0.08684802
20240117 01:22:35,0.067468,0.008626,-0.551738,-0.012678,0.143902,-0.064474,-3.836872,17.191750,-42.890892,9.600021,-0.38385862,0.047766782,-0.39715305,-0.067081235,0.14689554,-0.045547526
20240117 01:22:35,0.042385,-0.027405,-0.411165,-0.039311,0.141771,-0.063408,-3.731480,17.581907,-43.317223,9.760868,-0.2829492,0.003047768,-0.29151565,-0.08321048,0.14324734,-0.026017774
20240117 01:22:35,0.002465,-0.092839,-0.205435,-0.094709,0.122595,-0.050624,-3.476143,17.127798,-43.151070,9.647025,-0.14481509,-0.07849862,-0.12628423,-0.10890892,0.11982081,0.023793057
20240117 01:22:36,0.025507,-0.162599,0.030239,-0.103232,0.104484,-0.038905,-3.396877,16.849121,-42.998116,9.816216,0.050437324,-0.16233712,0.020560816,-0.10580771,0.10014914,0.037227284
20240117 01:22:36,-0.051022,-0.207507,0.214319,-0.089383,0.077850,-0.031448,-3.333736,17.322371,-42.760445,10.108797,0.13476089,-0.22551201,0.20719716,-0.089832254,0.07360181,0.034197662
20240117 01:22:36,-0.116865,-0.177060,0.216789,-0.069141,0.052282,-0.019729,-3.246281,17.522488,-43.174553,10.371348,0.09053427,-0.20161465,0.25317353,-0.065788664,0.048423197,0.030545741
20240117 01:22:36,-0.108293,-0.224449,0.168550,-0.049965,0.037367,-0.004814,-3.122574,17.910793,-43.332634,9.481957,0.06338341,-0.24227175,0.21821758,-0.04037108,0.034248415,0.028866746
20240117 01:22:36,0.006944,-0.236513,0.070245,-0.035050,0.026714,-0.000553,-3.555019,17.214588,-43.023537,9.514876,0.07072956,-0.239627,0.06863807,-0.02590905,0.024628831,0.022314426
20240117 01:22:36,0.067548,-0.270627,-0.058562,-0.029723,0.024583,-0.004814,-3.837257,17.383638,-43.171364,9.851289,0.01936331,-0.26204067,-0.057663225,-0.025091683,0.023087986,0.01598512
20240117 01:22:36,0.066117,-0.252414,-0.184951,-0.032919,0.025648,-0.012271,-3.404037,17.696066,-42.919502,9.038338,-0.07825743,-0.23658541,-0.1444503,-0.032594137,0.024516148,0.01386017
20240117 01:22:36,0.060149,-0.203277,-0.281228,-0.045703,0.017125,-0.018664,-3.051506,17.153318,-42.612633,9.504682,-0.15582478,-0.17781347,-0.20599543,-0.04535906,0.015472122,0.020352578
20240117 01:22:36,-0.021189,-0.132419,-0.327426,-0.070206,0.001145,-0.023990,-3.703430,17.291302,-42.494148,11.305314,-0.2481701,-0.10460764,-0.17721047,-0.064079575,-0.0020709638,0.037515286
20240117 01:22:36,-0.139926,-0.101204,-0.339447,-0.108559,-0.024423,-0.020794,-3.457443,16.934061,-42.602364,11.849926,-0.33588135,-0.0790712,-0.09885514,-0.08442489,-0.03141713,0.07183323
20240117 01:22:36,-0.206707,-0.025280,-0.222012,-0.154369,-0.056384,-0.014402,-3.642868,17.206360,-42.889915,12.065006,-0.29940742,-0.021319695,0.01409255,-0.107652,-0.06777657,0.11396461
20240117 01:22:36,-0.232831,0.000209,-0.100631,-0.189525,-0.097932,-0.008010,-3.658226,17.574509,-42.244255,11.764597,-0.23014742,-0.009863843,0.10680406,-0.123880066,-0.11217193,0.1488176
20240117 01:22:36,-0.183719,-0.017793,-0.002646,-0.206571,-0.133089,0.000513,-3.667191,17.479490,-42.238136,11.368876,-0.12463939,-0.031818263,0.13597661,-0.12795231,-0.1483963,0.1702744
20240117 01:22:36,-0.095170,-0.032150,0.059576,-0.211898,-0.154396,0.002643,-3.791660,17.474960,-42.640999,10.372326,-0.019725073,-0.04226943,0.11344992,-0.1325375,-0.1676001,0.1752464
20240117 01:22:36,0.007015,-0.093663,0.184352,-0.193787,-0.166114,-0.003749,-3.552448,17.772779,-42.390114,9.283042,0.14281797,-0.10368629,0.13145193,-0.12728694,-0.17618133,0.15574948
20240117 01:22:36,0.071938,-0.089229,0.285256,-0.160761,-0.172506,-0.014402,-3.677307,17.960136,-43.073433,8.875836,0.25845826,-0.09995603,0.15491298,-0.11375129,-0.17932138,0.123729765
20240117 01:22:36,0.088827,-0.077768,0.327752,-0.116016,-0.175703,-0.025056,-4.047382,18.120956,-43.087608,9.041214,0.30017933,-0.089046925,0.17029455,-0.09043214,-0.17947213,0.085224494
20240117 01:22:36,0.110717,-0.079044,0.214192,-0.072337,-0.163984,-0.033578,-4.480217,17.616640,-43.058998,9.379081,0.23457506,-0.083700806,0.07479811,-0.06693281,-0.16524929,0.04788534
20240117 01:22:36,0.195726,-0.033197,0.110520,-0.039311,-0.133089,-0.043167,-3.765152,17.951906,-42.939796,7.884091,0.2154226,-0.030389324,-0.06556449,-0.053209864,-0.13265097,0.012078097
20240117 01:22:36,0.201696,-0.004216,-0.040913,-0.020135,-0.093671,-0.049559,-4.143425,17.633930,-42.386925,8.444118,0.10522164,0.0045987396,-0.17628263,-0.046510756,-0.09230302,-0.008736655
20240117 01:22:36,0.167970,0.063325,-0.129540,-0.018004,-0.059580,-0.052755,-3.922527,17.933599,-42.404289,8.492756,0.012736373,0.07577353,-0.21684632,-0.048579104,-0.05782524,-0.0154939145
20240117 01:22:36,0.144269,0.092196,-0.147933,-0.028658,-0.029750,-0.051689,-4.347549,18.099966,-43.223198,8.945029,-0.017858401,0.104397364,-0.21452703,-0.056226622,-0.028535271,-0.009632973
20240117 01:22:36,0.153317,0.093344,-0.143246,-0.047834,-0.009508,-0.049559,-4.322071,17.251171,-43.033562,9.084222,-0.008290976,0.10584522,-0.2184194,-0.06833468,-0.009190223,0.0039383434
20240117 01:22:36,0.118392,0.100456,-0.153996,-0.058488,0.013929,-0.045297,-4.064930,17.739031,-42.794914,9.288262,-0.0401496,0.11395209,-0.20054342,-0.07345369,0.0135034025,0.012016296
20240117 01:22:36,0.066436,0.155250,-0.080022,-0.062749,0.028844,-0.035709,-4.417461,18.281776,-43.101784,10.262095,-0.02440209,0.16327219,-0.120535515,-0.0701784,0.02748096,0.019746095
20240117 01:22:36,0.051159,0.135698,-0.037917,-0.063814,0.030975,-0.026121,-4.134846,17.920839,-42.673515,9.778264,-0.0012481585,0.1401653,-0.07851497,-0.064046256,0.029025914,0.026221596
20240117 01:22:36,0.028037,0.114226,0.031651,-0.067010,0.013929,-0.020794,-4.241386,18.106346,-43.088585,9.754648,0.03588882,0.11359478,-0.012436271,-0.06162778,0.011586435,0.033435807
20240117 01:22:36,0.017396,0.117248,0.108953,-0.070206,-0.021227,-0.020794,-4.125111,17.632080,-42.118675,10.257068,0.0841029,0.11104069,0.04597255,-0.061619364,-0.023913847,0.04011595
20240117 01:22:36,-0.061307,0.141235,0.109017,-0.072337,-0.041469,-0.018664,-4.301571,17.999397,-42.412361,11.13612,0.027306512,0.12867479,0.09920192,-0.060002066,-0.04476732,0.045811065
20240117 01:22:36,-0.116234,0.143544,0.156081,-0.065945,-0.047861,-0.009075,-4.556141,18.069729,-42.017570,11.728285,0.021887816,0.12315548,0.16943188,-0.048448816,-0.051563185,0.048378974
20240117 01:22:36,-0.164363,0.131476,0.193675,-0.045703,-0.047861,-0.000553,-3.984245,18.594206,-42.849937,11.033042,0.017390974,0.10403563,0.23273298,-0.028073683,-0.050852317,0.0391735
20240117 01:22:36,-0.164731,0.110705,0.085565,-0.030789,-0.038273,0.006905,-4.054546,18.967901,-43.008995,11.212083,-0.059107203,0.091071434,0.16296399,-0.012974825,-0.040874187,0.032200072
20240117 01:22:36,-0.167260,0.101517,0.034639,-0.032919,-0.038273,0.010101,-4.212692,19.333370,-43.034431,11.211845,-0.09620002,0.08616473,0.13246623,-0.0119897835,-0.04122036,0.035948243
20240117 01:22:36,-0.156079,0.125773,-0.004061,-0.045703,-0.048926,0.012232,-3.869507,18.887493,-43.001900,10.546456,-0.118128896,0.1147627,0.09639279,-0.018423261,-0.052707788,0.04781676
20240117 01:22:36,-0.063176,0.107840,0.008955,-0.053161,-0.061710,0.012232,-4.149937,19.998507,-43.077217,9.652109,-0.043009944,0.103474565,0.039802942,-0.02378793,-0.065162495,0.05412328
20240117 01:22:36,0.019842,0.026766,0.056471,-0.053161,-0.084083,0.007970,-4.193993,19.139633,-42.485710,9.497242,0.053147987,0.024667185,0.020749686,-0.026181042,-0.086971216,0.053586464
20240117 01:22:36,0.062874,0.039094,0.065412,-0.046769,-0.104324,-0.003749,-4.150970,18.672766,-42.588783,9.279291,0.08862367,0.038683068,-0.005847141,-0.029484738,-0.10611558,0.043047085
20240117 01:22:36,0.035996,0.077109,0.001203,-0.040377,-0.113912,-0.009075,-4.504539,17.889771,-42.407219,10.06295,0.021172974,0.07863805,-0.034756802,-0.027918622,-0.11513498,0.037072323
20240117 01:22:36,0.023618,0.147118,-0.023652,-0.039311,-0.114978,-0.012271,-4.590199,18.631618,-41.920616,10.210504,-0.009760317,0.1492363,-0.050730422,-0.029077066,-0.11597471,0.034620948
20240117 01:22:36,0.007158,0.142674,-0.109391,-0.041442,-0.102194,-0.013337,-4.451134,18.651777,-42.724373,9.925181,-0.08402162,0.14876308,-0.09417385,-0.03195173,-0.103258565,0.0337151
20240117 01:22:36,0.032461,0.154973,-0.108693,-0.044638,-0.073429,-0.014402,-4.601349,17.786520,-42.267479,10.025067,-0.066677324,0.16184781,-0.11405476,-0.03676072,-0.07461485,0.0321318
20240117 01:22:36,0.085504,0.143694,-0.112870,-0.048899,-0.048926,-0.019729,-4.238052,18.280758,-41.894203,9.218031,-0.03258227,0.1526397,-0.1537587,-0.045121353,-0.050026275,0.028293047
20240117 01:22:36,0.040070,0.083314,-0.088676,-0.054226,-0.024423,-0.026121,-4.486610,18.079809,-42.419441,9.701523,-0.04192518,0.08942162,-0.098295465,-0.054725096,-0.025570266,0.025126358
20240117 01:22:36,0.028003,0.052596,-0.034496,-0.056357,-0.010574,-0.030382,-4.581615,18.918524,-42.207191,9.942982,-0.0086394325,0.0556472,-0.049897783,-0.060128786,-0.011731172,0.0218071
20240117 01:22:36,-0.025402,-0.008296,0.033165,-0.046769,-0.003116,-0.028252,-4.678043,18.623390,-41.786964,10.441773,0.0066370666,-0.011448008,0.04196726,-0.052566364,-0.004034312,0.014783442
20240117 01:22:36,-0.028159,-0.035638,0.074306,-0.027593,-0.005247,-0.021860,-4.725822,17.781990,-42.670326,10.773875,0.035853498,-0.041367587,0.075548284,-0.034533806,-0.005502276,0.005650948
20240117 01:22:36,0.002011,-0.045211,0.099951,-0.006286,-0.004181,-0.016533,-4.678429,18.815277,-42.067451,10.364491,0.07550377,-0.050430827,0.07256331,-0.01599102,-0.0035987096,-0.0062653674
20240117 01:22:36,-0.009433,-0.054081,0.094133,0.007564,-0.012704,-0.015468,-4.714287,18.435198,-42.042992,10.729794,0.06413507,-0.059897628,0.077975646,-0.0051106093,-0.01134166,-0.0143517805
20240117 01:22:36,-0.022681,-0.003402,0.054624,0.017152,-0.031881,-0.012271,-4.290035,18.652609,-41.785011,10.40705,0.024248876,-0.008140186,0.053780332,0.0048641274,-0.029984757,-0.01680876
20240117 01:22:36,-0.071108,0.054487,-0.016175,0.017152,-0.043599,-0.011206,-4.732983,18.628939,-42.591713,11.1497345,-0.06368137,0.050972253,0.034364548,0.0063297134,-0.04162016,-0.01434583
20240117 01:22:36,-0.104047,0.102851,-0.169463,-0.013743,-0.075560,-0.010141,-4.662300,18.063349,-42.152168,11.135283,-0.20184606,0.107477054,-0.047723398,-0.011647513,-0.075404465,0.01330585
20240117 01:22:36,-0.088161,0.083636,-0.253712,-0.045703,-0.091540,-0.011206,-4.405926,18.934984,-42.474464,10.241585,-0.2520183,0.09411334,-0.11157353,-0.0332335,-0.093074515,0.037467837
20240117 01:22:36,-0.035477,0.060753,-0.270083,-0.077664,-0.089409,-0.013337,-4.987171,18.507380,-41.916451,11.415363,-0.22712046,0.07616196,-0.1596199,-0.056126945,-0.092810676,0.060640603
20240117 01:22:36,-0.077898,0.038588,-0.256771,-0.093644,-0.077691,-0.011206,-5.032761,18.416058,-42.446831,11.221678,-0.24216756,0.049617644,-0.12082638,-0.067534335,-0.0820886,0.071073845
20240117 01:22:36,-0.065902,-0.070760,-0.018039,-0.091513,-0.058514,-0.009075,-4.863083,18.703798,-41.794060,10.90365,-0.05470822,-0.073184066,0.044278644,-0.06684083,-0.062933326,0.06717522
20240117 01:22:36,-0.079908,-0.096892,0.107970,-0.074468,-0.047861,-0.004814,-4.829407,18.333799,-42.171486,10.963917,0.02586253,-0.107350715,0.144321,-0.05303537,-0.051672295,0.056007896
20240117 01:22:36,-0.048270,-0.114153,0.134034,-0.049965,-0.042534,-0.000553,-4.475075,18.733017,-41.792107,10.144854,0.06775989,-0.12362982,0.14094123,-0.03308798,-0.045031775,0.040530212
20240117 01:22:36,-0.032658,-0.073512,0.123913,-0.030789,-0.043599,0.003709,-4.943115,19.366253,-42.507957,10.685155,0.069644295,-0.08192904,0.11796157,-0.016448587,-0.045340836,0.030221611
20240117 01:22:36,-0.029410,-0.077954,0.058311,-0.023331,-0.048926,0.002643,-4.996902,18.796137,-42.471275,10.863049,0.025775239,-0.08258602,0.07113749,-0.011560711,-0.05019028,0.024992801
20240117 01:22:36,-0.025408,-0.039875,-0.048211,-0.013743,-0.051057,0.001578,-4.854500,18.990705,-42.080650,10.62243,-0.05011089,-0.038395476,-0.0091189705,-0.005439556,-0.05172615,0.017515259
20240117 01:22:36,-0.030519,-0.014503,-0.138567,-0.014808,-0.044665,-0.000553,-5.323193,18.106312,-42.027580,11.124086,-0.12110194,-0.008541588,-0.06849689,-0.008100108,-0.045256708,0.0163374
20240117 01:22:36,-0.029789,0.005789,-0.208708,-0.024396,-0.011639,-0.002683,-4.969624,18.889305,-42.209145,10.707749,-0.17297086,0.015979387,-0.11860459,-0.017919581,-0.012733023,0.017539233
20240117 01:22:36,-0.024693,-0.037177,-0.188188,-0.038246,0.017125,0.002643,-5.119186,19.541685,-42.521156,10.185198,-0.1518034,-0.029184682,-0.10456047,-0.025134055,0.015232112,0.027539803
20240117 01:22:36,0.109417,-0.095327,-0.138318,-0.049965,0.036302,0.007970,-5.190907,18.781528,-42.472252,9.733391,-0.020316541,-0.0858362,-0.16217431,-0.030228864,0.034100972,0.03725661
20240117 01:22:36,0.123700,-0.121366,-0.093721,-0.061684,0.040563,0.011166,-4.837337,19.564524,-42.653816,9.755333,0.02450902,-0.11129748,-0.13879755,-0.036792617,0.03721855,0.04716894
20240117 01:22:36,0.003074,-0.086146,0.008316,-0.068076,0.035236,0.015428,-4.909824,19.188143,-43.165855,10.430665,0.012654906,-0.08619162,0.014388645,-0.038352538,0.03080322,0.054897793
20240117 01:22:36,-0.041935,-0.070328,0.073856,-0.085121,0.009668,0.033538,-5.083714,20.113651,-42.826088,10.989368,0.027477179,-0.076863274,0.09003684,-0.036162913,0.002748882,0.08259951
20240117 01:22:36,-0.138164,-0.028239,0.125874,-0.087252,0.001145,0.042061,-4.643719,19.771023,-42.933311,10.908394,-0.0062033758,-0.044891812,0.1889072,-0.03163645,-0.007056997,0.09092895
20240117 01:22:36,-0.161366,0.034648,0.169504,-0.086187,-0.011639,0.053780,-5.057854,19.072968,-42.355995,11.679716,0.0047537833,0.013101998,0.22652516,-0.02157079,-0.020625765,0.10001333
20240117 01:22:36,-0.145109,0.060038,0.203898,-0.060618,-0.009508,0.063368,-5.037739,20.013084,-42.015251,11.214602,0.039136328,0.038550217,0.23554829,0.0029943883,-0.017019501,0.08810408
20240117 01:22:36,-0.173947,0.064953,0.161031,-0.052096,-0.007378,0.062303,-4.827991,19.467653,-42.379463,11.357452,-0.011852823,0.042802945,0.22575876,0.008213509,-0.01482399,0.0809896
20240117 01:22:36,-0.160940,0.082850,0.081910,-0.025462,0.020322,0.064434,-5.118801,19.349794,-42.240685,11.6928215,-0.05915696,0.066857785,0.15959574,0.026916683,0.0143835265,0.05937048
20240117 01:22:36,-0.096796,0.056645,0.071879,-0.013743,0.051217,0.068695,-5.021996,19.453045,-42.380440,11.12983,-0.019611433,0.04644994,0.1109256,0.036377832,0.0460975,0.049969494
20240117 01:22:36,-0.091330,0.013493,0.079783,-0.007351,0.066131,0.072956,-4.421284,19.303135,-41.828789,9.739662,-0.00793466,0.0048391484,0.11865644,0.043391123,0.061886508,0.047798887
20240117 01:22:36,0.004470,-0.036806,0.111888,0.003303,0.090634,0.084675,-4.791748,19.655842,-42.123451,9.491814,0.083909996,-0.041239366,0.07890547,0.058485102,0.08706923,0.045996428
20240117 01:22:36,0.087325,-0.079580,0.132088,0.011825,0.097027,0.085741,-4.712486,19.377165,-41.970497,9.2580185,0.15823728,-0.08124351,0.03900492,0.06522048,0.09395624,0.040268905
20240117 01:22:36,0.086570,-0.053639,0.143292,0.020348,0.102353,0.086806,-4.536411,19.201735,-41.957298,8.876645,0.16445324,-0.05567844,0.04446669,0.07197042,0.09974748,0.03498235
20240117 01:22:36,0.019399,-0.019180,0.138197,0.031002,0.098092,0.085741,-4.748726,19.188974,-42.226509,9.951898,0.11276221,-0.024864003,0.08403198,0.07797965,0.09521302,0.025283813
20240117 01:22:36,-0.037239,0.009018,0.081830,0.037394,0.093831,0.084675,-4.845535,19.085726,-42.086769,10.620128,0.03227002,0.0024242,0.081520036,0.08145612,0.09084371,0.018941257
20240117 01:22:36,-0.074852,0.040648,-0.041266,0.051243,0.081046,0.094263,-4.563686,19.108564,-42.219414,10.578886,-0.08383697,0.038684838,0.02122929,0.09845321,0.077970795,0.016378105
20240117 01:22:36,-0.053261,0.038431,-0.126381,0.048047,0.078916,0.096394,-4.185028,19.234652,-42.491829,9.31413,-0.13048576,0.042320084,-0.050434742,0.09896255,0.076035686,0.021086775
