Timestamp,linacce_x,linacce_y,linacce_z,gyro_x,gyro_y,gyro_z,X-magnetometer,Y-magnetometer,Z-magnetometer,Yaw, worldXAccel,worldYAccel,worldZAccel,worldXgyro,worldYgyro,worldZgyro
20240319 03:35:40,-0.157420,-0.071947,0.158289,-0.016000,-0.094415,-0.007822,30.345329,-35.194759,-9.103844,-83.73256,0.11379351,-0.105354145,0.13408072,0.0035800505,-0.09250075,-0.012972071
20240319 03:35:40,0.034435,0.106054,-0.438284,-0.020441,-0.007626,-0.012331,29.894182,-35.697224,-9.343483,-56.382755,-0.43416244,0.27643064,-0.055602223,-0.010896687,-0.0031231958,0.018406006
20240319 03:35:40,-0.009795,0.116923,-0.596808,-0.053467,0.026466,-0.017658,29.867939,-34.464657,-10.094048,-47.753933,-0.5710244,0.3971731,-0.032607615,-0.035482503,0.028065696,0.054019608
20240319 03:35:40,-0.094790,0.116361,-0.637695,-0.093950,0.069079,-0.010201,30.186417,-34.445515,-9.690224,-46.54552,-0.6092982,0.42752254,0.045771223,-0.057708926,0.057096094,0.09894136
20240319 03:35:40,-0.102759,0.043045,-0.579584,-0.135499,0.113824,-0.000613,29.896370,-34.947155,-8.990517,-51.040863,-0.5336885,0.3149676,0.053799674,-0.076099955,0.08933275,0.14682236
20240319 03:35:40,-0.068129,0.035642,-0.514545,-0.169590,0.152177,0.008976,30.135199,-34.457447,-9.020103,-52.220165,-0.4728398,0.2718332,0.02486524,-0.08994108,0.11690122,0.18634686
20240319 03:35:40,-0.114816,-0.070629,-0.481458,-0.191962,0.196921,0.020694,30.008923,-35.403942,-9.495461,-54.979145,-0.41190785,0.1416857,0.05787096,-0.100825325,0.15246665,0.21799503
20240319 03:35:40,-0.378088,0.033923,0.506984,-0.276125,0.054165,0.047328,30.090374,-34.932545,-8.989540,-65.638306,0.3256247,-0.21931781,0.42904034,-0.055743903,-0.0019464418,0.2844509
20240319 03:35:40,-0.414103,0.212791,-0.110739,-0.324066,-0.015083,0.103792,29.974867,-34.842045,-9.398506,-39.237507,-0.27943847,0.19497362,0.41678226,0.04097701,-0.10743319,0.3309596
20240319 03:35:40,-0.123838,0.106554,0.409805,-0.297432,0.047773,0.135752,29.772282,-35.143566,-9.112892,-80.866234,0.3425347,0.034876436,0.16307077,0.046267867,0.013152959,0.30512786
20240319 03:35:40,0.262894,-0.337695,-0.282739,-0.251622,0.110628,0.122968,29.895987,-34.755268,-9.270973,-84.0146,-0.17664568,-0.30433917,-0.34539267,0.046027333,0.09307819,0.27424866
20240319 03:35:40,0.490734,-0.338573,-0.204544,-0.185570,0.217163,0.105922,29.463537,-35.451466,-8.961906,-80.04415,-0.0384212,-0.28945184,-0.561078,0.029319696,0.19353427,0.23301248
