Timestamp,linacce_x,linacce_y,linacce_z,gyro_x,gyro_y,gyro_z,X-magnetometer,Y-magnetometer,Z-magnetometer,Yaw, worldXAccel,worldYAccel,worldZAccel,worldXgyro,worldYgyro,worldZgyro
20240308 02:50:14,0.252714,-0.065437,0.186687,0.008762,-0.162709,0.004619,39.726311,-28.175194,-21.059464,-82.39985,0.29825377,-0.06679365,-0.23382343,0.020067547,-0.16206108,-0.0948542
20240308 02:50:14,0.198625,-0.024761,0.087585,0.001305,-0.185081,0.000358,40.484009,-28.114906,-21.323807,-80.487976,0.18152863,-0.021531576,-0.1734843,0.016467767,-0.18413824,-0.09817058
20240308 02:50:14,0.017172,0.177022,-0.125944,-0.028525,-0.208519,0.004619,39.884071,-28.348778,-21.314514,-77.44906,-0.11849631,0.19079672,0.05945499,0.012801423,-0.20915261,-0.07883978
20240308 02:50:14,-0.042087,0.270274,-0.307982,-0.071139,-0.205323,0.028057,40.137871,-28.035332,-22.270233,-75.55265,-0.31549823,0.29978836,0.12927836,0.011340823,-0.21137036,-0.03486639
20240308 02:50:14,0.054151,0.201212,-0.332197,-0.122275,-0.201061,0.045103,40.006622,-27.384804,-22.314011,-77.61263,-0.27319303,0.227761,0.016646236,-0.007998683,-0.20906377,0.011044916
20240308 02:50:14,0.265980,0.140858,-0.336485,-0.159562,-0.187212,0.044037,39.758446,-27.777634,-22.558777,-79.09306,-0.16127434,0.16705152,-0.19096959,-0.033335675,-0.19426589,0.048038043
20240308 02:50:14,0.253263,0.009840,-0.305047,-0.172347,-0.142467,0.039776,40.146454,-27.748421,-22.556824,-79.83038,-0.12700832,0.036135927,-0.23883757,-0.048406307,-0.1504744,0.07695118
20240308 02:50:14,0.158626,-0.031226,-0.111083,-0.143582,-0.086004,0.029122,39.873955,-27.868126,-22.149811,-80.16915,-0.0047000125,-0.014653054,-0.16029018,-0.046732046,-0.095016286,0.07752235
20240308 02:50:14,0.003267,-0.080760,0.028474,-0.092446,-0.031671,0.025926,40.043633,-27.580391,-21.497040,-80.43004,0.03295286,-0.08271355,-0.04414229,-0.026687432,-0.039653994,0.062138267
20240308 02:50:14,-0.111111,-0.089542,0.132371,-0.044505,0.004551,0.024861,40.051178,-28.619225,-21.295197,-81.27426,0.05592957,-0.1106939,0.053690035,-0.0049929395,-0.0012810687,0.04149602
20240308 02:50:14,-0.134318,-0.079381,0.139103,-0.001891,0.013074,0.021665,39.699028,-28.268364,-21.321594,-80.63487,0.048963472,-0.10203704,0.081194766,0.015545767,0.010639792,0.010650357
20240308 02:50:14,-0.049979,-0.094917,0.005084,0.018351,0.018401,0.008881,40.192814,-28.040878,-21.465500,-80.55371,-0.014467214,-0.097698204,-0.008374874,0.015745964,0.018561425,-0.004773354
20240308 02:50:14,-0.001373,-0.084973,-0.135190,0.016220,0.019466,-0.011361,39.856407,-28.250053,-21.857101,-80.421555,-0.10776539,-0.07412009,-0.05577743,-0.0023831213,0.02107325,-0.0044262735
20240308 02:50:14,0.104753,-0.112535,-0.178979,0.000240,0.008812,-0.030537,39.998810,-28.055489,-21.466476,-80.55595,-0.08534303,-0.092144795,-0.16360703,-0.02626499,0.01125775,0.0017677459
20240308 02:50:14,0.011372,-0.079333,-0.131411,-0.024263,-0.015691,-0.041191,39.537544,-28.077309,-22.541412,-78.76355,-0.0963818,-0.06603077,-0.0654968,-0.046109036,-0.013230272,0.007744693
20240308 02:50:14,-0.024357,-0.083462,-0.013361,-0.038113,-0.034867,-0.039060,39.777145,-27.971375,-22.010056,-80.279,-0.017179945,-0.083236,-0.026145281,-0.050348446,-0.03345115,0.009300217
20240308 02:50:14,0.055464,-0.037388,0.101826,-0.012544,-0.047651,-0.041191,40.209206,-27.083290,-22.599625,-79.98977,0.11794857,-0.04210663,-0.05674574,-0.037502155,-0.044988967,-0.01959157
20240308 02:50:14,0.100401,-0.028318,0.124043,0.002370,-0.044455,-0.044387,40.190895,-27.081436,-22.867859,-79.629944,0.16047007,-0.032336146,-0.08685017,-0.03243994,-0.041016437,-0.030459378
20240308 02:50:14,0.083751,0.028787,0.079964,0.027939,-0.028475,-0.050779,40.033134,-26.907860,-22.612823,-78.93551,0.110113785,0.026643634,-0.046484336,-0.024929667,-0.02291341,-0.043961275
20240308 02:50:14,0.056947,0.062311,0.014925,0.041788,-0.010364,-0.050779,39.962833,-26.534149,-22.771881,-77.89903,0.038107228,0.06378881,-0.013374986,-0.019140905,-0.0039296984,-0.04639424
20240308 02:50:14,-0.004145,0.125412,0.034873,0.047115,0.001355,-0.055040,40.236099,-26.798225,-22.617966,-77.502304,0.014729066,0.12093853,0.07385583,-0.020593219,0.009618975,-0.045345504
20240308 02:50:14,-0.086904,0.116158,0.038097,0.052442,0.004551,-0.052910,40.244682,-26.511314,-22.904541,-76.25047,-0.027633484,0.10518904,0.1390312,-0.016248278,0.013759743,-0.048515026
20240308 02:50:14,-0.075780,0.118639,0.034792,0.062030,0.013074,-0.051844,39.857056,-26.732422,-22.626022,-77.0221,-0.024069205,0.10923981,0.13051581,-0.011040427,0.022337232,-0.051568568
20240308 02:50:14,-0.107477,0.063663,0.041939,0.073749,0.023727,-0.046517,40.351227,-26.696823,-22.489456,-76.945045,-0.031022932,0.05059532,0.12907703,-9.561032E-4,0.034071922,-0.054874387
20240308 02:50:14,-0.038848,0.002190,0.194719,0.082272,0.019466,-0.041191,40.201012,-27.562088,-22.032547,-81.02828,0.13913131,-0.015071087,0.05038417,0.010284632,0.026912699,-0.061172113
20240308 02:50:14,-0.104092,-0.174321,0.058843,0.088664,-0.009298,-0.029472,40.210358,-27.658951,-21.758209,-77.43235,0.01439875,-0.18845896,0.0016230741,0.025043182,0.0019486549,-0.08279858
20240308 02:50:14,-0.114253,0.048727,-0.005368,0.093990,-0.007168,-0.008165,40.086273,-27.855370,-21.880585,-78.874466,-0.07165747,0.041165683,0.12133033,0.04502405,1.1268025E-4,-0.08358035
20240308 02:50:14,-0.074893,-0.030611,0.120899,0.101448,-0.030605,0.003554,40.007774,-27.960464,-21.472595,-79.76432,0.06270827,-0.04788582,0.057998892,0.06154919,-0.023912217,-0.10107361
20240308 02:50:14,0.007050,0.023904,-0.015107,0.097186,-0.050847,0.007815,40.182697,-27.560234,-22.300797,-78.36174,-0.011124842,0.02552888,0.0048620836,0.06285635,-0.04576023,-0.107949175
