Timestamp,linacce_x,linacce_y,linacce_z,gyro_x,gyro_y,gyro_z,X-magnetometer,Y-magnetometer,Z-magnetometer,Yaw, worldXAccel,worldYAccel,worldZAccel,worldXgyro,worldYgyro,worldZgyro
20240308 02:51:20,-0.118970,0.014588,-0.304686,0.108905,-0.211715,-0.090197,-20.073929,-8.711899,-7.518250,84.04473,-0.32641813,0.042790335,0.09814203,-0.027738288,-0.19682729,-0.03930433
20240308 02:51:20,-0.094365,0.000832,-0.359289,0.073749,-0.243675,-0.093393,-20.118752,-9.186996,-7.487686,84.22627,-0.36881775,0.035084315,0.0781186,-0.039756678,-0.22992823,0.002643447
20240308 02:51:20,-0.063071,-0.000846,-0.437443,0.007697,-0.283093,-0.093393,-19.976738,-8.800537,-7.377533,84.473015,-0.43236837,0.045363046,0.047052775,-0.054345347,-0.27052504,0.07773924
20240308 02:51:20,-0.116840,-0.012339,-0.370747,-0.039178,-0.271374,-0.079543,-19.764412,-8.787777,-7.108307,84.70651,-0.38550797,0.019946715,0.10329715,-0.06110987,-0.26348865,0.12279607
20240308 02:51:20,-0.039622,-0.056067,-0.176033,-0.044505,-0.225564,-0.066759,-19.782341,-8.977818,-7.096069,83.95362,-0.17445727,-0.04444961,0.05001675,-0.061823618,-0.2213418,0.11663589
20240308 02:51:20,-0.007420,-0.102229,-0.034008,-0.022133,-0.177623,-0.064628,-19.730743,-9.157776,-7.485733,82.77086,-0.028161382,-0.100117564,0.04122105,-0.057363253,-0.17382985,0.08002156
20240308 02:51:20,0.019132,-0.129980,-0.014286,0.007697,-0.137140,-0.066759,-19.940483,-8.612350,-7.121506,83.79283,0.0023976918,-0.12814543,0.027314797,-0.050098617,-0.13197201,0.038520247
20240308 02:51:20,-0.048077,-0.076080,-0.027471,0.034331,-0.109441,-0.068890,-20.249229,-8.920242,-6.970505,86.7276,-0.03417047,-0.07454845,0.07102113,-0.04036784,-0.099928945,0.0046005673
20240308 02:51:20,-0.181475,0.020904,-0.071019,0.056703,-0.091330,-0.066759,-20.021561,-9.275635,-7.346954,87.5585,-0.13069,0.021420904,0.16251867,-0.03008537,-0.078177266,-0.023249106
20240308 02:51:20,-0.281745,0.120335,-0.142433,0.076945,-0.072154,-0.058236,-19.934090,-9.075520,-7.761063,88.46388,-0.2468868,0.12604514,0.22491474,-0.015392698,-0.055315193,-0.049307477
20240308 02:51:20,-0.378034,0.189096,-0.258119,0.089729,-0.048716,-0.041191,-19.915016,-9.461143,-6.931885,91.85199,-0.3979315,0.21155146,0.3009551,4.0047243E-4,-0.032940846,-0.069162354
20240308 02:51:20,-0.417083,0.218549,-0.397111,0.085468,-0.031671,-0.023080,-19.764412,-8.787777,-7.108307,90.689156,-0.5411254,0.2697153,0.33357742,0.010986013,-0.020195464,-0.0719184
20240308 02:51:20,-0.307372,0.240600,-0.517716,0.062030,-0.010364,-0.012426,-19.906052,-9.366123,-6.937988,89.3252,-0.6187883,0.3127879,0.22322519,0.008055892,-0.0045865476,-0.05645251
20240308 02:51:20,-0.199622,0.213615,-0.603466,0.023677,0.010943,-0.014557,-20.100052,-9.380733,-6.938965,88.165,-0.66135466,0.2974457,0.124851026,-0.00874379,0.014238782,-0.025947459
20240308 02:51:20,-0.156539,0.188268,-0.539874,-0.008283,0.036511,-0.015622,-19.861221,-8.891026,-6.968552,87.24682,-0.5835504,0.25833184,0.08561555,-0.022580892,0.03799412,-0.0031914078
20240308 02:51:20,-0.162840,0.145238,-0.359284,-0.020002,0.066341,-0.015622,-20.082504,-8.998810,-7.231674,87.48496,-0.40981936,0.1891241,0.10364738,-0.030898668,0.06685094,-0.0021884975
20240308 02:51:20,-0.208368,0.032193,-0.215505,-0.020002,0.081256,-0.012426,-20.170349,-9.007038,-7.098022,88.28844,-0.27465093,0.052934147,0.18377425,-0.030285046,0.081043534,-0.008184602
20240308 02:51:20,-0.227324,0.015764,-0.047982,-0.017871,0.064211,-0.013492,-20.303024,-9.490360,-6.933838,91.00373,-0.12500118,0.009424219,0.20841534,-0.029712316,0.064315565,-0.005152633
20240308 02:51:20,-0.381173,0.077450,0.069977,-0.006152,0.045034,-0.007100,-19.500114,-9.146862,-6.948257,91.17736,-0.08473591,0.036869355,0.32865474,-0.016911916,0.045039516,-0.010115136
20240308 02:51:20,-0.339979,0.000498,0.123122,0.015155,0.023727,-0.000707,-20.294823,-9.011566,-7.500885,89.261665,-0.007638693,-0.042042974,0.31819606,7.3263206E-4,0.024428284,-0.022596855
20240308 02:51:20,-0.236501,-0.031130,0.135107,0.041788,0.019466,-0.000707,-19.985313,-9.087448,-7.090942,88.71883,0.04541572,-0.062966436,0.23323712,0.011378322,0.021608023,-0.045979492
20240308 02:51:20,-0.129899,-0.119628,0.085531,0.064161,0.023727,-0.008165,-20.021942,-9.083748,-7.627441,86.15415,0.048764277,-0.1352748,0.16550463,0.011954053,0.027524572,-0.068580054
20240308 02:51:20,-0.090515,-0.124652,0.043389,0.081206,0.033315,-0.014557,-19.624199,-9.343285,-7.070648,86.67291,0.022748552,-0.13226055,0.12893938,0.010942563,0.037999664,-0.08799426
20240308 02:51:20,-0.013091,-0.158344,-0.041740,0.091860,0.034381,-0.020949,-19.995049,-8.798687,-7.645782,84.262024,-0.026615689,-0.1533858,0.0637155,0.007502241,0.039864525,-0.09871329
20240308 02:51:20,0.025928,-0.175253,-0.200428,0.084402,0.035446,-0.026276,-20.003632,-9.085598,-7.359192,84.80163,-0.16164535,-0.15164104,0.02526794,-0.0016513206,0.041092824,-0.09201052
20240308 02:51:20,0.010903,-0.182280,-0.285017,0.065226,0.030119,-0.032668,-19.633934,-9.054527,-7.625488,85.3318,-0.23978536,-0.14084734,0.03878403,-0.01463039,0.037194796,-0.0721444
20240308 02:51:20,-0.134633,-0.112379,-0.365025,0.038592,0.026923,-0.028407,-20.171120,-8.623260,-7.658981,87.81429,-0.36179185,-0.051636375,0.1584,-0.019539751,0.033889364,-0.045339707
20240308 02:51:20,-0.230621,-0.042935,-0.365143,0.019416,0.031185,-0.014557,-19.907196,-8.790459,-7.779404,88.31958,-0.40293473,0.014564261,0.22921613,-0.013599152,0.03460136,-0.02827183
