Timestamp,linacce_x,linacce_y,linacce_z,gyro_x,gyro_y,gyro_z,X-magnetometer,Y-magnetometer,Z-magnetometer,Yaw, worldXAccel,worldYAccel,worldZAccel,worldXgyro,worldYgyro,worldZgyro
20240625 12:29:24,0.115060,-0.108009,0.508294,-0.058493,0.245616,0.009533,-52.365459,24.552265,-28.068588,52.17749,0.46321422,-0.09042656,0.15895927,-0.018921249,0.2476297,-0.07225524
20240625 12:29:24,0.005824,-0.255493,0.654164,0.019278,0.275446,0.020187,-52.214474,25.033745,-27.964554,52.622143,0.50226367,-0.2359276,0.37521002,0.03603608,0.2753736,-0.14566399
20240625 12:29:24,-0.051526,-0.281111,0.578700,0.061892,0.271184,0.024448,-52.208469,24.762466,-28.884567,52.598732,0.41175547,-0.26649016,0.40052998,0.064179614,0.27046958,-0.17397334
20240625 12:29:24,-0.049758,-0.209346,0.476337,0.077872,0.230701,0.026579,-52.074650,24.670128,-28.207367,52.552177,0.33836442,-0.19326565,0.31945503,0.075946786,0.22946979,-0.16407569
20240625 12:29:24,0.070405,-0.217210,0.305993,0.070415,0.193414,0.014860,-52.091808,24.096310,-27.634186,52.22113,0.27556124,-0.20478284,0.16092333,0.06358713,0.19123067,-0.14298049
20240625 12:29:24,0.170845,-0.283561,0.168548,0.038454,0.139081,-0.014970,-52.339985,23.703472,-27.878967,51.85734,0.22061837,-0.28045377,0.057586044,0.018846454,0.13624789,-0.101544075
20240625 12:29:24,0.155523,-0.211605,-0.007335,-0.019075,0.082618,-0.053322,-52.250332,24.653667,-27.940094,51.78023,0.074193485,-0.2172498,-0.03171251,-0.05013726,0.08044557,-0.041727368
20240625 12:29:24,0.126351,-0.111481,-0.028975,-0.084061,0.043200,-0.082087,-52.014843,24.968964,-29.164078,51.38526,0.045765378,-0.11619356,-0.06227656,-0.11389078,0.04227043,0.018625714
20240625 12:29:24,0.074282,-0.076042,0.011029,-0.122413,0.024024,-0.102328,-52.481731,25.026535,-29.038513,51.772484,0.04922739,-0.07759628,-0.021667372,-0.1534253,0.023422657,0.051710606
20240625 12:29:24,0.075958,-0.067827,-0.008559,-0.141590,0.049592,-0.116178,-51.935963,24.882175,-29.291595,51.65567,0.035472654,-0.0699386,-0.033240706,-0.17547938,0.049101014,0.04918992
20240625 12:29:24,0.082787,-0.009039,0.221648,-0.143720,0.077291,-0.122570,-51.820072,24.599796,-28.602158,52.32453,0.22613373,-0.00435644,0.020481296,-0.1822263,0.076848514,0.03196747
20240625 12:29:24,0.034162,-0.053133,0.429068,-0.126675,0.080487,-0.117243,-52.138554,24.580654,-29.005997,52.9865,0.35630673,-0.046576835,0.16027264,-0.16926174,0.08019867,0.015334144
20240625 12:29:24,-0.085392,-0.085816,0.627471,-0.101107,0.042135,-0.115113,-52.420399,24.557816,-28.873322,54.31023,0.4335139,-0.087939374,0.34099275,-0.15322372,0.04223478,0.014577638
20240625 12:29:24,-0.198585,-0.024561,0.618779,-0.073407,-0.009002,-0.099132,-51.883984,24.510326,-29.400787,54.347416,0.36361808,-0.034867305,0.39147484,-0.12316801,-0.008451011,0.026462615
20240625 12:29:24,-0.183825,0.062078,0.437876,-0.038251,-0.021786,-0.069303,-52.140743,23.830582,-29.358963,54.05163,0.23578243,0.06216854,0.27169532,-0.07827878,-0.021792592,0.0163452
20240625 12:29:24,-0.065626,-0.010599,0.255926,0.002232,0.000586,-0.047996,-52.217434,24.667446,-28.878464,53.00077,0.16321456,-0.0051377085,0.1508202,-0.036753032,-3.0048523E-4,-0.01960062
20240625 12:29:24,0.019594,-0.098562,0.224284,0.043781,0.033612,-0.043734,-52.217434,24.667446,-28.878464,52.95112,0.18759222,-0.09465368,0.11519426,-0.0072118435,0.032163184,-0.06715526
20240625 12:29:24,-0.038939,-0.021755,0.366774,0.089591,0.069834,-0.039473,-51.652203,23.945568,-28.021881,54.516678,0.26368204,-0.021814125,0.17350273,0.02454718,0.06985003,-0.119753495
20240625 12:29:24,-0.139888,-0.003607,0.526453,0.131139,0.069834,-0.025623,-51.759129,24.322971,-28.717453,54.60285,0.32423124,-0.010486996,0.301382,0.061019655,0.071231686,-0.14726645
20240625 12:29:24,-0.164946,-0.035176,0.547573,0.167361,0.046396,-0.017100,-51.698559,24.238026,-29.113220,54.11463,0.32966992,-0.039161053,0.34530663,0.08943213,0.047267176,-0.1611304
20240625 12:29:24,-0.047074,-0.013944,0.320155,0.187603,0.022958,-0.026689,-52.165829,24.487484,-29.268112,52.805607,0.22841743,-0.0073368116,0.15993556,0.091015436,0.019860473,-0.1710554
20240625 12:29:24,0.149143,0.006126,-0.036936,0.191864,0.034677,-0.044800,-52.078365,24.687607,-29.682220,51.499767,0.054305732,0.0010016065,-0.13864523,0.07308164,0.028157437,-0.18928117
20240625 12:29:24,0.150503,0.182138,-0.293226,0.171623,0.079422,-0.051192,-51.838390,24.601646,-28.870392,52.19518,-0.15579718,0.16923328,-0.3038365,0.054378904,0.074014135,-0.19509342
20240625 12:29:24,0.036126,0.297474,-0.279902,0.143924,0.115644,-0.040538,-51.944546,24.595264,-29.005020,53.906208,-0.21264213,0.2970916,-0.25458178,0.046125,0.11547211,-0.18481758
20240625 12:29:24,-0.177571,0.265717,-0.001906,0.107702,0.100729,-0.013904,-51.823032,24.233498,-29.516068,54.867123,-0.111185834,0.26292506,0.016083682,0.04963663,0.10265257,-0.14022774
