Timestamp,linacce_x,linacce_y,linacce_z,gyro_x,gyro_y,gyro_z,X-magnetometer,Y-magnetometer,Z-magnetometer,Yaw, worldXAccel,worldYAccel,worldZAccel,worldXgyro,worldYgyro,worldZgyro
20240312 02:43:22,-0.416525,0.080778,0.017651,0.039092,-0.514400,-0.194128,-0.198460,37.964336,-16.191910,4.5409775,-0.34240294,0.013727051,0.2444918,-0.02155412,-0.4791251,-0.14816827
20240312 02:43:22,-0.487145,-0.081736,-0.116137,0.005000,-0.422780,-0.113162,-0.788666,37.441711,-15.627777,5.178062,-0.4598711,-0.14147109,0.18178877,-0.015529294,-0.40379283,-0.06466375
20240312 02:43:22,-0.351361,-0.166508,-0.051925,-0.022699,-0.282154,-0.027934,0.208630,37.607925,-15.360779,3.2732854,-0.3053733,-0.20670077,0.16060472,-0.00886832,-0.27899382,0.0028660279
20240312 02:43:22,-0.263381,-0.080823,-0.031495,-0.047202,-0.147920,0.043445,-0.479538,37.557720,-15.498306,4.108639,-0.22826147,-0.11048197,0.12705214,-0.0021103658,-0.15589204,0.07114416
20240312 02:43:22,-0.224276,0.058942,0.130769,-0.057855,-0.047778,0.081797,-0.314350,38.246712,-16.881348,3.7367833,-0.11851789,0.021996688,0.23022662,9.0574473E-4,-0.060447972,0.10260124
20240312 02:43:22,-0.119374,0.037906,0.304984,-0.040809,-0.020078,0.089255,-0.472115,38.420296,-16.626312,3.513525,0.064573534,0.0045103226,0.31786478,0.016119972,-0.030218834,0.09785534
20240312 02:43:22,-0.010459,0.022204,0.368426,-0.004588,-0.037124,0.075405,-0.507587,37.848328,-16.321381,3.2715166,0.19105715,-0.0013588071,0.31203645,0.039598335,-0.041916277,0.0671951
20240312 02:43:22,0.052986,0.065723,0.342981,0.032700,-0.068019,0.059425,-0.134933,38.245693,-15.673752,2.587857,0.22910976,0.0495574,0.25338703,0.06403118,-0.06823762,0.033853605
20240312 02:43:22,0.097721,0.075139,0.291459,0.047614,-0.076542,0.051967,-0.285919,37.764217,-15.777817,2.789683,0.23927364,0.06595057,0.18281747,0.0729723,-0.07503962,0.019246599
20240312 02:43:23,0.035990,0.086369,0.226596,0.106209,-0.040320,0.039183,-0.497086,37.175789,-15.205612,3.2318347,0.14912409,0.07498967,0.1644809,0.11254065,-0.03248318,-0.02428485
20240312 02:43:23,-0.047670,-0.005703,0.465859,0.175456,-0.041385,0.031726,-0.340096,37.385990,-16.021591,3.3058398,0.21231437,-0.0418289,0.41623127,0.1670542,-0.02508699,-0.06704196
20240312 02:43:23,-0.196796,-0.019337,0.404117,0.241508,-0.072281,0.027464,-0.155823,37.689354,-16.575455,3.6378045,0.05750121,-0.07558966,0.44603115,0.22234821,-0.04429446,-0.1063164
20240312 02:43:23,-0.362283,-0.108304,0.122315,0.278795,-0.083999,0.050902,-0.216774,37.966187,-16.460144,4.3193393,-0.22443226,-0.17063116,0.309069,0.26791957,-0.047424212,-0.1069668
20240312 02:43:23,-0.527143,-0.224476,-0.098781,0.288383,-0.087195,0.071144,-0.674698,38.118774,-16.340698,5.2985997,-0.46705517,-0.29254416,0.23128185,0.2872103,-0.047977697,-0.09636709
20240312 02:43:23,-0.586286,-0.251730,-0.277892,0.284122,-0.097849,0.119084,-0.410007,37.567799,-15.900192,4.8254395,-0.6112963,-0.30783698,0.12152617,0.31070822,-0.065190844,-0.05645226
20240312 02:43:23,-0.465144,-0.182601,-0.352070,0.243638,-0.154312,0.179809,-0.658955,37.558739,-16.705902,5.0593853,-0.5615921,-0.20955412,5.1388144E-4,0.31682765,-0.13594815,0.013894722
20240312 02:43:23,-0.345631,-0.176506,-0.551695,0.211678,-0.156443,0.203247,-0.322548,37.767914,-16.314301,4.0723643,-0.5852981,-0.1668278,-0.22810692,0.30386952,-0.14682832,0.04668946
20240312 02:43:23,-0.205892,-0.189297,-0.532358,0.172260,-0.177750,0.196855,-0.516552,37.753307,-16.315277,3.9867506,-0.46297577,-0.16652808,-0.2945824,0.26903117,-0.17298688,0.06573365
20240312 02:43:23,-0.152567,-0.163111,-0.506389,0.139234,-0.206514,0.172352,-0.420128,38.048443,-16.735489,3.8171525,-0.40799004,-0.13722725,-0.30645308,0.23026386,-0.20332436,0.06634863
20240312 02:43:23,-0.171621,-0.146681,-0.484809,0.128581,-0.225691,0.152110,-0.731438,37.182358,-17.217926,4.3098435,-0.4136781,-0.12506598,-0.27536067,0.21122767,-0.22213073,0.05795873
20240312 02:43:23,-0.131544,-0.169742,-0.501863,0.123254,-0.232083,0.140391,-0.942989,36.785820,-16.926224,4.3549147,-0.3904158,-0.14474593,-0.31268975,0.19899309,-0.22849147,0.052910596
