Timestamp,linacce_x,linacce_y,linacce_z,gyro_x,gyro_y,gyro_z,X-magnetometer,Y-magnetometer,Z-magnetometer,Yaw, worldXAccel,worldYAccel,worldZAccel,worldXgyro,worldYgyro,worldZgyro
20240424 02:52:33,-0.045611,-0.050015,0.113822,0.052185,-0.007429,-0.028698,-19.088783,2.230251,-4.444809,79.80322,0.09564014,-0.059610106,0.066055045,-0.00910221,-0.003871109,-0.048485093
20240424 02:52:33,-0.051841,-0.088803,-0.003496,0.060708,0.011747,-0.029763,-19.41584,1.924198,-4.562073,81.372536,-0.011471599,-0.08974181,0.077518374,-0.009291396,0.016688932,-0.062629305
20240424 02:52:33,-0.135239,-0.063145,-0.073697,0.057512,0.02027,-0.024436,-19.00132,2.430367,-4.858917,81.56614,-0.1041919,-0.058925625,0.14465044,-0.007216783,0.02572385,-0.06204646
20240424 02:52:33,-0.215381,-0.018867,-0.133533,0.052185,0.017074,-0.011652,-19.203903,2.128849,-4.573318,84.04502,-0.18968609,-0.009158492,0.20612992,0.002800322,0.02120974,-0.055256397
20240424 02:52:33,-0.233987,-0.036723,-0.21669,0.039401,0.005355,0.003263,-19.131802,2.697117,-4.341751,84.1866,-0.26949468,-0.014683865,0.22728646,0.014270252,0.006709856,-0.03904787
20240424 02:52:33,-0.166417,-0.051353,-0.233487,0.015964,-0.006364,0.012851,-19.149345,2.315193,-4.049042,83.452576,-0.2651626,-0.029364578,0.16594195,0.017766217,-0.007240764,-0.012834119
20240424 02:52:33,-0.089447,-0.06973,-0.228609,-0.002147,-0.004233,0.013916,-18.91309,2.246712,-4.712082,79.717224,-0.23794496,-0.051898275,0.09366502,0.012920019,-0.005494875,0.004066593
20240424 02:52:33,-0.02081,-0.080237,-0.194517,-0.019193,0.005355,0.007524,-19.352699,2.397446,-4.324387,80.42864,-0.18442546,-0.06514214,0.034275383,7.6191826E-4,0.004249189,0.017001003
20240424 02:52:33,-0.004229,-0.087719,-0.153195,-0.025585,0.012812,0.005393,-19.643902,2.471481,-4.46608,80.34678,-0.1389839,-0.07497009,0.023192737,-0.004022378,0.011627158,0.020578073
20240424 02:52:33,-0.03927,-0.087558,-0.056354,-0.030912,0.029858,0.005393,-19.476791,2.201035,-4.446762,80.5336,-0.058599964,-0.08368862,0.062043004,-0.007345245,0.028433522,0.020043314
