Timestamp,linacce_x,linacce_y,linacce_z,gyro_x,gyro_y,gyro_z,X-magnetometer,Y-magnetometer,Z-magnetometer,Yaw, worldXAccel,worldYAccel,worldZAccel,worldXgyro,worldYgyro,worldZgyro
20240424 04:38:27,-0.219801,-0.045172,0.982666,0.387322,-0.294933,-0.025662,4.682384,6.461815,-33.001381,-0.7017789,0.6388897,-0.16267851,0.7763515,0.24781556,-0.2590502,-0.323726
20240424 04:38:27,-0.152851,-0.045885,0.349330,0.469354,-0.359920,0.054240,4.848724,6.575142,-33.543022,-1.6114105,0.20421904,-0.08939554,0.322742,0.34447792,-0.33164123,-0.36225283
20240424 04:38:27,0.082599,-0.059978,-0.298583,0.477877,-0.340743,0.087265,4.415512,6.262726,-33.794868,-2.9434788,-0.20736869,-0.03563228,-0.22695352,0.3459454,-0.32557586,-0.37233958
20240424 04:38:27,0.198059,0.099853,-0.673915,0.403302,-0.291737,0.072350,4.646141,6.273636,-33.257408,-4.3789406,-0.50038415,0.144136,-0.49280924,0.27363306,-0.28267744,-0.32978064
20240424 04:38:27,0.228825,0.302320,-0.978930,0.278657,-0.211836,0.039325,4.530636,6.364113,-33.666374,-4.024043,-0.78285074,0.3652824,-0.63895005,0.17418641,-0.20539084,-0.23695299
20240424 04:38:27,0.202720,0.387927,-0.967058,0.148684,-0.126608,0.010560,4.073093,6.324821,-33.266457,-3.4738238,-0.78258073,0.44683012,-0.6164317,0.085342795,-0.12261768,-0.1303909
20240424 04:38:27,0.251770,0.270884,-0.652602,0.045346,-0.110628,-0.000093,4.372875,6.537697,-33.411339,-5.114723,-0.44715375,0.30115533,-0.5324361,0.026958443,-0.109507754,-0.044198036
20240424 04:38:27,0.282351,0.205664,-0.417559,0.010189,-0.142589,-0.000093,4.291805,5.874405,-33.636787,-5.5582366,-0.21445437,0.22332963,-0.4474914,0.009540803,-0.14230852,-0.01595245
20240424 04:38:27,0.293263,0.176062,-0.194727,-0.039882,-0.269365,-0.022466,3.922112,5.843346,-33.370491,-4.4052844,-0.018288136,0.19010928,-0.34442717,-0.029839521,-0.26917905,0.011324668
20240424 04:38:28,0.214258,0.206113,0.019403,-0.037752,-0.334351,-0.041642,3.709793,5.830582,-33.639717,-4.0873795,0.1259059,0.21029302,-0.16077496,-0.04334127,-0.3334205,-0.0041349214
20240424 04:38:28,0.186155,0.207021,0.215588,0.004862,-0.408926,-0.058687,3.797642,5.838814,-33.773354,-3.787754,0.27361277,0.20287761,-0.028599225,-0.028919384,-0.40579385,-0.051368278
20240424 04:38:28,0.142214,0.044055,0.159701,0.078371,-0.450474,-0.074668,3.958355,6.031540,-33.114479,-4.7805786,0.21001132,0.04176785,-0.028983489,-0.003683392,-0.4457745,-0.12708193
20240424 04:38:28,0.171651,-0.053470,-0.009552,0.147619,-0.468585,-0.098105,3.561378,5.907295,-33.110329,-3.9542608,0.08636463,-0.0491611,-0.15172014,0.013703592,-0.4612913,-0.19450518
20240424 04:38:28,0.187623,-0.043954,-0.128044,0.185971,-0.504807,-0.121543,3.285927,5.421288,-33.617226,-3.9189038,-0.008358702,-0.036962893,-0.22837308,0.009407289,-0.49777114,-0.24017698
20240424 04:38:28,0.200630,0.013410,-0.263859,0.189168,-0.553813,-0.141785,3.303089,5.995102,-34.190392,-4.675429,-0.12392019,0.01963307,-0.30649883,-0.015785158,-0.5495804,-0.25799513
20240424 04:38:28,0.224151,0.084360,-0.347600,0.173187,-0.595362,-0.160961,3.233940,5.793129,-33.508049,-4.66668,-0.18426417,0.09224236,-0.36682928,-0.039259247,-0.5909143,-0.2559195
20240424 04:38:28,0.259024,0.121802,-0.128782,0.162534,-0.642237,-0.178006,2.845932,5.763916,-33.510002,-4.621322,0.02402956,0.12390973,-0.28286877,-0.06260796,-0.6401718,-0.2580899
20240424 04:38:28,0.271341,-0.016041,-0.202532,0.169991,-0.641171,-0.192921,2.651928,5.749306,-33.510979,-4.923439,-0.032123834,-0.016711246,-0.3373956,-0.07770355,-0.6417105,-0.2736929
20240424 04:38:28,0.293501,-0.069975,-0.239828,0.178514,-0.593231,-0.209967,2.352150,5.536423,-33.366081,-3.715296,-0.053100184,-0.06665313,-0.3772893,-0.08278893,-0.5906765,-0.28096646
20240424 04:38:28,0.109846,-0.079114,-0.282981,0.168926,-0.522918,-0.216359,2.300163,5.908279,-33.256905,-1.727481,-0.18258956,-0.066948466,-0.24142247,-0.0796945,-0.5114618,-0.2645122
20240424 04:38:28,-0.025337,-0.085484,-0.206962,0.139096,-0.418514,-0.208901,2.167114,5.616844,-33.373161,-0.098633535,-0.18487883,-0.07498657,-0.08630479,-0.08288178,-0.40183252,-0.22795509
20240424 04:38:28,-0.078001,0.001781,-0.065592,0.119920,-0.331155,-0.180137,2.237026,5.435028,-33.494591,-0.13216308,-0.09702885,0.002680147,0.031120177,-0.070265286,-0.31651407,-0.19781223
20240424 04:38:28,-0.173546,-0.100907,0.045921,0.107136,-0.261907,-0.151373,2.042641,5.612312,-33.776024,1.3590976,-0.048338003,-0.11147802,0.1721081,-0.050828665,-0.24575268,-0.16858733
20240424 04:38:28,-0.206609,-0.163246,0.083941,0.094352,-0.189464,-0.125804,1.867332,5.403961,-33.228294,1.8111495,-0.030339472,-0.1782482,0.22184125,-0.04039125,-0.17538057,-0.14427432
20240424 04:38:28,-0.199962,-0.110498,0.108533,0.081567,-0.146850,-0.101301,1.885262,5.594002,-33.240517,1.1726977,-0.009871401,-0.12526472,0.22811714,-0.03161063,-0.13664454,-0.121723354
20240424 04:38:28,-0.120543,-0.017509,0.103264,0.058130,-0.151111,-0.086386,1.751827,5.494446,-33.637260,0.3357128,0.023975886,-0.02619091,0.15706554,-0.03472449,-0.14488041,-0.09471744
20240424 04:38:28,0.015262,0.011420,0.022447,0.016581,-0.187333,-0.092779,2.200401,5.438728,-34.031075,-1.6241053,0.026736839,0.010992233,-9.589866E-4,-0.06395407,-0.18386161,-0.06580875
20240424 04:38:28,0.100411,0.070469,0.102343,-0.044144,-0.233143,-0.120478,1.893841,5.880905,-33.527107,-2.6051257,0.13925567,0.07000762,-0.028911855,-0.12278415,-0.23204675,-0.032302037
20240424 04:38:28,0.232126,0.082050,0.140062,-0.100607,-0.261907,-0.178006,1.700222,5.674408,-33.247612,-2.8702116,0.24248025,0.08207682,-0.11855568,-0.20325471,-0.26149783,-0.01758638
20240424 04:38:28,0.226325,-0.050351,0.191629,-0.148548,-0.274692,-0.256842,1.496490,5.948563,-33.803413,-2.1473372,0.28524143,-0.05067116,-0.08359216,-0.29398078,-0.27344474,-0.023991987
20240424 04:38:28,0.186107,-0.146891,0.285732,-0.177312,-0.285345,-0.315436,1.354469,5.562103,-33.913582,-1.2470028,0.34333128,-0.14950602,0.0033698827,-0.35593095,-0.28205726,-0.032503277
20240424 04:38:28,0.012391,-0.375566,0.184719,-0.206077,-0.273626,-0.322894,1.347691,6.217155,-33.554482,3.103305,0.18653226,-0.38714412,0.10586475,-0.3613693,-0.25902835,-0.00458169
20240424 04:38:28,-0.510136,-0.131194,-0.129138,-0.243364,-0.155373,-0.265365,1.426956,5.938477,-33.401527,11.170677,-0.3288483,-0.15782426,0.398891,-0.3122622,-0.124724336,0.10295914
20240424 04:38:28,-0.844359,0.429790,-0.447255,-0.263605,0.158905,-0.142850,1.496490,5.948563,-33.803413,9.662097,-0.8995681,0.4040758,0.42904449,-0.28765282,0.15091541,0.12995982
20240424 04:38:28,-0.707037,0.181269,0.428702,-0.273194,0.186604,-0.049099,0.817665,5.801476,-33.666588,8.443633,-0.08678973,0.058493774,0.8066852,-0.22165518,0.16551788,0.17902027
20240424 04:38:28,-0.520891,0.056082,0.628595,-0.280651,0.015083,-0.028858,1.506218,5.659805,-33.248589,5.4345026,0.18718565,-0.051107183,0.7873062,-0.19100025,-0.0037858773,0.20814587
20240424 04:38:28,-0.439167,0.039641,0.793625,-0.273194,-0.244862,-0.044838,1.046879,4.678535,-32.921150,5.9646716,0.36178264,-0.071766585,0.8228232,-0.17549187,-0.2588495,0.20688568
20240424 04:38:28,-0.425852,0.136155,0.901405,-0.246560,-0.538898,-0.077864,1.128330,5.149933,-32.415230,6.0498023,0.43664783,0.009737164,0.87450695,-0.15626393,-0.5457602,0.18315853
20240424 04:38:28,-0.404056,0.161017,0.964014,-0.205011,-0.814823,-0.095975,0.510075,4.917915,-32.674187,5.0680885,0.50951874,0.06500776,0.89299285,-0.13873315,-0.81564415,0.1492454
20240424 04:38:28,-0.146890,-0.077582,0.587203,-0.218861,-0.975691,-0.024596,0.545547,5.489883,-32.979103,1.1729155,0.37164307,-0.09669238,0.4801016,-0.1283485,-0.9791409,0.16890088
20240424 04:38:28,-0.265925,0.260780,0.536915,-0.395709,-1.245224,0.083004,0.633011,5.690002,-33.393211,4.5413475,0.27384466,0.20500624,0.50863755,-0.058374897,-1.2666845,0.4293509
20240424 04:38:28,-0.177871,-0.142977,-0.446595,-0.541661,-1.249485,0.155448,-0.027496,5.541069,-32.988136,3.1476994,-0.4662091,-0.12843902,-0.08221662,-0.1028993,-1.2691152,0.5777699
20240424 04:38:28,-0.004287,-0.323958,-0.403275,-0.664176,-1.104598,0.159709,-0.476841,5.980576,-33.155281,1.52652,-0.32853183,-0.32063884,-0.22500718,-0.24540347,-1.1097531,0.65093637
20240424 04:38:28,-0.043425,-0.386704,0.168919,-0.741947,-0.954384,0.130945,-0.325089,6.078270,-32.490288,2.4593744,0.11711973,-0.39120954,0.14670804,-0.32254562,-0.9700409,0.69470537
20240424 04:38:28,-0.275973,-0.364006,-0.001490,-0.755796,-0.674197,0.112834,-0.968052,6.311279,-32.377937,4.9919863,-0.1478465,-0.37167248,0.24138652,-0.32351756,-0.70041484,0.7128345
