Timestamp,linacce_x,linacce_y,linacce_z,gyro_x,gyro_y,gyro_z,X-magnetometer,Y-magnetometer,Z-magnetometer,Yaw, worldXAccel,worldYAccel,worldZAccel,worldXgyro,worldYgyro,worldZgyro
20240215 12:12:33,0.161495,-0.165884,0.221598,0.015772,0.122072,0.015309,-36.520134,-11.654980,-1.560455,95.74703,0.2696485,-0.16797966,-0.09193982,0.018596133,0.121939756,-0.063067526
20240215 12:12:33,-0.168350,0.131544,0.072873,-0.179703,-0.085874,-0.144348,-36.210625,-11.730862,-1.150513,102.818596,-0.041887958,0.11712543,0.061199386,-0.21239558,-0.083553396,0.21374924
20240215 12:12:33,-0.309965,0.133751,0.043720,-0.116847,-0.047521,-0.104930,-36.078339,-11.055637,-1.595184,102.13783,-0.14486891,0.11241954,0.18236774,-0.14742143,-0.04492073,0.13528492
20240215 12:12:33,-0.289476,0.117883,-0.007533,-0.031619,0.015334,-0.055924,-36.263374,-10.975231,-1.602272,101.52654,-0.17254943,0.10365074,0.18112549,-0.06510704,0.017982407,0.024456577
20240215 12:12:33,-0.224799,0.038713,-0.116982,0.045086,0.079255,-0.016506,-36.342255,-10.888447,-1.474747,101.46025,-0.22279698,0.03646289,0.18076947,0.004825962,0.08232203,-0.078262515
20240215 12:12:33,-0.120466,0.013671,-0.124354,0.084504,0.118673,0.005866,-36.651001,-11.196339,-1.323753,100.52238,-0.17041053,0.015929932,0.106057085,0.04507875,0.12089723,-0.1350216
20240215 12:12:33,0.001009,-0.095390,-0.102872,0.097288,0.117608,-0.006918,-36.721298,-10.822636,-1.482811,99.87876,-0.081021935,-0.09034191,0.060041755,0.041715436,0.120742075,-0.14409241
20240215 12:12:33,-0.015801,-0.060891,-0.102488,0.086634,0.082451,-0.033552,-36.547417,-11.748142,-1.822586,100.635445,-0.09108341,-0.05567485,0.056058582,0.014421089,0.08721291,-0.113395646
20240215 12:12:33,-0.072257,-0.024003,-0.188601,0.072785,0.050491,-0.047401,-36.353020,-11.925426,-1.541138,101.034904,-0.19666377,-0.015447292,0.09281428,-0.0050417297,0.055812046,-0.08320294
20240215 12:12:33,-0.052420,0.017986,-0.314450,0.053609,0.059014,-0.051663,-36.079758,-12.189495,-1.387207,101.39491,-0.2965246,0.03471753,0.06788954,-0.019803405,0.06386425,-0.07053755
20240215 12:12:33,-0.065095,0.130845,-0.330615,0.047217,0.094170,-0.048467,-36.140709,-11.912663,-1.271919,101.77064,-0.32488772,0.15036212,0.024503306,-0.023490723,0.09912818,-0.082892515
20240215 12:12:33,-0.123468,0.201820,-0.313949,0.039759,0.126131,-0.037813,-36.298851,-11.547192,-1.297348,101.9622,-0.34702283,0.21950087,0.037063856,-0.021381492,0.1304019,-0.093858585
20240215 12:12:33,-0.208881,0.218087,-0.208329,0.020583,0.136784,-0.019702,-36.634491,-12.140156,-1.128006,103.64873,-0.3065108,0.22388223,0.0902882,-0.018198147,0.13897415,-0.08566407
20240215 12:12:33,-0.258900,0.206589,0.018895,-0.004985,0.089909,0.003735,-36.318962,-12.487316,-1.638100,103.715195,-0.1441543,0.18759283,0.10641974,-0.008131811,0.08867054,-0.04361861
20240215 12:12:34,-0.208562,0.123628,-0.025155,-0.048665,0.022792,0.016520,-36.468147,-12.026829,-1.669640,102.38873,-0.14393799,0.114424326,0.11264582,-0.014381336,0.018901575,0.026886562
20240215 12:12:34,-0.073603,-0.057113,-0.056041,-0.114716,-0.049652,0.009062,-36.634872,-11.948261,-1.408478,101.65508,-0.083518334,-0.0564669,0.09836904,-0.051948287,-0.05459614,0.12168285
20240215 12:12:34,0.035095,-0.124863,-0.103858,-0.179703,-0.112507,-0.017572,-36.501823,-11.656826,-1.292213,100.65167,-0.06242172,-0.11910918,0.047763783,-0.10753635,-0.11671403,0.21270186
20240215 12:12:34,0.091568,-0.116900,-0.113542,-0.234035,-0.141272,-0.049532,-36.680077,-12.231472,-1.658386,100.81309,-0.039063904,-0.108792745,-0.0016971044,-0.16348082,-0.14582704,0.27689162
20240215 12:12:34,-0.028980,-0.054630,0.078995,-0.248950,-0.139141,-0.071904,-36.264793,-12.109089,-1.394302,102.41945,0.051961076,-0.06068445,0.044473127,-0.19127662,-0.14495802,0.29089895
20240215 12:12:34,-0.179262,-0.024186,0.282183,-0.206336,-0.126357,-0.061251,-36.583275,-12.128223,-1.798134,103.26582,0.12682083,-0.05821438,0.122176535,-0.1587278,-0.1328253,0.24757124
20240215 12:12:34,-0.277376,-0.055801,0.332821,-0.124304,-0.078416,-0.028225,-36.443443,-12.491840,-2.040947,103.53186,0.113284156,-0.10168518,0.21214029,-0.08818222,-0.083226055,0.1493069
20240215 12:12:34,-0.236651,-0.027994,0.326257,-0.028423,-0.014495,0.012258,-36.159409,-11.718922,-1.820633,102.66917,0.12780194,-0.065807596,0.16635653,-0.005568724,-0.016929321,0.02976559
20240215 12:12:34,-0.173217,0.012769,0.379469,0.064262,0.023857,0.050611,-36.467766,-12.218716,-1.389160,102.85906,0.20546027,-0.019361448,0.08419095,0.076944776,0.02349888,-0.07233513
20240215 12:12:34,-0.033849,-0.044113,0.327695,0.123922,0.029184,0.069787,-36.652420,-12.330196,-1.115784,102.07534,0.24962437,-0.059733428,0.012970746,0.12712954,0.029934684,-0.1260932
20240215 12:12:34,0.051900,-0.062657,0.262367,0.151621,0.012138,0.079375,-36.370956,-12.115467,-1.528915,100.57377,0.24656194,-0.0695088,-0.03484287,0.1514884,0.012939621,-0.13946731
20240215 12:12:34,0.217533,-0.091589,0.159235,0.152686,-0.028345,0.069787,-36.643456,-12.235172,-1.121895,99.34363,0.2539859,-0.091626026,-0.14416347,0.14337313,-0.028242854,-0.11722169
20240215 12:12:34,0.379185,-0.039304,-0.003892,0.134575,-0.064567,0.043153,-36.325363,-12.024143,-0.998535,98.15637,0.20491152,-0.04338699,-0.29479563,0.1090774,-0.06528933,-0.08051406
20240215 12:12:34,0.468167,-0.043212,-0.085874,0.106876,-0.082678,0.003735,-36.588898,-12.048824,-0.597626,97.435814,0.1817163,-0.05702855,-0.36309496,0.058447987,-0.084937856,-0.045181833
20240215 12:12:34,0.534307,-0.012547,-0.164130,0.083438,-0.086939,-0.039944,-36.456612,-11.373623,-1.042305,95.8876,0.14757545,-0.032822914,-0.4353022,0.0075530186,-0.090585195,-0.021868883
20240215 12:12:34,0.503446,0.049980,-0.214500,0.052543,-0.081612,-0.079362,-36.192696,-11.540821,-1.162735,96.33151,0.08748758,0.033250276,-0.44032305,-0.041836314,-0.08509223,0.0032377453
20240215 12:12:34,0.372540,0.040110,-0.240581,0.017387,-0.060305,-0.111322,-36.228165,-12.112789,-0.857811,98.722145,-0.008210048,0.038906697,-0.31835482,-0.08562941,-0.060616612,0.025503099
20240215 12:12:34,0.181239,0.152606,-0.190947,-0.011378,-0.033672,-0.123041,-36.385933,-11.939205,-0.602768,100.704765,-0.072111405,0.16188349,-0.21435481,-0.10960766,-0.030053409,0.039031774
20240215 12:12:34,0.014059,0.276276,-0.155674,-0.016704,0.001485,-0.101734,-36.670731,-12.328342,-1.384026,101.24714,-0.13910697,0.28446895,-0.13917343,-0.09508769,0.0063332613,0.023900544
20240215 12:12:34,-0.074893,0.227868,-0.078592,-0.009247,0.031315,-0.069774,-36.468147,-12.026829,-1.669640,101.50632,-0.12104617,0.2291768,-0.04879938,-0.06560241,0.035335734,-0.0012469548
20240215 12:12:34,-0.097198,0.144075,-0.011480,0.008864,0.040903,-0.044205,-36.704788,-11.766453,-1.287079,101.90454,-0.0721647,0.14030582,0.0050671417,-0.03457106,0.043978337,-0.024384767
20240215 12:12:34,-0.114096,0.089042,0.181791,0.045086,0.035576,-0.015441,-36.255058,-12.397846,-0.839470,103.21422,0.080174506,0.072925076,0.022118933,0.01047482,0.038301002,-0.054773208
20240215 12:12:34,-0.045310,-0.041083,0.185964,0.116464,0.057948,0.004801,-36.264023,-12.492863,-0.833359,102.30751,0.1294428,-0.050263237,0.03767761,0.06725149,0.06105817,-0.12866785
20240215 12:12:34,0.105317,-0.073480,0.132570,0.196365,0.112281,0.011193,-36.246483,-12.110943,-1.126053,100.65126,0.1707181,-0.075077236,-0.060501445,0.11629391,0.11546697,-0.22563374
20240215 12:12:34,0.170902,-0.090736,0.117294,0.250698,0.150634,0.000539,-36.767548,-12.431591,-1.244286,100.23879,0.19437498,-0.09076994,-0.104000434,0.13668954,0.15407284,-0.290848
20240215 12:12:34,0.169251,-0.114771,0.151142,0.253894,0.138915,-0.020768,-36.386314,-11.747318,-0.883240,100.881256,0.22358808,-0.115810685,-0.09272048,0.12117921,0.14479688,-0.28447506
20240215 12:12:34,0.064210,-0.166034,0.197689,0.214476,0.068602,-0.052728,-36.309624,-12.584187,-1.363731,102.47955,0.20879406,-0.17451485,0.01394962,0.07301396,0.07987292,-0.20866221
20240215 12:12:34,-0.180569,-0.107301,0.149107,0.143098,-0.033672,-0.070839,-36.265175,-11.917202,-1.674774,103.32238,0.033896916,-0.13171859,0.18923604,0.02343931,-0.01799438,-0.09222348
20240215 12:12:34,-0.311771,0.036023,-0.106430,0.103680,-0.078416,-0.070839,-36.572502,-11.091236,-1.731750,102.93185,-0.25931236,0.026089702,0.25782087,0.0041906163,-0.06317657,-0.03857349
20240215 12:12:34,-0.305277,0.042129,-0.206605,0.001407,-0.128488,-0.054859,-36.192696,-11.540821,-1.162735,104.43616,-0.33838063,0.044207074,0.2664373,-0.03057988,-0.1207058,0.070525594
