Timestamp,linacce_x,linacce_y,linacce_z,gyro_x,gyro_y,gyro_z,X-magnetometer,Y-magnetometer,Z-magnetometer,Yaw, worldXAccel,worldYAccel,worldZAccel,worldXgyro,worldYgyro,worldZgyro
20240215 12:07:58,-0.026469,0.107142,0.219143,-0.022580,0.248849,-0.023043,-1.259075,9.285786,-32.452087,6.3998613,0.16016522,0.092757195,0.13689704,-0.046492353,0.24867389,-0.009544475
20240215 12:07:58,-0.141446,-0.010942,0.574062,0.062647,0.271221,0.001460,-0.906929,8.934921,-32.425674,8.094033,0.37392884,-0.070047826,0.45401666,0.014989832,0.27355623,-0.07218652
20240215 12:07:58,-0.303552,-0.223150,0.818171,0.139353,0.205169,0.033420,-0.801537,9.325085,-32.852005,8.6424675,0.47577587,-0.32218683,0.75696146,0.092181474,0.21082692,-0.1086119
20240215 12:07:58,-0.351240,-0.293784,0.933697,0.187293,0.115680,0.061119,-0.456547,9.821171,-32.746994,7.552007,0.53595686,-0.40015566,0.87360895,0.15346777,0.12270321,-0.11875048
20240215 12:07:58,-0.237327,-0.311533,0.943892,0.225646,-0.001508,0.071773,-0.977993,9.692406,-33.145691,7.867022,0.6236838,-0.4024521,0.78528714,0.19451877,0.0069151376,-0.13504036
20240215 12:07:58,-0.191239,-0.177000,0.667648,0.248018,-0.136807,0.061119,-0.846359,8.849987,-32.821442,7.4674664,0.4499248,-0.24259064,0.5488527,0.20316344,-0.12680952,-0.15852426
20240215 12:07:58,-0.070821,-0.078448,0.075336,0.232038,-0.196467,0.045139,-0.952518,8.843605,-32.956070,6.215282,0.031917043,-0.086178094,0.10407801,0.1734,-0.18928126,-0.16263084
20240215 12:07:58,0.054189,0.045747,-0.345294,0.207535,-0.141069,0.032355,-0.943169,8.746735,-32.681702,4.8728647,-0.27430835,0.06403957,-0.22012919,0.13816956,-0.13661517,-0.15801573
20240215 12:07:58,0.150950,0.074327,-0.479249,0.187293,-0.056906,0.019571,-1.313629,9.099445,-32.976349,4.412454,-0.3466836,0.09286037,-0.36783615,0.110393666,-0.054055806,-0.15178369
20240215 12:07:58,0.213470,0.129935,-0.589039,0.155333,0.013407,0.012113,-1.084805,8.168392,-32.511383,4.33663,-0.42071977,0.15600899,-0.47204882,0.08410124,0.01607046,-0.13132846
20240215 12:07:58,0.122827,0.196066,-0.536388,0.097804,0.074132,0.014244,-1.393929,8.052380,-32.640854,6.5980673,-0.42215082,0.23363964,-0.37502307,0.05486271,0.076429024,-0.08301254
20240215 12:07:58,0.031737,0.202512,-0.413496,0.047733,0.105027,0.027028,-1.048943,8.548470,-32.535843,6.9716806,-0.35838082,0.23525278,-0.24212849,0.038790733,0.104608506,-0.034582008
20240215 12:07:58,-0.041252,0.163814,-0.220788,0.011511,0.101831,0.045139,-0.891186,8.374889,-32.790878,6.19086,-0.22113803,0.17668693,-0.08664947,0.037547998,0.098894626,0.0075683743
