Timestamp,linacce_x,linacce_y,linacce_z,gyro_x,gyro_y,gyro_z,X-magnetometer,Y-magnetometer,Z-magnetometer,Yaw, worldXAccel,worldYAccel,worldZAccel,worldXgyro,worldYgyro,worldZgyro
20240215 12:02:58,-0.072383,0.053203,0.219153,0.021279,-0.014539,-0.023885,0.896534,6.799297,-39.502777,3.9250472,0.14988306,0.033090483,0.16923013,-0.009046174,-0.011730294,-0.029786479
20240215 12:02:58,0.062973,0.124352,0.189468,0.047912,0.018487,-0.020689,1.566776,6.659470,-39.352997,1.4659985,0.18877213,0.11546131,0.036069266,0.0043668356,0.021110531,-0.052139908
20240215 12:02:58,0.131156,0.115025,0.108371,0.076677,0.062166,-0.022820,1.435528,7.309994,-39.396759,1.7327791,0.15165001,0.112745725,-0.06369983,0.013788803,0.06578123,-0.07901426
20240215 12:02:58,0.079837,0.019402,0.033418,0.100114,0.083473,-0.026016,1.514790,7.031319,-39.243820,2.767731,0.06598478,0.020083738,-0.054587103,0.018898452,0.089186884,-0.10227446
20240215 12:02:58,0.002050,-0.030750,-0.090324,0.108637,0.082408,-0.028147,1.520798,6.760040,-40.163849,3.6473053,-0.07566436,-0.022620674,-0.04329778,0.019203579,0.089515954,-0.11154479
20240215 12:02:58,0.013080,-0.065864,-0.195172,0.093722,0.072820,-0.032408,1.734535,7.906647,-40.102600,2.9445813,-0.16059852,-0.04887816,-0.10049685,0.008909181,0.07924069,-0.099773005
20240215 12:02:58,0.030958,-0.047387,-0.228950,0.067089,0.070689,-0.046258,1.849007,6.490417,-39.205185,3.0137265,-0.18356304,-0.025946252,-0.13209347,-0.015882824,0.07738623,-0.08256949
20240215 12:02:58,-0.051777,0.007797,-0.158111,0.037259,0.085604,-0.066499,1.223972,6.913456,-39.105057,5.384253,-0.16363065,0.021732118,-0.028991267,-0.049792692,0.094244234,-0.06788601
20240215 12:02:58,-0.101120,0.033141,-0.071866,0.028736,0.091996,-0.073957,1.505440,7.128189,-39.518188,5.184562,-0.11449975,0.034762144,0.053405803,-0.060957577,0.10112279,-0.06430377
20240215 12:02:58,-0.179092,0.085730,0.019233,-0.005355,0.046186,-0.073957,1.461002,6.461201,-39.207138,6.0355244,-0.07936645,0.070785895,0.16208038,-0.072460644,0.054332905,-0.03282924
20240215 12:02:58,-0.158777,0.014391,-0.036450,-0.029858,-0.003885,-0.061173,1.514790,7.031319,-39.243820,6.4135613,-0.10910902,0.007882068,0.12165578,-0.06693412,0.0019432711,-0.002454266
20240215 12:02:58,-0.187234,0.061210,0.010913,-0.050100,-0.045434,-0.041996,1.479694,6.267464,-38.658432,6.611431,-0.08886086,0.04575589,0.16580439,-0.05467508,-0.043071654,0.026262196
20240215 12:02:58,-0.207214,0.103007,0.140865,-0.057557,-0.096570,-0.021755,1.239716,6.353420,-39.470245,6.5732994,0.00807105,0.070581235,0.24339908,-0.035061248,-0.096890435,0.045095395
20240215 12:02:58,-0.198213,0.087355,0.142669,-0.055426,-0.139184,0.007010,1.691628,6.472107,-38.669678,6.4131393,0.014201984,0.053140037,0.23749234,-0.0029809726,-0.14260566,0.05934049
20240215 12:02:58,-0.285618,0.029114,0.106549,-0.059688,-0.165818,0.036839,1.257648,6.543461,-39.482483,7.442471,-0.051166385,-0.0072932374,0.2990657,0.02519056,-0.17331754,0.08038503
