Timestamp,linacce_x,linacce_y,linacce_z,gyro_x,gyro_y,gyro_z,X-magnetometer,Y-magnetometer,Z-magnetometer,Yaw, worldXAccel,worldYAccel,worldZAccel,worldXgyro,worldYgyro,worldZgyro
20240215 11:52:35,-0.164437,-0.282278,0.554581,-0.062258,0.010404,0.027515,-0.679066,0.161907,-30.511032,16.54147,0.5235331,-0.41782433,0.350783,0.0029614158,-0.0014033602,0.066473104
20240215 11:52:35,-0.175377,0.116127,0.124014,-0.114160,-0.016215,-0.013255,-1.138794,-0.627464,-30.464081,8.30043,0.0054164603,0.098981336,0.20489326,-0.06970074,-0.020251133,0.09173563
20240215 11:52:35,0.004870,0.072333,0.209304,-0.106703,-0.030064,-0.002602,-0.591610,0.362026,-30.925140,6.2867,0.17520349,0.0590386,0.10157812,-0.056659084,-0.034028478,0.09097419
20240215 11:52:35,0.116865,-0.091761,0.280081,-0.083265,-0.039653,-0.000471,-0.821472,-0.032665,-30.901672,5.2122407,0.30268982,-0.100375496,0.055258796,-0.043334015,-0.04182324,0.07198064
20240215 11:52:35,0.193402,-0.074506,0.268905,-0.050239,-0.041783,-0.010059,-0.588268,0.536438,-29.730759,4.2232113,0.3330664,-0.0798858,-0.018907696,-0.03361647,-0.042530276,0.03891136
20240215 11:52:35,0.155767,-0.035696,0.154307,-0.016148,-0.040718,-0.020713,-0.573296,0.360180,-30.656891,5.4266353,0.21461754,-0.038766596,-0.050733924,-0.023889165,-0.040060475,0.0050014267
20240215 11:52:35,0.091579,-0.034630,0.053658,0.003028,-0.036457,-0.024974,-0.784073,-0.420139,-29.804230,6.7951345,0.09494362,-0.0344943,-0.049547933,-0.017532786,-0.034628168,-0.013045751
20240215 11:52:35,0.038426,0.001381,-0.095648,0.007289,-0.025803,-0.024974,-0.908165,-0.616554,-29.926620,7.0021725,-0.06304842,0.0089195995,-0.081165135,-0.016175969,-0.02386542,-0.01721427
20240215 11:52:35,0.031365,0.076928,-0.079459,0.003028,-0.028999,-0.027105,-0.432308,-0.579105,-30.058289,6.814964,-0.059124734,0.08405951,-0.07082161,-0.019748801,-0.026686452,-0.014248464
20240215 11:52:35,0.012850,0.144261,-0.193834,-0.008691,-0.020476,-0.022843,-0.732857,-0.408211,-30.474350,7.4583974,-0.17300333,0.15920274,-0.114774294,-0.022509765,-0.019012019,-0.002247179
20240215 11:52:35,0.004205,0.104667,-0.172699,-0.022540,-0.006627,-0.022843,-0.494026,0.081497,-30.503952,6.7338176,-0.1550423,0.117343456,-0.09495525,-0.030455468,-0.0058606905,0.008677055
20240215 11:52:35,0.001077,0.094643,-0.119849,-0.026802,0.008288,-0.022843,-0.881271,-0.331497,-29.944962,7.511702,-0.10944432,0.10297299,-0.0669953,-0.033759516,0.00877834,0.01120536
20240215 11:52:35,0.031977,0.075445,-0.032528,-0.018279,0.030660,-0.020713,-0.863338,-0.141457,-29.957184,7.55413,-0.017202938,0.07891696,-0.04894835,-0.0292931,0.031275578,0.0032883957
20240215 11:52:35,-0.003045,0.084229,0.030810,-0.003364,0.038118,-0.016451,-0.881653,-0.139606,-30.225418,7.624961,0.0186929,0.08153626,0.012488594,-0.018607842,0.03903806,-0.007994918
20240215 11:52:35,0.021346,0.056706,-0.026525,0.001963,0.024268,-0.013255,-0.881271,-0.331497,-29.944962,7.6805334,-0.016132109,0.059377227,-0.035569496,-0.012175395,0.025240753,-0.009996736
20240215 11:52:35,0.035137,0.008567,-0.080352,-0.007626,0.009353,-0.018582,-0.818901,0.525528,-30.268219,7.271491,-0.051623188,0.01579154,-0.07138882,-0.020490153,0.010329876,-0.0034296736
20240215 11:52:35,-0.001383,0.006792,-0.027916,-0.015083,0.000831,-0.022843,-0.600574,0.267006,-30.919022,8.114443,-0.02518154,0.009155282,-0.013413656,-0.027311757,0.0020557777,0.0013595624
20240215 11:52:35,-0.077227,0.069020,-0.019324,-0.009756,0.008288,-0.018582,-0.715309,-0.026283,-30.767059,8.762914,-0.062177833,0.06616899,0.051541466,-0.021643747,0.009440541,-0.0015451168
20240215 11:52:35,-0.111758,0.103719,0.009130,0.007289,0.023203,-0.011125,-0.722088,0.628777,-30.407974,8.784696,-0.058915116,0.095974505,0.0927062,-0.007997146,0.02452216,-0.013677078
20240215 11:52:35,-0.062884,0.080025,0.009849,0.016877,0.031726,-0.002602,-0.442814,0.093426,-31.174072,7.4113016,-0.030361122,0.07570098,0.053790342,0.0037359218,0.032630615,-0.01791894
20240215 11:52:35,-0.019984,0.070953,0.006732,0.022204,0.029595,-0.003667,-0.669067,1.582668,-31.005585,7.828621,-0.01050647,0.06901027,0.01566098,0.005653863,0.03088926,-0.023007724
20240215 11:52:35,-0.003654,0.115996,0.015523,0.019008,0.012549,-0.001536,-0.627468,-0.018055,-30.900696,7.4086146,0.002356966,0.1141198,0.0033743843,0.0072854767,0.013494303,-0.017994454
